EDU1CDL,21ST CENTURY DIGITAL LEARNERS 
NSM5ACE,ADVANCED CLINICAL EVIDENCE FOR NURSING PRATICE 
PAR3ACM,ADVANCED CLINICAL MANAGEMENT 
NSM5ACN,ADVANCED CLINICAL NURSING PRACTICE 
OCT5ACP,ADVANCED CLINICAL PRACTICE 
PTY5ACS,ADVANCED CLINICAL SCIENCES IN PHYSIOTHERAPY 
ELE4ACS,ADVANCED COMMUNICATION SYSTEMS 
CSE2ANX,ADVANCED COMPUTER NETWORKS 
MKT5ACD,ADVANCED CONSUMER DECISION MAKING 
MEC5AVC,ADVANCED CONTROL SYSTEMS 
ACC5CRE,ADVANCED CORPORATE ACCOUNTING 
CSE5ADB,ADVANCED DATABASES 
AUD5ADA,ADVANCED DIAGNOSTIC AUDIOLOGY 1: OBJECTIVE ASSESSMENT TECHNIQUES IN AUDIOLOGY 
AUD5ADB,ADVANCED DIAGNOSTIC AUDIOLOGY 2 
ELE4ADD,ADVANCED DIGITAL SYSTEM DESIGN 
ELE5ADS,ADVANCED DIGITAL SYSTEMS 
LAW5ADR,ADVANCED DISPUTE RESOLUTION PRACTICE 
LAW4ADR,ADVANCED DISPUTE RESOLUTION PRACTICE 
PHY5EPA,ADVANCED ELECTRODYNAMICS 
PHY5EMA,ADVANCED ELECTROMAGNETISM AND MODERN MATERIALS 
EMS5AEI,ADVANCED ENGINEERING INNOVATION 
VET3AEH,ADVANCED EQUINE HEALTH CARE 
EXS3AEB,ADVANCED EXERCISE BIOMECHANICS 
EXS3AEP,ADVANCED EXERCISE PHYSIOLOGY 
CPW3ADF,ADVANCED FICTION 
BUS5ADF,ADVANCED FINANCE 
ACC3AFA,ADVANCED FINANCIAL ACCOUNTING 
DTN310,ADVANCED FOOD SKILLS 
OCT5AGW,ADVANCED GROUPWORK 
HBS3AHP,ADVANCED HUMAN PHYSIOLOGY 
PHY5IMA,ADVANCED IMAGING AND MATERIALS CHARACTERISATION 
SCI3AIP,ADVANCED INDUSTRY PLACEMENT 
PHE4AIH,ADVANCED ISSUES IN HEALTH 
RMD5AIS,ADVANCED ISSUES IN HEALTH AND WELLBEING RESEARCH 
JRN3AJD,ADVANCED JOURNALISM AND DESIGN 
JRN3AJP,ADVANCED JOURNALISM PRACTICE 
LAW3ALW,ADVANCED LEGAL WRITING 
BUS5AMT,ADVANCED MANAGEMENT THEORY 
BUS5AMK,ADVANCED MARKETING THEORY 
EMS5AM,ADVANCED MATERIALS AND PROCESSES 
MIC3AMM,ADVANCED MEDICAL AND VETERINARY MICROBIOLOGY 
MMH5AMP,ADVANCED MENTAL HEALTH PRACTICE 1 
MMH5AMH,ADVANCED MENTAL HEALTH PRACTICE 2 
MIC3AM,ADVANCED MICROBIOLOGY 
PHY5MOA,ADVANCED MODERN PHYSICS 
PTY5AMP,ADVANCED MUSCULOSKELETAL PHYSIOTHERAPY PRACTICE 
PHY5NFA,ADVANCED NANOMATERIALS AND FABRICATION 
PHY5AMC,ADVANCED NANOMATERIALS CHARACTERISATION 
CSE5ANE,ADVANCED NETWORK ENGINEERING 
PHY5OPA,ADVANCED OPTICS 
ORT5CLD,ADVANCED ORTHOPTIC CLINICAL PRACTICE 
LIN4ADP,ADVANCED PHONETICS 
PHY5LAB,ADVANCED PHYSICS LABORATORY 
PHY5PQA,ADVANCED PHYSICS OF QUANTUM MATTER 
PHY5PRJ,ADVANCED PHYSICS PROJECT 
PTY5APP,ADVANCED PHYSIOTHERAPY PRACTICE 
NSM5APA,ADVANCED PRACTICE A 
NSM5APB,ADVANCED PRACTICE B 
SWP5APP,ADVANCED PRACTICE MANAGEMENT 
PTY5APS,ADVANCED PRACTICE OF SPORTS PHYSIOTHERAPY 
CSE5APG,ADVANCED PYTHON PROGRAMMING 
BUS5AQM,ADVANCED QUALITATIVE METHODS 
PHE5AQR,ADVANCED QUALITATIVE METHODS IN HEALTH RESEARCH 
PHY4QME,ADVANCED QUANTUM MECHANICS 
MGT5ARP,ADVANCED REMUNERATION AND PERFORMANCE MANAGEMENT 
EMS5ARA,ADVANCED RESEARCH BASED LEARNING (A) 
EMS5ARB,ADVANCED RESEARCH BASED LEARNING (B) 
POL4PIR,"ADVANCED RESEARCH IN POLITICS, PHILOSOPHY AND GSDS "
EMS5ARL,ADVANCED RESEARCH INTEGRATED LEARNING 
LIN4ARM,ADVANCED RESEARCH METHODS IN LINGUISTICS 
PHE5ARS,ADVANCED RESEARCH SKILLS 
PHY5SPA,ADVANCED SCANNING PROBE MICROSCOPY 
HCS5ASP,ADVANCED SEMINARS IN SPEECH PATHOLOGY 
CHE5SEA,ADVANCED SENSORS AND DEVICES 
EMS5ACI,ADVANCED SIGNAL AND IMAGE PROCESSING 
ELE4ASP,ADVANCED SIGNAL PROCESSING 
LAW5LRC,ADVANCED SOCIO-LEGAL RESEARCH METHODOLOGY 
SPE2ASA,ADVANCED SPORT COACHING A 
PTY5ASP,ADVANCED SPORTS PHYSIOTHERAPY 
PHY5SYA,ADVANCED SYNCHROTRON SCIENCE AND TECHNOLOGY 
CSE4ASD,ADVANCED SYSTEM DESIGN 
HBS202,ADVANCED SYSTEMS PHYSIOLOGY A 
HBS204,ADVANCED SYSTEMS PHYSIOLOGY B 
LAW3ATL,ADVANCED TAX LAW 
BUS5ATE,ADVANCED TIME-SERIES ECONOMETRICS 
BCH3ATB,ADVANCED TOPICS IN BIOCHEMISTRY AND CELL BIOLOGY 
BCH3BSB,ADVANCED TOPICS IN BIOCHEMISTRY AND SYSTEMS BIOLOGY 
MED3ATA,ADVANCED TOPICS IN BIOMEDICAL SCIENCE A 
CSE4AT1,ADVANCED TOPICS IN COMPUTER SCIENCE 1 
CSE4AT3,ADVANCED TOPICS IN COMPUTER SCIENCE 3 
MAT4ATA,ADVANCED TOPICS IN MATHEMATICS A 
MAT4ATB,ADVANCED TOPICS IN MATHEMATICS B 
MED3ATB,ADVANCED TOPICS IN MEDICAL SCIENCES B 
PHI4APA,ADVANCED TOPICS IN PHILOSOPHY A 
PHI4APB,ADVANCED TOPICS IN PHILOSOPHY B 
STA5ATA,ADVANCED TOPICS IN STATISTICS A 
STA4ATA,ADVANCED TOPICS IN STATISTICS A 
STA4ATB,ADVANCED TOPICS IN STATISTICS B 
STA5ATB,ADVANCED TOPICS IN STATISTICS B 
STA4ATC,ADVANCED TOPICS IN STATISTICS C 
STA5ATC,ADVANCED TOPICS IN STATISTICS C 
STA4ATD,ADVANCED TOPICS IN STATISTICS D 
STA5ATD,ADVANCED TOPICS IN STATISTICS D 
STA4ATE,ADVANCED TOPICS IN STATISTICS E 
STA5ATE,ADVANCED TOPICS IN STATISTICS E 
VET3MPC,ADVANCED VETERINARY MEDICAL PATIENT CARE 
VET3ASC,ADVANCED VETERINARY SURGICAL PATIENT CARE 
CIV5AWM,ADVANCED WATER TECHNOLOGY AND MANAGEMENT 
DTN309,ADVANCES IN NUTRITIONAL SCIENCE AND NUTRIGENOMICS 
DTN3ANS,ADVANCES IN NUTRITIONAL SCIENCE AND NUTRIGENOMICS 
MKT2ADV,ADVERTISING AND SALES PROMOTION 
MKT3ADV,ADVERTISING AND SALES PROMOTION 
MKT1ADX,ADVERTISING IN THE DIGITAL AGE 
MKT1ADD,ADVERTISING IN THE DIGITAL AGE 
DIS507,ADVOCACY IN CONTEMPORARY DISABILITY PRACTICE 
ADP5ADP,ADVOCACY IN CONTEMPORARY DISABILITY PRACTICE 
ARC2AFR,AFRICAN ARCHAEOLOGY 
MGT1AGM,AGRIBUSINESS MANAGEMENT 
AGR3CS,AGRICULTURAL AND ANIMAL SCIENCE CASE STUDIES 
AGR3AME,AGRICULTURAL MANAGEMENT ECONOMICS 
AGR3MCT,AGRICULTURAL MARKETING AND COMMODITY TRADING 
AGR1AST,AGRICULTURAL SYSTEMS AND TECHNOLOGY 
FIN2ARM,AGRIFINANCE AND RISK MANAGEMENT 
AGR1AGR,AGRONOMY 1 
AGR3AGR,AGRONOMY 2 
AGR2AGS,AGROSTOLOGY 
MAT2ALC,"ALGEBRA, LINEAR CODES AND AUTOMATA "
SCI1AZ,ALGOLOGY AND ZOOPLANKTON 
CSE2ALG,ALGORITHMS AND DATA STRUCTURES 
CSE5ALG,ALGORITHMS AND DATA STRUCTURES (PG) 
EDU3AEM,ALTERNATIVE EDUCATION MODELS 
FIN5ALS,ALTERNATIVE SECURITIES 
HIS2AWV,AMERICA'S WAR IN VIETNAM 
ENG2ALT,AMERICAN LITERATURE 
POL2IAP,AMERICAN POLITICS 
ELE2ANI,ANALOG CIRCUITS AND INTERFACING 
BUS1ADI,ANALYSE AND IDEATE 
STA3LM,ANALYSES OF LINEAR MODELS 
HCS2ACW,ANALYSING AND COMBINING WORDS 
BUS1ABX,ANALYSING BUSINESS DATA 
BUS1BAN,ANALYSING BUSINESS DATA 
EDU1ACL,ANALYSING CHILDREN'S LEARNING AND DEVELOPMENT 
HIM3ADA,ANALYSIS OF HEALTH DATA A 
HIM4ADB,ANALYSIS OF HEALTH DATA B 
HIM5AHB,ANALYSIS OF HEALTH DATA B 
MAT2ANA,ANALYSIS OF REAL NUMBERS AND FUNCTIONS 
STA5ARM,ANALYSIS OF REPEATED MEASURES 
MGT5ASL,ANALYTICS FOR SUPPLY CHAIN AND LOGISTICS 
BUS5AP,ANALYTICS IN PRACTICE 
BUS5PR1,ANALYTICS PROJECT 1 
BUS5PR2,ANALYTICS PROJECT 2 
HIS3ANA,"ANARCHISTS, TERRORISTS, AND FREEDOM FIGHTERS "
HIS2ANA,"ANARCHISTS, TERRORISTS, AND FREEDOM FIGHTERS "
HBS2ANS,ANATOMY AND NEUROPHYSIOLOGY FOR SPEECH AND SWALLOWING 
POD4APP,ANATOMY AND PATHOLOGY FOR PODIATRISTS 
DOH1APD,ANATOMY AND PHYSIOLOGY FOR DENTISTRY AND ORAL HEALTH 
HBS2ALT,ANATOMY OF LOWER LIMB & TRUNK 
PAM2LIN,ANATOMY OF THE LOWER LIMB & INTRODUCTION TO NEUROANATOMY 
PAM2TUL,ANATOMY OF THE TRUNK WALL & UPPER LIMB 
HBS3AUN,"ANATOMY OF UPPER LIMB, HEAD & NEUROSCIENCES "
HBS2ALU,ANATOMY: LOWER AND UPPER LIMBS 
HBS2ALF,ANATOMY: LOWER LIMB & FOOT 
CAH1ANG,"ANCIENT GREECE: MYTH, ART, WAR "
CAH2ANR,"ANCIENT ROME: SLAVES, EMPIRE AND FILM "
ARC3ATE,ANCIENT TECHNOLOGIES 
SCI1AAP,ANIMAL ANATOMY AND PHYSIOLOGY 
EEE3ANB,ANIMAL BEHAVIOUR 
VET1ACM,ANIMAL CARE AND MANAGEMENT 
AGR3AH,ANIMAL HEALTH 
AGR2AMN,ANIMAL MANAGEMENT AND NUTRITION 
AGR2AN,ANIMAL NUTRITION 
ZOO2AP,ANIMAL PHYSIOLOGY 
EEE3ANR,ANIMAL REPRODUCTION 
LAW3ANI,ANIMAL WELFARE LAW AND POLICY 
BIO1APM,"ANIMAL, PLANT AND MICROBIAL LIFE "
ENV3API,ANIMAL-PLANT INTERACTIONS 
EEE3AAA,ANIMALS ACTIVE AND ASLEEP 
NSG4RPD,ANSWERING RESEARCH PROBLEMS - STUDY DESIGNS 
ANT2ABA,ANTHROPOLOGY OF ABORIGINAL AUSTRALIA 
ANT3PCP,ANTHROPOLOGY OF POPULAR CULTURE 
ANT3AWH,ANTHROPOLOGY OF WITCH HUNTS 
CSE2ADX,APPLICATION DEVELOPMENT ON THE CLOUD 
CSE5APP,APPLICATION PROTOCOLS 
MED3ABS,APPLICATIONS OF BIOMEDICAL SCIENCE 
BIO3ABT,APPLICATIONS OF BIOTECHNOLOGY 
CHE1APL,APPLICATIONS OF CHEMISTRY 
ANT2APA,APPLIED ANTHROPOLOGY 
HIM5AAP,APPLIED AUDITING PROJECT 
POR3ACR,APPLIED CLINICAL RESEARCH IN PROSTHETICS AND ORTHOTICS 
MGT5ACL,APPLIED CORPORATE LAW 
ARC2ACH,APPLIED CULTURAL HERITAGE MANAGEMENT 
PHE5AEA,APPLIED EPIDEMIOLOGY A 
PHE5AEB,APPLIED EPIDEMIOLOGY B 
AGR2AEP,APPLIED EQUINE BEHAVIOUR AND PRACTICES 
EXS2AES,APPLIED EXERCISE SCIENCE 
AGR2AFA,APPLIED FINFISH AQUACULTURE 
DTN102,APPLIED FOOD CHEMISTRY 
DTN305,APPLIED FOOD SCIENCE 
SCI2GPB,APPLIED GENOMICS AND PLANT BREEDING 
PHE2AHR,APPLIED HEALTH RESEARCH 
EDU4ALP,APPLIED LEARNING PROGRAM 
EMS5EMT,APPLIED MANAGEMENT FOR ENGINEERS 
ELE4EMT,APPLIED MANAGEMENT FOR ENGINEERS 
MKT5AMR,APPLIED MARKET RESEARCH 
BUO5MKG,APPLIED MARKETING 
BUA5MKG,APPLIED MARKETING 
AGR3MCA,APPLIED MOLLUSC AND CRUSTACEAN AQUACULTURE 
PHE4CQM,APPLIED QUALITY & SAFETY IN HEALTH & COMMUNITY SERVICES 
CSE5ARP,APPLIED RESEARCH PROJECT 
AGR3RP1,APPLIED RESEARCH PROJECT 1 
AGR3RP2,APPLIED RESEARCH PROJECT 2 
STA2ASM,APPLIED STATISTICAL METHODS 
STA3AS,APPLIED STATISTICS 
VET1VNA,APPLIED VETERINARY NURSING PRACTICE A 
VET2VNB,APPLIED VETERINARY NURSING PRACTICE B 
ARC3AAR,APPROACHES TO ARCHAEOLOGICAL RESEARCH 
PHE5WPH,APPROACHES TO PUBLIC HEALTH PROBLEMS 
AGR3AQE,AQUACULTURE ENGINEERING 
AGR2AIA,AQUAPONICS AND INTEGRATED AQUACULTURE SYSTEMS 
AGR2AAN,AQUATIC ANIMAL NUTRITION 
ARC4HNA,ARCAHEOLOGY HONOURS THESIS 1 
ARC5REM,ARCHAEOLOGICAL RESEARCH METHODS 
ARC4HNJ,ARCHAEOLOGY HONOURS THESIS 
ARC4HON,ARCHAEOLOGY HONOURS THESIS 
ARC4HNP,ARCHAEOLOGY HONOURS THESIS 
ARC4HNB,ARCHAEOLOGY HONOURS THESIS 2 
ARC5AAV,ARCHAEOLOGY OF ABORIGINAL VICTORIA 
ARC1CIV,ARCHAEOLOGY OF ANCIENT CIVILISATIONS 
ARC3AIV,ARCHAEOLOGY OF INDIGENOUS VICTORIA 
ARC2AME,ARCHAEOLOGY OF THE MIDDLE EAST 
CSE3ACX,ARCHITECTING ON THE CLOUD 
ARH1RTI,ART AND ITS MAKERS: RENAISSANCE TO IMPRESSIONISM 
ARC3ASA,ART AND SYMBOLISM OF THE ANCIENTS 
ARC2ART,ART AND SYMBOLISM OF THE ANCIENTS 
PHE4ACA,ART THERAPY CLINICAL PLACEMENT A 
PHE5ACB,ART THERAPY CLINICAL PLACEMENT B 
PHE5ACC,ART THERAPY CLINICAL PLACEMENT C 
PHE4ASA,ART THERAPY COUNSELLING SKILLS 
PHE5ATL,ART THERAPY LITERATURE REVIEW 
PHE4ATA,ART THERAPY WITH ADULTS 
PHE4ATC,ART THERAPY WITH CHILDREN 
LAW5AIL,ARTIFICIAL INTELLIGENCE AND THE LAW 
CSE2AIF,ARTIFICIAL INTELLIGENCE FUNDAMENTALS 
CSE5AIF,ARTIFICIAL INTELLIGENCE FUNDAMENTALS 
CSE5BIO,ARTIFICIAL INTELLIGENCE IN BIOINFORMATICS 
CSE5ALR,ARTIFICIAL INTELLIGENCE: LOGIC AND REASONING 
CRA3FES,ARTS FESTIVAL 
AST2AIC,ASIA IN-COUNTRY: AUSTRALIA CHINA STUDENT FORUM 
GEG3APC,ASIA PACIFIC CITIES 
LAW5JVL,ASIAN COMMERCIAL NEGOTIATIONS 
HIS2ASR,"ASIAN ENVIRONMENTAL HISTORIES: ELEPHANTS, EMPIRES AND EPIDEMICS "
AST3POP,ASIAN POP CULTURE 
AST4HNJ,ASIAN STUDIES HONOURS THESIS JOINT PART-TIME 
AST4HNP,ASIAN STUDIES HONOURS THESIS PART-TIME 
AST4HON,ASIAN STUDIES THESIS 
SOC3APC,ASIAN-PACIFIC CITIES 
EXS4ACD,ASSESSMENT & EXERCISE PRESCRIPTION FOR CARDIORESPIRATORY & METABOLIC DYSFUNCTION 
OCT5PAO,ASSESSMENT & OUTCOME MEASUREMENT IN PAEDIATRIC PRACTICE 
OCT6PAO,ASSESSMENT & OUTCOME MEASUREMENT IN PAEDIATRIC PRACTICE 
EDU5AAC,ASSESSMENT AND CURRICULUM 
EXS4AMD,ASSESSMENT AND EXERCISE PRESCRIPTION FOR MUSCULOSKELETAL DYSFUNCTION 
EXS4AND,ASSESSMENT AND EXERCISE PRESCRIPTION FOR NEUROLOGICAL DYSFUNCTION 
HCS5AIA,ASSESSMENT AND INTERVENTION A 
HCS5AIB,ASSESSMENT AND INTERVENTION IN SPEECH PATHOLOGY CLINIC 
EDU4RA,ASSESSMENT AND REPORTING 
EDU3ARE,ASSESSMENT AND REPORTING IN EARLY CHILDHOOD EDUCATION 
PSY5ATD,ASSESSMENT AND TREATMENT OF MAJOR DISORDERS 
HCS4ACS,ASSESSMENT OF COMMUNICATION AND SWALLOWING 
PHY1AST,ASTRONOMY AND SPACE: THE INFINITE FRONTIER 
PHE2ACW,ATHLETE AND COACH WELFARE 
PHY3ANP,ATOMIC AND NUCLEAR PHYSICS 
PHY3QMO,ATOMS AND QUANTUM OPTICS 
ACC3AUD,AUDITING AND ASSURANCE 
HIM4HCD,AUDITING AND HEALTH CLASSIFICATION D 
PHE5AHR,AUSTRALIA'S INTERNATIONAL HEALTH RELATIONS 
HUS1DAU,AUSTRALIA: THE MYTHS THAT MADE US 
GEG2ACR,AUSTRALIAN CITIES AND REGIONS 
SOC2ACR,AUSTRALIAN CITIES AND REGIONS 
EDU2ACL,AUSTRALIAN CONTEMPORARY CHILDREN'S LITERATURE 
OED2ACL,AUSTRALIAN CULTURE AND LAND 
DRA3AUD,AUSTRALIAN DRAMA FROM 1955 TO THE PRESENT 
EMS5AEE,AUSTRALIAN ENGINEERING ENVIRONMENT SUSTAINABILITY AND PRACTICE 
LAW5AFL,AUSTRALIAN FAMILY LAW 
ZOO2FE,AUSTRALIAN FAUNA AND ECOLOGY 
POL3AAW,AUSTRALIAN FOREIGN POLICY 
ARC2AIA,AUSTRALIAN INDIGENOUS ARCHAEOLOGY 
ARC3AIA,AUSTRALIAN INDIGENOUS ARCHAEOLOGY 
LAW5AIP,AUSTRALIAN INTELLECTUAL PROPERTY LAW 
HUM5SIP,AUSTRALIAN INTERNSHIPS AND PLACEMENTS 
ENG2AUL,AUSTRALIAN LITERATURE 
POL2APC,AUSTRALIAN POLITICAL CULTURE 
POL5APP,AUSTRALIAN POLITICS AND PUBLIC POLICY 
DFS1AUA,AUSTRALIAN SIGN LANGUAGE 1A 
DFS1AUB,AUSTRALIAN SIGN LANGUAGE 1B 
DFS2AUA,AUSTRALIAN SIGN LANGUAGE 2A 
DFS2AUB,AUSTRALIAN SIGN LANGUAGE 2B 
AST4ASA,AUSTRALIAN STUDIES AND ASIA 
HIS3AAW,AUSTRALIANS AT WAR IN THE TWENTIETH CENTURY 
POL3INR,"AUTHORITARIAN EMPIRES: RUSSIA, CHINA AND THE POLITICS OF EURASIA "
EDU5ASE,AUTISM SPECTRUM AND ENGAGEMENT 
BUS4HNB,B COMMERCE HONS THESIS 
BUS4HNA,B COMMERCE HONS THESIS 
POL1ISP,BACHELOR OF INTERNATIONAL RELATIONS INDUCTION SEMINAR 
LAW3BFL,BANKING AND FINANCE LAW 
FIN2BFI,BANKING AND FINANCIAL INSTITUTIONS 
ELE2CCT,BASIC ELECTRONIC CIRCUITS 
PHE3BCR,BEHAVIOUR CHANGE FOR REHABILITATION CLIENTS 
FIN5BEF,BEHAVIOURAL FINANCE 
SWP3CSC,BEING THE CHANGE: COMMUNITY SERVICES PRACTICE AND FAMILY VIOLENCE 
CSE3BDC,BIG DATA MANAGEMENT ON THE CLOUD 
CSE5BDC,BIG DATA MANAGEMENT ON THE CLOUD 
CSE3BGX,BIG DATA MANAGEMENT ON THE CLOUD 
CSE3BDX,BIG DATA ON THE CLOUD 
BUS1BIB,BIG IDEAS IN BUSINESS 
EDU5CPP,"BIG IDEAS IN CURRICULUM, POLICIES AND PEDAGOGIES "
SCI2COP,BIG IDEAS IN SCIENCE: CAREER OPTIONS AND PROFESSIONAL IDENTITY 
SCI1LUE,"BIG IDEAS IN SCIENCE: LIFE, THE UNIVERSE AND EVERYTHING "
LST3BIG,BIG ISSUES IN CRIMINOLOGY 
EDU5BLE,BILINGUALISM AND LANGUAGE EDUCATION 
ORT3BIV,BINOCULAR VISION 
BIO5BBM,BIO-BUSINESS MANAGEMENT 
AGR2BAA,BIOCHEMISTRY FOR AGRICULTURE AND ANIMAL SCIENCES 
PHE5BHC,BIOETHICS AND HEALTH CARE 
BIO5INF,BIOINFORMATICS 
BIO1CO,BIOLOGY OF CELL AND ORGANISM 
SCI1BIF,BIOLOGY OF FISH 
EDU4BI2,BIOLOGY SECONDARY CURRICULUM 2 
SPE2BMA,BIOMECHANICS AND MOVEMENT ANALYSIS 
HBS3NPM,BIOMECHANICS OF NORMAL AND PATHOLOGICAL MOVEMENT 
ELE4BME,BIOMEDICAL ENGINEERING B 
CHE3BPH,BIOPHARMACEUTICS 
PHI2BTS,BIOSCIENCES TECHNOLOGY AND SOCIETY 
BOT5BPP,BIOSECURITY PLANT PESTS - PATHOGENS 
PHE5IST,BIOSTATISTICS 
STA2BS,BIOSTATISTICS 
STA3BS,BIOSTATISTICS 
PHA4BT,BIOTECHNOLOGY 
LAW5BIO,BIOTECHNOLOGY AND THE LAW 
ENV3BPP,"BIRDS, PLANTS AND POLLINATORS "
PHI3BMM,"BODIES, MONEY AND MARKETS "
ANT3CBM,"BODY, MIND AND CULTURE "
AST2BAB,BOLLYWOOD AND BEYOND 
POL3MSS,"BORDERS, BOATS AND BARRICADES: THE POLITICS OF INTERNATIONAL MIGRATION "
BIO3BMB,"BRAIN, MIND AND BEHAVIOUR "
LAS2BRZ,"BRAZIL: HISTORY, DEVELOPMENT, CULTURE AND THE AMAZON "
HMK3BRG,BRIDGING RESEARCH GAPS 
JRN3BEJ,BROADCAST JOURNALISM 
EDU5BCL,BUILDING INCLUSIVE COMMUNITIES OF LEARNERS 
EDU5BSP,BUILDING STRATEGIC ORGANISATIONAL PARTNERSHIPS 
OED2BE,BUSH ENVIRONMENTS 
CSE3BCN,BUSINESS COMPUTER NETWORKS 
CSE3BDS,BUSINESS DATA STRUCTURES 
BUS301,BUSINESS ENTREPRENEURSHIP 
MGT2BET,BUSINESS ETHICS 
MGT2BEX,BUSINESS ETHICS 
BUS1BUF,BUSINESS FOUNDATIONS 
BUS1BFX,BUSINESS FUNDAMENTALS 
ECO3BWE,BUSINESS IN THE WORLD ECONOMY 
BUS5BID,BUSINESS INFORMATION SYSTEMS DESIGN 
BUS5BIM,BUSINESS INFORMATION SYSTEMS MANAGEMENT 
BUS2BIX,BUSINESS INNOVATION 
CSE4BIE,BUSINESS INTELLIGENCE ENGINEERING 
BUS5BPD,BUSINESS INTELLIGENCE PROJECT 
BUS5BPI,BUSINESS INTELLIGENCE PROJECT IMPLEMENTATION 
BUS1BLS,BUSINESS LANGUAGE SKILLS 
BUS1BUN,BUSINESS NUMERACY 
CSE2BPC,BUSINESS PROGRAMMING CONCEPTS 
MGT5BRM,BUSINESS RESEARCH METHODS 
BUA5BRM,BUSINESS RESEARCH METHODS 
BUS5BRM,BUSINESS RESEARCH METHODS 
BUS3BST,BUSINESS STUDY TOUR 
BUS5WIL,BUSINESS WORK PLACEMENT 
BUS1BSW,BUSINESS WRITING 
ECO2BMO,"BUSINESS, ECONOMIC AND FINANCIAL MODELLING WITH EXCEL "
CSE5CES,C PROGRAMMING FOR ENGINEERS AND SCIENTISTS (PG) 
MAT1CDE,CALCULUS AND DIFFERENTIAL EQUATIONS 
POL5CAE,CAMPAIGNS AND ELECTIONS 
STC1CAM,"CAMPAIGNS: STRATEGIES, ANALYSIS AND DESIGN "
LAW5CCP,CANADIAN CRIMINAL LAW 
GER4CSS,CARE AND SUPPORT SERVICES FOR OLDER PEOPLE 
MID3NCN,CARE OF THE NEONATE WITH COMPLEX NEEDS 
NSM4NSN,CARE OF THE NEONATE WITH SPECIAL NEEDS 
BIO3CEP,CAREER OPTIONS AND PROFESSIONAL IDENTITY IN BIOLOGY 
AGR3CSA,CASE STUDIES IN ANIMAL SCIENCE 
FIN3CSF,CASE STUDIES IN FINANCE 
FIN3CFP,CASE STUDIES IN FINANCIAL PLANNING 
HIM3CHC,CASEMIX AND HEALTH CLASSIFICATION C 
PLA5CM,CATCHMENT MANAGEMENT 
PLA4CM,CATCHMENT MANAGEMENT 
ART3CER,CERAMICS 
HIS3URB,CHANGING CITIES: OLD AND NEW WORLDS 
MAT4DS,CHAOS AND ORDER IN DYNAMICAL SYSTEMS 
CHE2CAN,CHEMICAL ANALYSIS 
CHE5CSC,CHEMICAL STRUCTURE AND CHARACTERIZATION 
