career,campus,code,eftsl,title,band_id,credit
Postgraduate,Brunswick Campus,BUSM3139,0.125,Industrial Organisation and Management (Textile),3A,12
Postgraduate,Brunswick Campus,GRAP2163,0.125,International Entrepreneurship in Fashion and Textiles,1,12
Postgraduate,Brunswick Campus,TCHE2591,0.125,Introduction to STEM Education,P1,12
Postgraduate,Brunswick Campus,BUSM4184,0.125,Luxury Fashion Business Management,3A,12
Postgraduate,Brunswick Campus,MKTG1374,0.125,Marketing for Fashion Entrepreneurs,3A,12
Postgraduate,Brunswick Campus,GRAP2165,0.125,Product Development Strategies,1,12
Postgraduate,Brunswick Campus,GRAP2164,0.125,Production Management for Fashion and Textiles,1,12
Postgraduate,Brunswick Campus,TCHE2512,0.125,Professional Experience: Teaching for Inclusion,P1,12
Postgraduate,Brunswick Campus,GRAP2613,0.125,Research Strategies for Fashion,1,12
Postgraduate,Brunswick Campus,BUSM4782,0.125,Research Strategies for Fashion Ventures,3A,12
Postgraduate,Brunswick Campus,MANU2184,0.125,Sportswear and Performance Textiles,2,12
Postgraduate,Brunswick Campus,GRAP2166,0.125,Textile Industry and Textile Manufacturing Economics,1,12
Postgraduate,Brunswick Campus,MANU2091,0.125,Textile Product Development and Engineering,2,12
Postgraduate,Brunswick Campus,BUSM2295,0.125,Textile Quality Management,3A,12
Undergraduate,Brunswick Campus,GRAP2534,0.125,2D and 3D Design Production 1,1,12
Undergraduate,Brunswick Campus,GRAP2539,0.125,2D and 3D Design Production 2,1,12
Undergraduate,Brunswick Campus,GRAP2917,0.125,3D Printing for Creatives: How to use new technology to make things in a multi-disciplinary setting,1,12
Undergraduate,Brunswick Campus,GRAP2941,0.125,Advanced CAID,2,12
Undergraduate,Brunswick Campus,GRAP2442,0.125,Advanced IT Fashion Illustration and Information Systems,1,12
Undergraduate,Brunswick Campus,GRAP2530,0.125,Advanced Illustration Techniques,1,12
Undergraduate,Brunswick Campus,GRAP2940,0.125,Advanced Industrial Design Engineering,2,12
Undergraduate,Brunswick Campus,GRAP2926,0.125,Advanced Industrial Design Visualisation,1,12
Undergraduate,Brunswick Campus,MANU2094,0.125,Advanced Pattern Technology,2,12
Undergraduate,Brunswick Campus,ARCH3332,0.125,Ambisonic Modelling,2,12
Undergraduate,Brunswick Campus,GRAP2797,0.125,Apparel Quality Management,1,12
Undergraduate,Brunswick Campus,BUSM3136,0.125,Applied Computer Applications,3A,12
Undergraduate,Brunswick Campus,TCHE2358,0.125,Applied Education Project,P1,12
Undergraduate,Brunswick Campus,MKTG1444,0.125,Applied Fashion Media and Communication,3A,12
Undergraduate,Brunswick Campus,BUSM3150,0.125,Applied Management,3A,12
Undergraduate,Brunswick Campus,GRAP2528,0.125,Applied Typography,1,12
Undergraduate,Brunswick Campus,GRAP2936,0.125,Atelier,2,12
Undergraduate,Brunswick Campus,CIVE1213,0.125,AutoCAD for Civil Engineers,2,12
Undergraduate,Brunswick Campus,MANU2496,0.125,Bio Design for Sustainable Fashion Futures,2,12
Undergraduate,Brunswick Campus,GRAP2811,0.125,Bio Fashion Design and Materials,1,12
Undergraduate,Brunswick Campus,BUSM3138,0.125,Building a Winning Team,3A,12
Undergraduate,Brunswick Campus,JUST2238,0.125,Business Law,1,12
Undergraduate,Brunswick Campus,BAFI2103,0.125,Business Statistics,3A,12
Undergraduate,Brunswick Campus,GRAP2931,0.125,CAID to CAM,2,12
Undergraduate,Brunswick Campus,MANU1455,0.125,Carpet Production,2,12
Undergraduate,Brunswick Campus,CHEM1233,0.125,Chemistry for Textiles,2,12
Undergraduate,Brunswick Campus,TCHE2360,0.125,Child Development,P1,12
Undergraduate,Brunswick Campus,TCHE2462,0.125,Children's Learning and Development: Birth - 12,P1,12
Undergraduate,Brunswick Campus,TCHE2362,0.125,"Children, Education Settings and Society",P1,12
Undergraduate,Brunswick Campus,TCHE2578,0.125,Coaching Children's Sport,P1,12
Undergraduate,Brunswick Campus,MKTG1452,0.125,Communication Skills for Fashion Business,3A,12
Undergraduate,Brunswick Campus,ARCH3334,0.125,Computational Prototyping for Industrial Design,2,12
Undergraduate,Brunswick Campus,GRAP2680,0.125,Computer Aided Design (CAD) for Fashion,1,12
Undergraduate,Brunswick Campus,MANU2092,0.125,Computer Aided Design and Computer Aided Manufacture (CAD/CAM) in Fashion and Textiles,2,12
Undergraduate,Brunswick Campus,GRAP2760,0.125,Contemporary Fashion Contexts,1,12
Undergraduate,Brunswick Campus,GRAP2860,0.125,Contemporary and Ethical Textiles,1,12
Undergraduate,Brunswick Campus,MANU1449,0.125,Cotton Spinning,2,12
Undergraduate,Brunswick Campus,TCHE2513,0.125,Critical Issues in School Mathematics,P1,12
Undergraduate,Brunswick Campus,TCHE2590,0.125,Cross-Cultural Teaching and Learning,P1,12
Undergraduate,Brunswick Campus,TCHE2284,0.125,Curriculum and Assessment,P1,12
Undergraduate,Brunswick Campus,TCHE2497,0.125,"Curriculum, Assessment and Reporting",P1,12
Undergraduate,Brunswick Campus,GRAP2814,0.125,Custom Fashion Design Industry Techniques,1,12
Undergraduate,Brunswick Campus,GRAP2916,0.125,"Design Drawing: ideas,objects and diagrams",1,12
Undergraduate,Brunswick Campus,GRAP2540,0.125,Design Industry Engagement,1,12
Undergraduate,Brunswick Campus,GRAP2937,0.125,Design Practicum,2,12
Undergraduate,Brunswick Campus,GRAP2933,0.125,"Design Prototyping: Materials, Processes and Experimentation",2,12
Undergraduate,Brunswick Campus,GRAP2927,0.25,Design Studio: Critical and Creative Concerns,2,24
Undergraduate,Brunswick Campus,GRAP2928,0.25,Design Studio: Design in Industry,2,24
Undergraduate,Brunswick Campus,GRAP2929,0.25,Design Studio: Design in the Research Context,2,24
Undergraduate,Brunswick Campus,GRAP2934,0.25,Design Studio: Digital Practice for Industrial Design,2,24
Undergraduate,Brunswick Campus,GRAP2471,0.125,Design and Development 1,1,12
Undergraduate,Brunswick Campus,GRAP2466,0.125,Design and Development 2,1,12
Undergraduate,Brunswick Campus,GRAP2467,0.125,Design and Development 3,1,12
Undergraduate,Brunswick Campus,GRAP2472,0.125,Design and Development 4,1,12
Undergraduate,Brunswick Campus,GRAP2915,0.125,Design for Sustainability Studio,1,12
Undergraduate,Brunswick Campus,GRAP2919,0.125,"Design in Society: Histories, Politics and Contexts of Application",1,12
Undergraduate,Brunswick Campus,ARCH3333,0.125,Designing with Data,2,12
Undergraduate,Brunswick Campus,TCHE2515,0.125,Developing Literacy: 3-6,P1,12
Undergraduate,Brunswick Campus,MANU2491,0.125,Digital Applications for Fashion Enterprise 1,2,12
Undergraduate,Brunswick Campus,MANU2493,0.125,Digital Applications for Fashion Enterprise 2,2,12
Undergraduate,Brunswick Campus,GRAP2762,0.125,Digital Design 1,1,12
Undergraduate,Brunswick Campus,GRAP2761,0.125,Digital Design 2,1,12
Undergraduate,Brunswick Campus,GRAP2527,0.125,Digital Design Production,1,12
Undergraduate,Brunswick Campus,GRAP2809,0.125,Digital Drawing and Communication for Sustainable Innovation,1,12
Undergraduate,Brunswick Campus,MKTG1440,0.125,Digital Fashion Marketing Strategies,3A,12
Undergraduate,Brunswick Campus,GRAP2864,0.125,Digital Printed Textile Design,1,12
Undergraduate,Brunswick Campus,MANU2499,0.125,Digital Prototyping for Fashion and Textiles,2,12
Undergraduate,Brunswick Campus,GRAP2536,0.125,Digital Publishing,1,12
Undergraduate,Brunswick Campus,GRAP2445,0.125,Digital Strategies for Fashion,1,12
Undergraduate,Brunswick Campus,MANU2500,0.125,Digital Techniques and the Body,2,12
Undergraduate,Brunswick Campus,GRAP2859,0.125,Digital Textile Design,1,12
Undergraduate,Brunswick Campus,GRAP2334,0.125,Digital Textile Design and Communication,1,12
Undergraduate,Brunswick Campus,GRAP2335,0.125,Digital Textile Design and Illustration,1,12
Undergraduate,Brunswick Campus,GRAP2348,0.125,Digital Textile Design and Industry,1,12
Undergraduate,Brunswick Campus,GRAP2342,0.125,Digital Textile Design and Storytelling,1,12
Undergraduate,Brunswick Campus,GRAP2343,0.125,Digital Textile Design and the Marketplace,1,12
Undergraduate,Brunswick Campus,TCHE2503,0.125,Discovering Science,P1,12
Undergraduate,Brunswick Campus,GRAP2526,0.125,Drawing and Digital Illustration,1,12
Undergraduate,Brunswick Campus,MANU2030,0.125,Dyeing Practices,2,12
Undergraduate,Brunswick Campus,MANU1462,0.125,Dyeing and Finishing Technology,2,12
Undergraduate,Brunswick Campus,TCHE2507,0.125,Early Literacy Foundation to Year 2,P1,12
Undergraduate,Brunswick Campus,TCHE2307,0.125,Education Futures: Imagining Curriculum,P1,12
Undergraduate,Brunswick Campus,TCHE2516,0.125,Education Futures: Imagining Policy and Practice,P1,12
Undergraduate,Brunswick Campus,TCHE2498,0.125,Education Theories and Practice,P1,12
Undergraduate,Brunswick Campus,TCHE2357,0.125,"Education, Theories and Practice",P1,12
Undergraduate,Brunswick Campus,TCHE2493,0.125,Educational Settings and Society,P1,12
Undergraduate,Brunswick Campus,GRAP2938,0.125,Electronic and Interactive Prototyping,2,12
Undergraduate,Brunswick Campus,TCHE2500,0.125,Exploration and Development in Arts Education,P1,12
Undergraduate,Brunswick Campus,TCHE2593,0.125,Extending Teaching English as a Second Language,P1,12
Undergraduate,Brunswick Campus,MANU1081,0.125,Fabric Technology,2,12
Undergraduate,Brunswick Campus,COSC2785,0.125,Fashion AI,2,12
Undergraduate,Brunswick Campus,OMGT2330,0.125,Fashion Analytics,3A,12
Undergraduate,Brunswick Campus,GRAP2444,0.125,Fashion Apparel Product Development,1,12
Undergraduate,Brunswick Campus,GRAP2779,0.125,Fashion Business,1,12
Undergraduate,Brunswick Campus,MKTG1448,0.125,Fashion Buying Strategies,3A,12
Undergraduate,Brunswick Campus,GRAP2817,0.125,Fashion Communication Design,1,12
Undergraduate,Brunswick Campus,MKTG1450,0.125,Fashion Consumer Insights,3A,12
Undergraduate,Brunswick Campus,GRAP2825,0.125,Fashion Design Body Artefacts and Accessories,1,12
Undergraduate,Brunswick Campus,GRAP2826,0.125,Fashion Design Compositions and Styling,1,12
Undergraduate,Brunswick Campus,GRAP2468,0.125,Fashion Design Concepts,1,12
Undergraduate,Brunswick Campus,GRAP2818,0.125,Fashion Design Diversity,1,12
Undergraduate,Brunswick Campus,GRAP2674,0.125,Fashion Design Elective 1,1,12
Undergraduate,Brunswick Campus,GRAP2675,0.125,Fashion Design Elective 2,1,12
Undergraduate,Brunswick Campus,GRAP2676,0.125,Fashion Design Elective 3,1,12
Undergraduate,Brunswick Campus,GRAP2819,0.125,Fashion Design Industry Techniques,1,12
Undergraduate,Brunswick Campus,GRAP2470,0.125,Fashion Design Influences,1,12
Undergraduate,Brunswick Campus,GRAP2827,0.125,Fashion Design Languages and Writing,1,12
Undergraduate,Brunswick Campus,GRAP2828,0.125,Fashion Design Object and Space,1,12
Undergraduate,Brunswick Campus,GRAP2833,0.25,Fashion Design Partnered Project,1,24
Undergraduate,Brunswick Campus,GRAP2829,0.125,Fashion Design Performance and Function,1,12
Undergraduate,Brunswick Campus,GRAP2834,0.25,Fashion Design Persona Project,1,24
Undergraduate,Brunswick Campus,GRAP2671,0.125,Fashion Design Professional Practice 1,1,12
Undergraduate,Brunswick Campus,GRAP2672,0.125,Fashion Design Professional Practice 2,1,12
Undergraduate,Brunswick Campus,GRAP2673,0.125,Fashion Design Professional Practice 3,1,12
Undergraduate,Brunswick Campus,GRAP2835,0.25,Fashion Design Project Launch,1,24
Undergraduate,Brunswick Campus,GRAP2820,0.125,Fashion Design Reuse,1,12
Undergraduate,Brunswick Campus,GRAP2877,0.125,Fashion Design Strategies and Environments,1,12
Undergraduate,Brunswick Campus,GRAP2665,0.25,Fashion Design Studio 1,1,24
Undergraduate,Brunswick Campus,GRAP2666,0.25,Fashion Design Studio 2,1,24
Undergraduate,Brunswick Campus,GRAP2667,0.25,Fashion Design Studio 3,1,24
Undergraduate,Brunswick Campus,GRAP2668,0.25,Fashion Design Studio 4,1,24
Undergraduate,Brunswick Campus,GRAP2669,0.25,Fashion Design Studio 5,1,24
Undergraduate,Brunswick Campus,GRAP2670,0.25,Fashion Design Studio 6,1,24
Undergraduate,Brunswick Campus,GRAP2469,0.125,Fashion Design and Drawing,1,12
Undergraduate,Brunswick Campus,GRAP2830,0.125,"Fashion Design, Wear, Use and Consumption",1,12
Undergraduate,Brunswick Campus,GRAP2446,0.125,Fashion Distribution and Logistics,1,12
Undergraduate,Brunswick Campus,BUSM4795,0.125,Fashion Enterprise Creation,3A,12
Undergraduate,Brunswick Campus,BAFI3237,0.125,Fashion Enterprise Finance,3A,12
Undergraduate,Brunswick Campus,BUSM4793,0.125,Fashion Enterprise Global Experience,3A,12
Undergraduate,Brunswick Campus,BUSM4799,0.25,Fashion Enterprise Partnered Project,3A,24
Undergraduate,Brunswick Campus,BUSM4797,0.25,Fashion Enterprise Project Launch,3A,24
Undergraduate,Brunswick Campus,SOCU2303,0.125,Fashion Ethics,1,12
Undergraduate,Brunswick Campus,GRAP2821,0.125,Fashion Expressions,1,12
Undergraduate,Brunswick Campus,GRAP2684,0.125,Fashion Global Experience,1,12
Undergraduate,Brunswick Campus,GRAP2464,0.125,Fashion Knitwear,1,12
Undergraduate,Brunswick Campus,LAW2561,0.125,Fashion Law,3,12
Undergraduate,Brunswick Campus,GRAP2677,0.125,Fashion Material Studies 1,1,12
Undergraduate,Brunswick Campus,GRAP2678,0.125,Fashion Material Studies 2,1,12
Undergraduate,Brunswick Campus,GRAP2440,0.125,Fashion Materials,1,12
Undergraduate,Brunswick Campus,MKTG1438,0.125,Fashion Merchandise Management,3A,12
Undergraduate,Brunswick Campus,GRAP2822,0.125,Fashion Presentation Design,1,12
Undergraduate,Brunswick Campus,GRAP2801,0.125,Fashion Product Development,1,12
Undergraduate,Brunswick Campus,MANU2489,0.125,Fashion Product Specifications,2,12
Undergraduate,Brunswick Campus,GRAP2758,0.25,Fashion Project - Collection,1,24
Undergraduate,Brunswick Campus,GRAP2759,0.25,Fashion Project - Concept,1,24
Undergraduate,Brunswick Campus,BUSM4785,0.125,Fashion Project Management,3A,12
Undergraduate,Brunswick Campus,GRAP2799,0.125,Fashion Range Development,1,12
Undergraduate,Brunswick Campus,GRAP2795,0.125,Fashion Retail Experience Design,1,12
Undergraduate,Brunswick Campus,MKTG1249,0.125,Fashion Retail Management,3A,12
Undergraduate,Brunswick Campus,GRAP2447,0.125,Fashion Retail and Merchandising Management,1,12
Undergraduate,Brunswick Campus,GRAP2662,0.125,Fashion Studies 1,1,12
Undergraduate,Brunswick Campus,GRAP2663,0.125,Fashion Studies 2,1,12
Undergraduate,Brunswick Campus,GRAP2664,0.125,Fashion Studies 3,1,12
Undergraduate,Brunswick Campus,OMGT2332,0.125,Fashion Sustainability,3A,12
Undergraduate,Brunswick Campus,GRAP2439,0.125,Fashion Visual Merchandising,1,12
Undergraduate,Brunswick Campus,GRAP2815,0.125,Fashion and Dress,1,12
Undergraduate,Brunswick Campus,MKTG1454,0.125,Fashion and Luxury Brand Management,3A,12
Undergraduate,Brunswick Campus,GRAP2683,0.125,Fashion and Textile Industry Placement,1,12
Undergraduate,Brunswick Campus,GRAP2443,0.125,Fashion and Textiles Industry Research,1,12
Undergraduate,Brunswick Campus,MKTG1170,0.125,Fashion and Textiles Marketing,3A,12
Undergraduate,Brunswick Campus,GRAP2816,0.125,Fashion and Textiles Materials,1,12
Undergraduate,Brunswick Campus,MKTG1250,0.125,Fashion and Textiles Merchandising Management,3A,12
Undergraduate,Brunswick Campus,MANU2516,0.125,Fashion and Textiles Sustainable Innovation Strategies and Environments,2,12
Undergraduate,Brunswick Campus,BUSM4787,0.125,Fashion eCommerce,3A,12
Undergraduate,Brunswick Campus,SOCU2301,0.125,"Fashion, Textiles, Place and Story",1,12
Undergraduate,Brunswick Campus,BAFI2104,0.125,Financial Decision Making,3A,12
Undergraduate,Brunswick Campus,MANU2029,0.125,Finishing Practices,2,12
Undergraduate,Brunswick Campus,MANU2090,0.125,Finishing: Thinking Backwards About Managing Print,2,12
Undergraduate,Brunswick Campus,INTE2571,0.125,Flexible modelling for Design and Prototyping,2,12
Undergraduate,Brunswick Campus,GRAP2328,0.125,Future Forecasting for Creative Industries,1,12
Undergraduate,Brunswick Campus,MANU2089,0.125,Future Scenarios for Print,2,12
Undergraduate,Brunswick Campus,GRAP2831,0.125,Garment Design Industry Techniques,1,12
Undergraduate,Brunswick Campus,TCHE2506,0.125,Geography in a Global Context,P1,12
Undergraduate,Brunswick Campus,GRAP2438,0.125,Global Fashion Marketing,1,12
Undergraduate,Brunswick Campus,BUSM4791,0.125,Global Fashion Sourcing,3A,12
Undergraduate,Brunswick Campus,GRAP2437,0.125,Global Impacts of Fashion Merchandise,1,12
Undergraduate,Brunswick Campus,GRAP2533,0.125,Graphic Design Studio 1,1,12
Undergraduate,Brunswick Campus,GRAP2538,0.125,Graphic Design Studio 2,1,12
Undergraduate,Brunswick Campus,GRAP2525,0.125,Graphic Design Theory and Practice 1,1,12
Undergraduate,Brunswick Campus,GRAP2529,0.125,Graphic Design Theory and Practice 2,1,12
Undergraduate,Brunswick Campus,BUSM3137,0.125,Graphic Technology Supply Chains,3A,12
Undergraduate,Brunswick Campus,TCHE2286,0.125,HPE 1: Teaching Physical Education for Understanding,P1,12
Undergraduate,Brunswick Campus,TCHE2298,0.125,HPE 2:Promoting Health Education,P1,12
Undergraduate,Brunswick Campus,TCHE2276,0.125,Humanities 1: History and Society,P1,12
Undergraduate,Brunswick Campus,TCHE2278,0.125,Humanities 2: Global Citizenship & Sustainability,P1,12
Undergraduate,Brunswick Campus,GRAP2448,0.125,IT Fashion Illustration and Information Systems,1,12
Undergraduate,Brunswick Campus,TCHE2302,0.125,Inclusive Education,P1,12
Undergraduate,Brunswick Campus,GRAP2924,0.125,Industrial Design Drawing,1,12
Undergraduate,Brunswick Campus,GRAP2920,0.125,"Industrial Design Ecologies: Sustainability, Socio-technical Systems and Change",1,12
Undergraduate,Brunswick Campus,GRAP2932,0.125,"Industrial Design Engineering: Materials, Mechanics, Processes and Principles of Production",2,12
Undergraduate,Brunswick Campus,GRAP2935,0.25,Industrial Design Honours Project Part One: Design Research and Development,2,24
Undergraduate,Brunswick Campus,GRAP2930,0.25,Industrial Design Honours Project Part Two: Design Research and Prototyping,2,24
Undergraduate,Brunswick Campus,GRAP2939,0.125,Industrial Design Honours: Reflection and Exposition,2,12
Undergraduate,Brunswick Campus,GRAP2942,0.125,Industrial Design Prototyping and Complex Fabrication,2,12
Undergraduate,Brunswick Campus,GRAP2921,0.125,"Industrial Design Tactics: Temporal, Perceptual and Experiential Methods",1,12
Undergraduate,Brunswick Campus,BUSM1774,0.125,Industrial Organisation and Management (Textile),3A,12
Undergraduate,Brunswick Campus,MANU2102,0.125,Industrial Textiles,2,12
Undergraduate,Brunswick Campus,GRAP2473,0.125,Industry Engagement,1,12
Undergraduate,Brunswick Campus,TCHE2303,0.125,Integrated Studies,P1,12
Undergraduate,Brunswick Campus,ARCH3336,0.125,Interactive Systems Design,2,12
Undergraduate,Brunswick Campus,TCHE2494,0.125,Introducing School Mathematics and Numeracy,P1,12
Undergraduate,Brunswick Campus,TCHE2495,0.125,Introduction to Arts Education,P1,12
Undergraduate,Brunswick Campus,GRAP2832,0.125,Introduction to Fashion Design Practice,1,12
Undergraduate,Brunswick Campus,BUSM4789,0.125,Introduction to Fashion Enterprise,3A,12
Undergraduate,Brunswick Campus,MKTG1446,0.125,Introduction to Fashion Marketing,3A,12
Undergraduate,Brunswick Campus,MKTG1442,0.125,Introduction to Fashion Retailing,3A,12
Undergraduate,Brunswick Campus,INTE1114,0.125,Introduction to IT (For Textiles),2,12
Undergraduate,Brunswick Campus,GRAP2679,0.125,Introduction to Patternmaking,1,12
Undergraduate,Brunswick Campus,TCHE2595,0.125,Introduction to STEM Education,P1,12
Undergraduate,Brunswick Campus,MANU2502,0.125,Introduction to Sustainable Innovation for Fashion and Textiles,2,12
Undergraduate,Brunswick Campus,GRAP2288,0.125,Introduction to Textile Design Knit,1,12
Undergraduate,Brunswick Campus,GRAP2858,0.125,Introduction to Textile Design Practice,1,12
Undergraduate,Brunswick Campus,GRAP2289,0.125,Introduction to Textile Design Print,1,12
Undergraduate,Brunswick Campus,TCHE2300,0.125,Issues and Contexts in Education,P1,12
Undergraduate,Brunswick Campus,GRAP2488,0.125,Knit Design Concepts,1,12
Undergraduate,Brunswick Campus,GRAP2490,0.125,Knit Design Influences,1,12
Undergraduate,Brunswick Campus,GRAP2475,0.125,Knit Design and Development 2,1,12
Undergraduate,Brunswick Campus,GRAP2476,0.125,Knit Design and Development 3,1,12
Undergraduate,Brunswick Campus,GRAP2474,0.125,Knit Design and Development 4,1,12
Undergraduate,Brunswick Campus,GRAP2480,0.125,Knit Pattern Specifications,1,12
Undergraduate,Brunswick Campus,GRAP2477,0.125,Knit Pattern Technology 2,1,12
Undergraduate,Brunswick Campus,GRAP2618,0.125,Knit Pattern Technology 3,1,12
Undergraduate,Brunswick Campus,GRAP2478,0.125,Knit Pattern Technology 4,1,12
Undergraduate,Brunswick Campus,GRAP2479,0.125,Knit Production Planning,1,12
Undergraduate,Brunswick Campus,GRAP2481,0.125,Knit Professional Practice,1,12
Undergraduate,Brunswick Campus,GRAP2861,0.125,Knitted Textile Design,1,12
Undergraduate,Brunswick Campus,GRAP2867,0.125,Knitted Textile Form,1,12
Undergraduate,Brunswick Campus,MANU1453,0.125,Knitwear Production,2,12
Undergraduate,Brunswick Campus,TCHE2504,0.125,Languages,P1,12
Undergraduate,Brunswick Campus,TCHE2361,0.125,Literacy 1: Learning to be Literate,P1,12
Undergraduate,Brunswick Campus,TCHE2309,0.125,Literacy 2: Developing Language Users,P1,12
Undergraduate,Brunswick Campus,TCHE2306,0.125,Literacy 3: Multiliterate Writers,P1,12
Undergraduate,Brunswick Campus,TCHE2351,0.125,Literacy 4: 21st Century Literacies,P1,12
Undergraduate,Brunswick Campus,TCHE2682,0.125,Literature in the Middle Years,P1,12
Undergraduate,Brunswick Campus,ECON1213,0.125,Macroeconomics,3A,12
Undergraduate,Brunswick Campus,MANU1459,0.125,Major Project (A),2,12
Undergraduate,Brunswick Campus,MANU1458,0.125,Major Project (B),2,12
Undergraduate,Brunswick Campus,GRAP2918,0.125,Make Things Interactive: How to create physically interactive objects and environments,1,12
Undergraduate,Brunswick Campus,MANU2088,0.125,Managing Prepress and New Media Solutions,2,12
Undergraduate,Brunswick Campus,MKTG1241,0.125,Marketing Concept,3A,12
Undergraduate,Brunswick Campus,GRAP2449,0.125,Marketing for Fashion and Textiles,1,12
Undergraduate,Brunswick Campus,GRAP2810,0.125,Material Alchemy,1,12
Undergraduate,Brunswick Campus,MANU2503,0.125,Material Techniques for a Circular Economy,2,12
Undergraduate,Brunswick Campus,GRAP2436,0.125,Merchandising Maths,1,12
