code,title,meta
ACCT3321,Financial Accounting: Theory and Practice,"Type:UnitsCredit points:6;Coordinator(s):Dr Lyndie BayneLevel of study:Undergraduate;Faculty:Arts, Business, Law and EducationSchool:UWA Business SchoolBroadening:B;Electives:Bachelor of Arts;;Bachelor of Commerce;;Bachelor of Science;;Bachelor of Biomedical Science;;Level3Area of knowledge:Management and CommerceAvailability:Semester 1;Location:UWA (Perth);Albany;"
ACCT3322,Auditing,"Type:UnitsCredit points:6;Coordinator(s):Dr Prerana AgrawalLevel of study:Undergraduate;Faculty:Arts, Business, Law and EducationSchool:UWA Business SchoolBroadening:B;Electives:Bachelor of Arts;;Bachelor of Commerce;;Bachelor of Science;;Bachelor of Biomedical Science;;Level3Area of knowledge:Management and CommerceAvailability:Semester 2;Location:UWA (Perth);Albany;"
ACCT3323,Strategic Management Accounting,"Type:UnitsCredit points:6;Coordinator(s):Dr Stijn MasscheleinLevel of study:Undergraduate;Faculty:Arts, Business, Law and EducationSchool:UWA Business SchoolBroadening:B;Electives:Bachelor of Arts;;Bachelor of Commerce;;Bachelor of Science;;Bachelor of Biomedical Science;;Level3Area of knowledge:Management and CommerceAvailability:Semester 1;Location:UWA (Perth);"
ACCT4440,Management Accounting: Issues and Perspectives,"Type:UnitsCredit points:6;Coordinator(s):Dr Thanesvary Subraamanniam (Semester 1 and Semester 2)Level of study:Undergraduate;Postgraduate;Faculty:Arts, Business, Law and EducationSchool:UWA Business SchoolAvailability:Semester 1;Semester 2;Location:UWA (Perth);"
ACCT4471,Advanced Accounting Research,"Type:UnitsCredit points:6;Coordinator(s):Professor Vincent ChongLevel of study:Undergraduate;Faculty:Arts, Business, Law and EducationSchool:UWA Business SchoolAvailability:Semester 1;Location:UWA (Perth);"
ACCT4486,Dissertation (Accounting) Part 1,"Type:UnitsCredit points:6;Level of study:Undergraduate;Faculty:Arts, Business, Law and EducationSchool:UWA Business SchoolAvailability:Semester 1;Semester 2;Location:UWA (Perth);"
ACCT4487,Dissertation (Accounting) Part 2,"Type:UnitsCredit points:6;Level of study:Undergraduate;Faculty:Arts, Business, Law and EducationSchool:UWA Business SchoolAvailability:Semester 1;Semester 2;Location:UWA (Perth);"
ACCT4488,Dissertation (Accounting) Part 3,"Type:UnitsCredit points:6;Level of study:Undergraduate;Faculty:Arts, Business, Law and EducationSchool:UWA Business SchoolAvailability:Semester 1;Semester 2;Location:UWA (Perth);"
ACCT4489,Dissertation (Accounting) Part 4,"Type:UnitsCredit points:6;Level of study:Undergraduate;Faculty:Arts, Business, Law and EducationSchool:UWA Business SchoolAvailability:Semester 1;Semester 2;Location:UWA (Perth);"
ACCT5432,Introductory Financial Accounting,"Type:UnitsCredit points:6;Coordinator(s):Assistant Professor Leo Langa (Semester 1), Ms Nikki Schonfeldt (Semester 1 Online) and (Semester 2)Level of study:Postgraduate;Faculty:Arts, Business, Law and EducationSchool:UWA Business SchoolAvailability:Semester 1;Semester 2;Location:UWA (Perth);Online;"
ACCT5501,Contemporary Issues in Accounting,"Type:UnitsCredit points:6;Coordinator(s):Professor Jac Birt (Semester 1), Mr Glen Hutchings (Semester 2)Level of study:Postgraduate;Undergraduate;Faculty:Arts, Business, Law and EducationSchool:UWA Business SchoolAvailability:Semester 1;Semester 2;Location:UWA (Perth);"
ACCT5511,Intermediate Corporate Financial Accounting,"Type:UnitsCredit points:6;Coordinator(s):Dr Prerana Agrawal (Semester 1), Ms Collette Chesters (Semester 2)Level of study:Postgraduate;Faculty:Arts, Business, Law and EducationSchool:UWA Business SchoolAvailability:Semester 1;Semester 2;Location:UWA (Perth);"
ACCT5521,Advanced Corporate Financial Accounting,"Type:UnitsCredit points:6;Coordinator(s):Ms Collette Chesters (Semester 1 and Semester 2)Level of study:Postgraduate;Faculty:Arts, Business, Law and EducationSchool:UWA Business SchoolAvailability:Semester 1;Semester 2;Location:UWA (Perth);"
ACCT5522,Principles of Auditing,"Type:UnitsCredit points:6;Coordinator(s):Professor David Gilchrist (Semester 1 and Semester 2)Level of study:Postgraduate;Faculty:Arts, Business, Law and EducationSchool:UWA Business SchoolAvailability:Semester 1;Semester 2;Location:UWA (Perth);"
ACCT5531,Financial Accounting: Theory and Practice,"Type:UnitsCredit points:6;Coordinator(s):Ms Lesley HillLevel of study:Postgraduate;Faculty:Arts, Business, Law and EducationSchool:UWA Business SchoolAvailability:Semester 1;Semester 2;Location:UWA (Perth);"
ACCT5532,Accounting Information Systems,"Type:UnitsCredit points:6;Level of study:Postgraduate;Faculty:Arts, Business, Law and EducationSchool:UWA Business SchoolAvailability:Not available in 2020;Location:UWA (Perth);"
ACCT5602,Accounting,"Type:UnitsCredit points:6;Coordinator(s):Professor Phil Hancock for TS-E-1A; Warrick Van Zyl for Trimesters 2 and 3; Nikki Schonfeldt for Trimester 1Level of study:Postgraduate;Faculty:Arts, Business, Law and EducationSchool:UWA Business SchoolAvailability:Non-standard teaching period;Trimester 1;Trimester 2;Trimester 3;Location:UWA (Perth);Online;"
ACCT5633,Accounting for Planning and Control,"Type:UnitsCredit points:6;Coordinator(s):Professor Vincent Chong (Semester 1), Dr Nishant Agarwal (Semester 2)Level of study:Postgraduate;Faculty:Arts, Business, Law and EducationSchool:UWA Business SchoolAvailability:Semester 1;Semester 2;Location:UWA (Perth);"
ACCT5637,Principles of Taxation,"Type:UnitsCredit points:6;Coordinator(s):Dr Mark HolubLevel of study:Postgraduate;Faculty:Arts, Business, Law and EducationSchool:UWA Business SchoolAvailability:Semester 1;Location:UWA (Perth);"
ACCT5701,Audit and Assurance,"Type:UnitsCredit points:6;Coordinator(s):Professor Phil HancockLevel of study:Postgraduate;Faculty:Arts, Business, Law and EducationSchool:UWA Business SchoolAvailability:Not available in 2020;Location:UWA (Perth);"
ACCT5702,Taxation Australia,"Type:UnitsCredit points:6;Coordinator(s):Professor Phil HancockLevel of study:Postgraduate;Faculty:Arts, Business, Law and EducationSchool:UWA Business SchoolAvailability:Not available in 2020;Location:UWA (Perth);"
ACCT5703,Management Accounting and Applied Finance,"Type:UnitsCredit points:6;Coordinator(s):Professor Phil HancockLevel of study:Postgraduate;Faculty:Arts, Business, Law and EducationSchool:UWA Business SchoolAvailability:Not available in 2020;Location:UWA (Perth);"
ACCT5704,Financial Accounting and Reporting,"Type:UnitsCredit points:6;Coordinator(s):Professor Phil HancockLevel of study:Postgraduate;Faculty:Arts, Business, Law and EducationSchool:UWA Business SchoolAvailability:Not available in 2020;Location:UWA (Perth);"
ACCT5705,Chartered Accountants Capstone,"Type:UnitsCredit points:6;Coordinator(s):Professor Phil HancockLevel of study:Postgraduate;Faculty:Arts, Business, Law and EducationSchool:UWA Business SchoolAvailability:Not available in 2020;Location:UWA (Perth);"
AGRI1001,Feeding the World,Type:UnitsCredit points:6;Coordinator(s):Associate Professor Megan RyanLevel of study:Undergraduate;Faculty:ScienceSchool:Agriculture and EnvironmentBroadening:A;Level1Area of knowledge:Life and Health SciencesAvailability:Semester 1;Location:UWA (Perth);
AGRI2001,World Food Production Systems,Type:UnitsCredit points:6;Coordinator(s):Associate Professor Benedict WhiteLevel of study:Undergraduate;Faculty:ScienceSchool:Electives:Bachelor of Arts;;Bachelor of Commerce;;Bachelor of Science;;Bachelor of Biomedical Science;;Level2Availability:Not available in 2018;Location:
AGRI2201,Pasture and Livestock Systems,Type:UnitsCredit points:6;Coordinator(s):Associate Professor Megan Ryan and Professor Phil VercoeLevel of study:Undergraduate;Faculty:ScienceSchool:Agriculture and EnvironmentBroadening:B;Level2Area of knowledge:Life and Health SciencesAvailability:Semester 2;Location:UWA (Perth);
AGRI2298,Agricultural exchange to Indonesia,Type:UnitsCredit points:24;Level of study:Undergraduate;Faculty:ScienceSchool:Science OfficeBroadening:A;Electives:Bachelor of Arts;;Bachelor of Commerce;;Bachelor of Science;;Bachelor of Biomedical Science;;Level2Area of knowledge:Life and Health SciencesAvailability:Semester 1;Semester 2;Location:UWA (Perth);
AGRI4401,Advanced Crop Production Science,Type:UnitsCredit points:6;Coordinator(s):Dr Kenneth FlowerLevel of study:Undergraduate;Postgraduate;Faculty:ScienceSchool:Agriculture and EnvironmentAvailability:Non-standard teaching period;Location:UWA (Perth);
AGRI4403,Animal Reproduction,Type:UnitsCredit points:6;Coordinator(s):Dr Graeme MartinLevel of study:Undergraduate;Postgraduate;Faculty:ScienceSchool:Agriculture and EnvironmentAvailability:Non-standard teaching period;Location:UWA (Perth);
AGRI4404,Breeding and Animal Biotechnology,Type:UnitsCredit points:6;Coordinator(s):Professor Philip VercoeLevel of study:Undergraduate;Postgraduate;Faculty:ScienceSchool:Agriculture and EnvironmentAvailability:Semester 1;Location:UWA (Perth);
AGRI4405,Breeding and Plant Biotechnology,Type:UnitsCredit points:6;Coordinator(s):Professor William ErskineLevel of study:Undergraduate;Postgraduate;Faculty:ScienceSchool:Agriculture and EnvironmentAvailability:Semester 1;Location:UWA (Perth);
AGRI4407,Plant and Human Nutrition,Type:UnitsCredit points:6;Coordinator(s):Professor Zed RengelLevel of study:Undergraduate;Postgraduate;Faculty:ScienceSchool:Agriculture and EnvironmentAvailability:Semester 1;Location:UWA (Perth);
AGRI4511,Agriculture Honours Research Project Development,Type:UnitsCredit points:6;Coordinator(s):Dr Ken FlowerLevel of study:Undergraduate;Faculty:ScienceSchool:Agriculture and EnvironmentAvailability:Semester 1;Semester 2;Location:UWA (Perth);Albany;
AGRI4512,Agriculture Honours Research Presentation,Type:UnitsCredit points:6;Coordinator(s):Dr Ken FlowerLevel of study:Undergraduate;Faculty:ScienceSchool:Agriculture and EnvironmentAvailability:Semester 1;Semester 2;Location:UWA (Perth);Albany;
AGRI5402,Agribusiness,Type:UnitsCredit points:6;Coordinator(s):Dr Amin MugeraLevel of study:Postgraduate;Undergraduate;Faculty:ScienceSchool:Agriculture and EnvironmentAvailability:Semester 2;Location:UWA (Perth);
AGRI5502,Case Studies in Breeding and Biotechnology,Type:UnitsCredit points:6;Coordinator(s):Professor Guijun YanLevel of study:Postgraduate;Undergraduate;Faculty:ScienceSchool:Agriculture and EnvironmentAvailability:Semester 2;Location:UWA (Perth);
AGRI5503,Animal Production Systems,Type:UnitsCredit points:6;Coordinator(s):Professor Graeme MartinLevel of study:Postgraduate;Faculty:ScienceSchool:Agriculture and EnvironmentAvailability:Semester 2;Location:UWA (Perth);
AGRI5504,Organic Agriculture,Type:UnitsCredit points:6;Coordinator(s):Dr Sasha JenkinsLevel of study:Postgraduate;Undergraduate;Faculty:ScienceSchool:Agriculture and EnvironmentAvailability:Semester 1;Location:UWA (Perth);
AGRI5506,Integrated Pest Management - Principles,Type:UnitsCredit points:6;Coordinator(s):Associate Professor Theodore EvansLevel of study:Postgraduate;Faculty:ScienceSchool:Biological SciencesAvailability:Semester 1;Location:UWA (Perth);
AGRI5508,Sustainable Grazing Systems,Type:UnitsCredit points:6;Coordinator(s):Professor Philip VercoeLevel of study:Postgraduate;Undergraduate;Faculty:ScienceSchool:Agriculture and EnvironmentAvailability:Semester 2;Location:UWA (Perth);
AGRI5509,Agricultural Sciences Masters Research Project Development,Type:UnitsCredit points:6;Coordinator(s):Professor William ErskineLevel of study:Postgraduate;Faculty:ScienceSchool:Agriculture and EnvironmentAvailability:Semester 1;Semester 2;Location:UWA (Perth);Albany;
AGRI5510,Agricultural Sciences Masters Research Presentation,Type:UnitsCredit points:6;Coordinator(s):Professor William ErskineLevel of study:Postgraduate;Faculty:ScienceSchool:Agriculture and EnvironmentAvailability:Semester 1;Semester 2;Location:UWA (Perth);Albany;
AGRI5541,Agriculture Honours Research Dissertation Part 1,Type:UnitsCredit points:6;Coordinator(s):Dr Ken FlowerLevel of study:Undergraduate;Faculty:ScienceSchool:Agriculture and EnvironmentAvailability:Semester 1;Semester 2;Location:UWA (Perth);Albany;
AGRI5542,Agriculture Honours Research Dissertation Part 2,Type:UnitsCredit points:6;Coordinator(s):Dr Ken FlowerLevel of study:Undergraduate;Faculty:ScienceSchool:Agriculture and EnvironmentAvailability:Semester 1;Semester 2;Location:UWA (Perth);Albany;
AGRI5543,Agriculture Honours Research Dissertation Part 3,Type:UnitsCredit points:6;Coordinator(s):Dr Ken FlowerLevel of study:Undergraduate;Faculty:ScienceSchool:Agriculture and EnvironmentAvailability:Semester 1;Semester 2;Location:UWA (Perth);Albany;
AGRI5544,Agriculture Honours Research Dissertation Part 4,Type:UnitsCredit points:6;Coordinator(s):Dr Ken FlowerLevel of study:Undergraduate;Faculty:ScienceSchool:Agriculture and EnvironmentAvailability:Semester 1;Semester 2;Location:UWA (Perth);Albany;
AGRI5545,International Agriculture: Research and Development (Agricultural Economics),Type:UnitsCredit points:6;Coordinator(s):Dr Louise BartonLevel of study:Postgraduate;Faculty:ScienceSchool:Agriculture and EnvironmentAvailability:Semester 1;Location:UWA (Perth);
AGRI5546,International Agriculture: Research and Development (Crop and Livestock Farming Systems),Type:UnitsCredit points:6;Coordinator(s):Dr Louise BartonLevel of study:Postgraduate;Faculty:ScienceSchool:Agriculture and EnvironmentAvailability:Semester 1;Location:UWA (Perth);
AGRI5547,International Agriculture: Research and Development (Genetics and Breeding),Type:UnitsCredit points:6;Coordinator(s):Dr Louise BartonLevel of study:Postgraduate;Faculty:ScienceSchool:Agriculture and EnvironmentAvailability:Semester 1;Location:UWA (Perth);
AGRI5548,International Agriculture: Research and Development (Soil Science and Plant Nutrition),Type:UnitsCredit points:6;Coordinator(s):Dr Louise BartonLevel of study:Postgraduate;Faculty:ScienceSchool:Agriculture and EnvironmentAvailability:Semester 1;Location:UWA (Perth);
AGRI5551,Agricultural Sciences Masters Research Dissertation Part 1,Type:UnitsCredit points:6;Coordinator(s):Professor William ErskineLevel of study:Postgraduate;Faculty:ScienceSchool:Agriculture and EnvironmentAvailability:Semester 1;Semester 2;Location:UWA (Perth);Albany;
AGRI5552,Agricultural Sciences Masters Research Dissertation Part 2,Type:UnitsCredit points:6;Coordinator(s):Professor William ErskineLevel of study:Postgraduate;Faculty:ScienceSchool:Agriculture and EnvironmentAvailability:Semester 1;Semester 2;Location:UWA (Perth);Albany;
AGRI5553,Agricultural Sciences Masters Research Dissertation Part 3,Type:UnitsCredit points:6;Coordinator(s):Professor William ErskineLevel of study:Postgraduate;Faculty:ScienceSchool:Agriculture and EnvironmentAvailability:Semester 1;Semester 2;Location:UWA (Perth);Albany;
AGRI5554,Agricultural Sciences Masters Research Dissertation Part 4,Type:UnitsCredit points:6;Coordinator(s):Professor William ErskineLevel of study:Postgraduate;Faculty:ScienceSchool:Agriculture and EnvironmentAvailability:Semester 1;Semester 2;Location:UWA (Perth);Albany;
AGRI5560,Agricultural Economics Literature Review and Research Proposal,Type:UnitsCredit points:6;Coordinator(s):Dr Amin MugeraLevel of study:Postgraduate;Faculty:ScienceSchool:Agriculture and EnvironmentAvailability:Semester 1;Semester 2;Location:UWA (Perth);
AGRI5561,Agricultural Economics Research Project Part 1,Type:UnitsCredit points:6;Coordinator(s):Dr Amin MugeraLevel of study:Postgraduate;Faculty:ScienceSchool:Agriculture and EnvironmentAvailability:Semester 1;Semester 2;Location:UWA (Perth);
AGRI5562,Agricultural Economics Research Project Part 2,Type:UnitsCredit points:6;Coordinator(s):Dr Amin MugeraLevel of study:Postgraduate;Faculty:ScienceSchool:Agriculture and EnvironmentAvailability:Semester 1;Semester 2;Location:UWA (Perth);
AGRI5563,Agricultural Economics Research Project Part 3,Type:UnitsCredit points:6;Coordinator(s):Dr Amin MugeraLevel of study:Postgraduate;Faculty:ScienceSchool:Agriculture and EnvironmentAvailability:Semester 1;Semester 2;Location:UWA (Perth);
AHEA1101,Aboriginal Health,Type:UnitsCredit points:6;Coordinator(s):Professor Dawn BessarabLevel of study:Undergraduate;Faculty:Health and Medical SciencesSchool:Medical SchoolAvailability:Not available in 2020;Location:UWA (Perth);
AHEA1102,Communication and Research Methods,Type:UnitsCredit points:6;Coordinator(s):Professor Dawn BessarabLevel of study:Undergraduate;Faculty:Health and Medical SciencesSchool:Medical SchoolAvailability:Not available in 2020;Location:UWA (Perth);
AHEA1103,Introduction to Human Biological Sciences I,Type:UnitsCredit points:6;Coordinator(s):Professor Dawn BessarabLevel of study:Undergraduate;Faculty:Health and Medical SciencesSchool:Medical SchoolAvailability:Not available in 2020;Location:UWA (Perth);
AHEA1104,Introduction to Human Biological Sciences II,Type:UnitsCredit points:6;Coordinator(s):Professor Dawn BessarabLevel of study:Undergraduate;Faculty:Health and Medical SciencesSchool:Medical SchoolAvailability:Not available in 2020;Location:UWA (Perth);
AHEA2201,Aboriginal Health and Wellbeing,Type:UnitsCredit points:6;Coordinator(s):Dr Paula Edgill and Kevin TaylorLevel of study:Undergraduate;Faculty:Health and Medical SciencesSchool:Medical SchoolBroadening:A;Electives:Bachelor of Arts;;Bachelor of Commerce;;Bachelor of Science;;Bachelor of Biomedical Science;;Level2Area of knowledge:Life and Health SciencesAvailability:Semester 1;Location:UWA (Perth);
AHEA2202,Aboriginal Health Context and Application,Type:UnitsCredit points:6;Coordinator(s):Professor Dawn BessarabLevel of study:Undergraduate;Faculty:Health and Medical SciencesSchool:Medical SchoolAvailability:Not available in 2020;Location:UWA (Perth);
AHEA2203,Advanced Human Biological Sciences I,Type:UnitsCredit points:6;Coordinator(s):Professor Dawn BessarabLevel of study:Undergraduate;Faculty:Health and Medical SciencesSchool:Medical SchoolAvailability:Not available in 2020;Location:UWA (Perth);
AHEA2204,Advanced Human Biological Sciences II,Type:UnitsCredit points:6;Coordinator(s):Professor Dawn BessarabLevel of study:Undergraduate;Faculty:Health and Medical SciencesSchool:Medical SchoolAvailability:Not available in 2020;Location:UWA (Perth);
AHEA2205,Human Sciences Research Project,Type:UnitsCredit points:6;Coordinator(s):Professor Dawn BessarabLevel of study:Undergraduate;Faculty:Health and Medical SciencesSchool:Medical SchoolAvailability:Not available in 2020;Location:UWA (Perth);
AHEA3200,Aboriginal Health Community Organisation Placement,Type:UnitsCredit points:6;Coordinator(s):Dr Paula Edgill and Dr Christine ClinchLevel of study:Undergraduate;Faculty:Health and Medical SciencesSchool:Medical SchoolBroadening:B;Electives:Bachelor of Arts;;Bachelor of Commerce;;Bachelor of Science;;Bachelor of Biomedical Science;;Level3Area of knowledge:Life and Health SciencesAvailability:Semester 2;Location:UWA (Perth);
AHEA3300,Aboriginal Health Research Project,Type:UnitsCredit points:6;Coordinator(s):Professor Dawn Bessarab and Dr Paula EdgillLevel of study:Undergraduate;Faculty:Health and Medical SciencesSchool:Medical SchoolBroadening:B;Electives:Bachelor of Arts;;Bachelor of Commerce;;Bachelor of Science;;Bachelor of Biomedical Science;;Level3Area of knowledge:Life and Health SciencesAvailability:Semester 2;Location:UWA (Perth);
AHEA3301,Aboriginal Social and Emotional Wellbeing,Type:UnitsCredit points:6;Coordinator(s):Dr Paula Edgill and Mr Kevin TaylorLevel of study:Undergraduate;Faculty:Health and Medical SciencesSchool:Medical SchoolAvailability:Semester 1;Location:UWA (Perth);
AHEA5755,Aboriginal Health,Type:UnitsCredit points:6;Coordinator(s):Dr Paula Edgill and Mr Kevin TaylorLevel of study:Postgraduate;Faculty:Health and Medical SciencesSchool:Medical SchoolAvailability:Non-standard teaching period;Location:UWA (Perth);
AHEA5801,Aboriginal Health Research and Ethics,Type:UnitsCredit points:6;Coordinator(s):Professor Dawn BessarabLevel of study:Postgraduate;Faculty:Health and Medical SciencesSchool:Medical SchoolAvailability:Semester 1;Semester 2;Location:UWA (Perth);
AHEA5880,Aboriginal Health Thesis (Research) (full-time),Type:UnitsCredit points:72;Coordinator(s):Professor Dawn BessarabLevel of study:Postgraduate;Faculty:Health and Medical SciencesSchool:Medical SchoolAvailability:Semester 1;Semester 2;Location:UWA (Perth);
AHEA5881,Aboriginal Health Thesis (Research) (part-time),Type:UnitsCredit points:72;Coordinator(s):Professor Dawn BessarabLevel of study:Postgraduate;Faculty:Health and Medical SciencesSchool:Medical SchoolAvailability:Semester 1;Semester 2;Location:UWA (Perth);
ANHB1101,Human Biology I: Becoming Human,Type:UnitsCredit points:6;Coordinator(s):Fiona O'Shea and Vanessa HayesLevel of study:Undergraduate;Faculty:ScienceSchool:Human SciencesBroadening:B;Electives:Bachelor of Arts;;Bachelor of Commerce;;Bachelor of Science;;Bachelor of Biomedical Science;;Level1Area of knowledge:Life and Health SciencesAvailability:Semester 1;Location:UWA (Perth);Albany;
ANHB1102,Human Biology II: Being Human,Type:UnitsCredit points:6;Coordinator(s):Fiona O'Shea and Dr Vanessa HayesLevel of study:Undergraduate;Faculty:ScienceSchool:Human SciencesBroadening:A;Electives:Bachelor of Arts;;Bachelor of Commerce;;Bachelor of Science;;Bachelor of Biomedical Science;;Level1Area of knowledge:Life and Health SciencesAvailability:Semester 2;Location:UWA (Perth);Albany;
ANHB2212,Human Structure and Development,"Type:UnitsCredit points:6;Coordinator(s):Tom Wilson, Vanessa Hayes, Fiona O'SheaLevel of study:Undergraduate;Faculty:ScienceSchool:Human SciencesBroadening:B;Electives:Bachelor of Arts;;Bachelor of Commerce;;Bachelor of Science;;Bachelor of Biomedical Science;;Level2Area of knowledge:Life and Health SciencesAvailability:Semester 1;Location:UWA (Perth);"
ANHB2213,Human Functional Anatomy,Type:UnitsCredit points:6;Coordinator(s):Associate Professor Nick MilneLevel of study:Undergraduate;Faculty:ScienceSchool:Human SciencesBroadening:B;Electives:Bachelor of Arts;;Bachelor of Commerce;;Bachelor of Science;;Bachelor of Biomedical Science;;Level2Area of knowledge:Life and Health SciencesAvailability:Not available in 2020;Location:UWA (Perth);
ANHB2214,Human Organs and Systems,Type:UnitsCredit points:6;Coordinator(s):Dr Amanda MeyerLevel of study:Undergraduate;Faculty:ScienceSchool:Human SciencesBroadening:B;Electives:Bachelor of Arts;;Bachelor of Commerce;;Bachelor of Science;;Bachelor of Biomedical Science;;Level2Area of knowledge:Life and Health SciencesAvailability:Semester 2;Location:UWA (Perth);
ANHB2215,Biological Anthropology: Human Adaptation and Variation,"Type:UnitsCredit points:6;Coordinator(s):Unit coordination for this unit alternates each year as follows: Dr Cyril Grueter (2019, and following odd years), Associate Professor Debra Judge (2020, and following even years).Level of study:Undergraduate;Faculty:ScienceSchool:Human SciencesBroadening:A;Electives:Bachelor of Arts;;Bachelor of Commerce;;Bachelor of Science;;Bachelor of Biomedical Science;;Level2Area of knowledge:Life and Health Sciences;Society and CultureAvailability:Semester 1;Location:UWA (Perth);"
ANHB2216,Human Reproductive Biology,Type:UnitsCredit points:6;Coordinator(s):Dr Caitlin Wyrwoll and Dr Jeremy SmithLevel of study:Undergraduate;Faculty:ScienceSchool:Human SciencesBroadening:B;Electives:Bachelor of Arts;;Bachelor of Commerce;;Bachelor of Science;;Bachelor of Biomedical Science;;Level2Area of knowledge:Life and Health SciencesAvailability:Semester 2;Location:UWA (Perth);
ANHB2217,Human Neurobiology,Type:UnitsCredit points:6;Coordinator(s):Dr Amanda MeyerLevel of study:Undergraduate;Faculty:ScienceSchool:Human SciencesBroadening:B;Electives:Bachelor of Arts;;Bachelor of Commerce;;Bachelor of Science;;Bachelor of Biomedical Science;;Level2Area of knowledge:Life and Health SciencesAvailability:Semester 1;Location:UWA (Perth);
ANHB3310,Human Biology: Applications and Investigations I,Type:UnitsCredit points:6;Coordinator(s):Dr Peter MarkLevel of study:Undergraduate;Faculty:ScienceSchool:Human SciencesBroadening:B;Electives:Bachelor of Arts;;Bachelor of Commerce;;Bachelor of Science;;Bachelor of Biomedical Science;;Level3Area of knowledge:Life and Health SciencesAvailability:Semester 1;Location:UWA (Perth);
