ABEC313, Early Development 2
CUL322, Screening (Ab)normal Bodies
CUL331, Performance Research
CUL350, Culture in Action
CUL399," Sex, Death and Politics: The Ethics of Our Lives"
DANC101, Movement and Dance in the 21st Century
DANC200, Music Theatre
DANC220, Dance Practice 1
DANC320, Dance Practice 2
DMTH137, Discrete Mathematics I
DMTH237, Discrete Mathematics II
ECH113, Play and Inquiry in Early Childhood
ECH130, Health and Wellbeing
ECH131, The Arts in Children's Lives
ECH218, Child Development Preschool to Adolescence
ECH231," Young Children's Language, Literature and Literacy"
ECH232," Teaching and Learning Mathematics, Science and Technology 1"
ECH315, Management and Leadership 1  The SocioPolitical Context of Teaching
ECH319, The Arts in Education
ECH326," Children, Families and Communities in a Diverse Society"
ECH333, Inclusive Education
ECH400, Individual Educational Project
ECH430, Teaching and Learning Science and Technology
ECH431, Teaching and Learning Mathematics
ECH433, Issues in Developmental Literacy
ECH435, Management and Leadership II: Building Learning Environments
ECH451, Early Education for Young Children with Disabilities
ECH452, Child Development: Research and Practice
ECH454, Creativity and the Arts
ECHE118, Infancy and Early Development
ECHE120, History and Philosophy of Early Childhood
ECHE210, Playbased Curriculum: Literacy and Numeracy
ECHE220, Early Childhood Pedagogy and Curriculum
ECHE234," Teaching and Learning Mathematics, Science and Technology 2"
ECHE310, Playbased Curriculum: Discovery and Creativity in Outdoor Environments
ECHE311, Infant and Toddler Curriculum and Pedagogy
ECHE330, PDPHE/HSIE
ECHE340, Curriculum Connections and Pedagogy 1
ECHE420, The Educational Leader
ECHE450, Curriculum Connections and Pedagogy 2
ECHL213, Images of Childhood
ECHP122, Professional Experience 1
ECHP222, Professional Experience 2
ECHP223, Professional Experience 3
ECHP325, Professional Experience 5
ECHP327, Professional Experience 4
ECHP424, Professional Experience 7
ECHP425, Professional Experience 6
ECON110, Macroeconomic Principles
ECON111, Microeconomic Principles
ECON131," Quantitative Methods in Economics, Business and Finance"
ECON203, Microeconomic Analysis
ECON204, Macroeconomic Analysis
ECON214, Applied Macroeconomics
ECON215, Applied Microeconomics
ECON232, Econometric Principles
ECON241, Introductory Econometrics
ECON244, Labour Market Economics
ECON309, Industrial Organisation
ECON311, Macroeconomic Policy
ECON315, Research/Project
ECON318, Health Economics
ECON333, Econometric Methods
ECON334, Financial Econometrics
ECON335, The Economics of Financial Institutions
ECON336, Economic Development
ECON350, Money and Finance
ECON356, Evolution of Economic Ideas
ECON359, Environmental Economics
ECON360, International Finance
ECON361, Economic and Business Forecasting
ECON381, Current Issues in Economics
ECON398, The Asian Economies
EDST100, Exploring Australian Education: Social and Historical Contexts
EDST101, Learning and Development: An Introduction for Educators
EDST200, Practice of Teaching: Inclusive Education
EDST201, Practice of Teaching: Introduction to the Early Childhood Context
EDST210, Language and Literacies
EDST211," Principles of Maths, Science and Technology Education"
EDST212, Language and Literacy Learning in Early Childhood
EDST213, Playbased Approaches to Early Childhood Learning and Development
EDST300, Practice of Teaching: Cultures in History and Geography
EDST301, Practice of Teaching: Classroom Management and Assessment in the Secondary School
EDST310, Teaching English Language and Literacies in the Early Primary School Years
EDST311," Designing Mathematics, Science and Technology Learning"
EDST312, STEAM Integration in the Early Years
EDST314, Introduction to the Secondary Curriculum
EDTE251, Curriculum and Teaching in the Primary School 1
EDTE252, Curriculum and Teaching in the Primary School 2
EDTE301, Professional Experience in the Primary School 1
EDTE302, Introduction to Professional Experience in the Secondary School
EDTE353, Curriculum and Teaching in the Primary School 3
EDTE354, Curriculum and Teaching in the Primary School 4
EDTE403, Professional Experience in the Primary School 2
EDTE404, Professional Experience in the Primary School 3
EDTE405, Professional Experience for Specific Purposes
EDTE410, Social Sciences in the Secondary School 1
EDTE433, Science in the Secondary School I
EDTE434, Science in the Secondary School II
EDTE455, Curriculum and Teaching in the Primary School 5
EDTE456, Curriculum and Teaching in the Primary School 6
EDUC105, Education: The Psychological Context
EDUC106, Education: The Social and Historical Context
EDUC107, Introduction to Educational Studies
EDUC109, Science: Today and Tomorrow
EDUC219, Opening Real Science: Specialisation in Primary Science and Mathematics
EDUC258, Mathematics in Schools
EDUC260," Language, Literacy and Learning"
EDUC261, Information and Communication Technologies and Education
EDUC262, Education: The Learner
EDUC264, Education: The Policy Context
EDUC267, Classroom Management and Assessment
EDUC270, Teaching the Gifted and Talented Student
EDUC289, Human Society and its Environment
EDUC359," Frontiers in Science, Technology, Engineering and Mathematics (STEM) Education"
EDUC362, Digital Creativity and Learning
EDUC363, Education as Social Development
EDUC365, Educational Assessment
EDUC371, Reading Acquisition in the Primary Classroom
EDUC373, Literacy in a Multicultural Society
EDUC383, Education in a Global Society
EDUC388, Aboriginal Education Issues and Approaches
EDUC392, Research Inquiry in the Classroom
EDUC399," Professional Capability: Policy, Theory, Pedagogy"
EFLA100, English as a Foreign Language in Practice
EFLA110, English as a Foreign Language Consolidation
EFLA201, English as a Foreign Language Expansion I
EFLA202, English as a Foreign Language Expansion II
EFLA301, English as a Foreign Language Mastery
EFLA302, English as a Foreign Language Capstone
ELEC215, Biomedical Engineering Fundamentals
ELEC240, Signals and Systems
ELEC241, Programmable Logic Design
ELEC242, Digital Circuits and Systems
ELEC244, Digital Signal Processing
ELEC260, Introduction to Mechatronics
ELEC270, Linear Circuits and Devices
ELEC275, Nonlinear Circuits and Devices
ELEC295, Fundamentals of Energy Conversion and Storage
ELEC310, Electronics Project
ELEC316, Medical Imaging Systems
ELEC317, Medical Image and Signal Processing
ELEC321, Communication Systems
ELEC324, Feedback Control and Dynamic Systems
ELEC326, Mechatronic Systems
ELEC342, Computer Hardware
ELEC343, Digital Systems Design
ELEC345, Communication Networks
ELEC376, Electronic Devices and Systems
ELEC380, Wireless Technology and Systems
ELEC385, Antennas and Propagation
ELEC395, Power Electronics
ELEC396, Electrical Machines
ELEC410, Electronics Engineering Research Thesis A
ELEC411, Electronics Engineering Research Thesis B
ELEC416, Computer Engineering Research Thesis A
ELEC417, Computer Engineering Research Thesis B
ELEC418, Advanced Medical Imaging Systems
ELEC420, Telecommunications Engineering Research Thesis A
ELEC421, Telecommunications Engineering Research Thesis B
ELEC426, Advanced Telecommunications Engineering
ELEC428, Software Defined Networking
ELEC446, Advanced Computer Engineering
ELEC466, Advanced Mechatronic Engineering
ELEC476, Advanced Electronics Engineering
ELEC494, Electrical Energy Networks
ELEC496, Advanced Electrical Energy Systems
ELEC498, Electrical Engineering Research Thesis A
ELEC499, Electrical Engineering Research Thesis B
ENGG100, Introduction to Engineering
ENGG120, Engineering Mathematics I
ENGG125, Engineering Mathematics  II
ENGG141, Digital Fundamentals and Numerical Techniques
ENGG150, Electrical and Mechanical Principles
ENGG200, Engineering Practice
ENGG255, Data Analysis and Visualisation
ENGG300, Engineering Project Practices
ENGG400, Industry Experience
ENGG411, Engineering Research Thesis
ENGG414, Engineering Project
ENGG450, Systems Design and Engineering
ENGG460, Engineering Principles and Practice
ENGL106, Literature and the Screen
ENGL108, Politics and Literature
ENGL120, Approaches to English Literature
ENGL121, Creative Writing 1: An Introduction
ENGL202, TwentiethCentury Drama in Context
ENGL203, Contemporary Literature
ENGL204, Medieval Literature: Dreams and Debates
ENGL205, Australian Literature
ENGL206, Gothic Visions: From Sublime to Suburban Gothic
ENGL207, World Literature in English
ENGL208, Reading Theory
ENGL209, Children's Literature
ENGL219," Pulitzers, Bookers, Nobels: PrizeWinning Books"
ENGL231, Writing: From Manuscript to the Digital Age
ENGL233, Creative Writing 2: Concept and Practice
ENGL234, Fiction and History
ENGL236, Writing Popular Genre Fiction
ENGL303, Narrative and the Novel
ENGL305, Modernism
ENGL306, Feminism and Literature
ENGL307, Creative Writing 3: Narrative Fiction
ENGL308, Australian Fiction in the Digital Age
ENGL309, Shakespeare and the Renaissance
ENGL314," Dissent, Desire and Decadence in Victorian Literature"
ENGL332, Writing Ecologies
ENGL369, Graphic Novels
ENGL370," Reason, Imagination, Revolution: Literature and Culture from Pope to Austen"
ENGL374, Working with Texts
ENGL375," Murder, Mystery and Mayhem: Crime and Detective Fiction"
ENGL389, Practices in English
ENGL390, Writing for Production and Publication
ENV118, Environmental Management for a Changing World
ENV267, Australian Environmental Futures
ENVS117, Biophysical Environments
ENVS201, Introduction to Environmental Economics
ENVS214, Climate Change
ENVS216, The Atmospheric Environment
ENVS237, Natural Hazards
ENVS264, Introduction to Geographic Information Science
ENVS266, Earth Surface Processes
ENVS301," Marine Climate, Weather and Coastal Oceanography"
ENVS302, Urban Climate and Air Quality
ENVS304, Integrated Climate Science
ENVS338, Environmental Quality and Assessment
ENVS339, Fluvial Geomorphology and River Management
ENVS340, Environmental Change
ENVS341, Advanced Environmental Earth Science
ENVS362, Environmental Management
ENVS363, Environmental Management Project
ENVS383, Environmental Analysis Using Remote Sensing and GIS
ENVS390, Applied GIS
EXLW420, Exchange Law Study Abroad Program
EXLW534, Exchange Law Study Abroad Program
FBE204, Becoming a Professional
FOAR100, Indigenous Cultural Exchange
FOAR101, Indigenous Research Project
FOAR301, Special Interest Unit 1
FOAR302, Special Interest Unit 2
FOBE200, Professional and Community Engagement
FOBE202, Finance and Regulation for New Ventures
FOBE300, Student Leadership in Community Engagement
FOBE330, International Study Tour
FOHS300, Participation and Community Engagement in Human Sciences
FOSC201, Global Challenges and STEM
FOSC300, Participation and Community Engagement in Science and Engineering
FOSC301, Special Interest Unit 1
FOSC302, Special Interest Unit 2
FRN119, Basic Spoken French
FRN122, Introductory French I
FRN123, Introductory French II
FRN125, Introductory French III
FRN131, Introductory French Short Term Residential Program
FRN226, Intermediate French I
FRN227, Intermediate French II
FRN231, Intermediate French Short Term Residential Program
FRN250, Reading in French
FRN295, Reading for Special Purposes
FRN331, Advanced French Short Term Residential Program
FRN336, Advanced French I
FRN337, Advanced French II
FRN347, French Literature
FRN370, French Translation
FRN373, Topics in French Culture
FRN448, Advanced French III
FRN449, Advanced French IV
GEN110, Freedom Dreams: Foundations in Gender Studies
GEN210, Reading Gender in Everyday Life
GEN320, Modern Families
GEND230," Sex, Race, and Rock"
GEND310," Gender, Crime and Violence"
GEND330, Gendered Intersections
GEOP111, Geographies of Global Change
GEOP181, Urban Planet: Cities and Planning in the Anthropocene
GEOP200, Environment and Society
GEOP201, Critical Perspectives on space and place: theory and practice
GEOP212, Planning and Development
GEOP215, Geographies of Development
GEOP219," Urban Dynamics: Population, Housing and Economy"
GEOP262, The Ecological Humanities: Australians and their Environment
GEOP300, Environmental Decision Making
GEOP330, AsiaPacific Development
GEOP340, Rethinking Resource Management
GEOP350, Geographies of Health
GEOP370, Urban Strategic Planning
GEOP380, Human Geography in Action
GEOP461, Planning Experience
GEOP462, Social Impact Assessment
GEOP463, Planning and Design Project
GEOS112, The Planet Earth
GEOS125, Earth Dynamics
GEOS126, Introduction to Oceanography
GEOS188, Advanced Geoscience I
GEOS204," Life, the Universe and Everything"
GEOS205, Introduction to Geophysics
GEOS206, Marine Sediments: Records of Past Earth
GEOS207, Volcanoes and Igneous Processes
GEOS226, Introduction to Field Geology
GEOS251," Geopolitics: The Science of Climate, Energy and our Future"
GEOS272, Deformation and Metamorphism
GEOS305, Exploration and Environmental Geophysics I
GEOS306, Exploration and Environmental Geophysics II
GEOS307, Field Geology and Mapping
GEOS309, Marine Sediments and Energy Resources
GEOS335, Marine Science Capstone
GEOS343," Magmas, Ores and Geochemistry"
GEOS344, Petrology and Geodynamics of the Lithosphere
GEOS345, Exploring the Earth's Interior: An introduction to Solid Earth Geophysics
GEOS348, PACE in Earth and Planetary Sciences
GEOS373, Active Geosystems
GEOS375, Environmental Geology
GEOS384, Earth and Planetary Sciences Special Interest Seminar
GEOS385, Global Tectonics
GEOS388, Advanced Geoscience III
GMN104, Introductory German I
GMN105, Introductory German II
GMN133, Introductory German III
GMN199, Introductory German Short Term Residential Program
GMN275, German Literature and Culture
GMN287, Intermediate German I
GMN288, Intermediate German II
GMN295, Reading for Special Purposes 1
GMN296, Reading for Special Purposes 2
GMN299, Intermediate German Short Term Residential Program
GMN310, Advanced German I
GMN311, Advanced German II
GMN360, The German Language in Use  Variation and Change
GMN361, Berlin  A Window to German Culture and History
GMN362, Advanced German Short Term Residential Program
GMN363, Germany  An Intercultural Perspective
GMN414, Advanced German III
GMN415, Advanced German IV
HLTH108, Introduction to Anatomy
HLTH109, Anatomy of Limbs and Back
HLTH200, Contemporary Health Issues
HLTH211, Clinical Epidemiology and Biostatistics for Health Sciences
HLTH213," Anatomy of Head, Neck and Trunk"
HLTH214, Neuroanatomy
HLTH215, Principles in Health and Disease 1
HLTH300, Health Placement
HLTH309, Research Methods for Health Sciences
HLTH310, Health Promotion
HLTH314," Radiographic Physics, Practice and Protection"
HLTH316, Principles in Health and Disease 2
HLTH317, Principles in Health and Disease 3
HLTH333, Clinical Diagnosis
HLTH350," Legal, Ethical and Policy Directions in Human Sciences"
HRM107, Introduction to Human Resources
HRM201, Workplace Relations
HRM222, Foundations in Human Resources Law
HRM250, Staffing Organisations
HRM300, Human Resources Learning and Development
HRM307, International Human Resource Management
HRM317, Managing Change in Organisations
HRM328, Strategic Human Resources Management
ICOM101, Intercultural Relations
ICOM201, International Television and Beyond
ICOM203, International Public Relations and Advertising
ICOM204, International Communication Campaigns
ICOM301, Global Knowledge Society
ICOM304, International Media Policy
INTS100," Cultures, Languages and Communication"
INTS101, Asia in the Global Context
INTS102, China in World History
INTS103, International Studies Beginners InCountry Cultural Studies
INTS104, Societies of Europe
INTS202," Citizenship: Past, Present, Global"
INTS204, Latin American Histories
INTS205, Screening Asia
INTS206, Screening Europe: Cinema and Identity
INTS207, The European Union
INTS209, International Studies Intermediate InCountry Cultural Studies
INTS210, Modern Chinese History
INTS300, International Studies InCountry Program
INTS304, Global Issues
INTS305, International Studies Internship
INTS306, Hellenic Studies Capstone
INTS307, Global Circulation of Asian Popular Culture
INTS308, International Studies Advanced InCountry Study 3
INTS309, International Studies Advanced InCountry Study 4
INTS310, Unity and Diversity: International Studies Research Option
INTS313, International Studies Advanced InCountry Study 2
INTS316, International Studies Advanced InCountry Study 1
ISYS100, IT & Society
ISYS104, Introduction to Business Information Systems
ISYS114, Introduction to Database Design and Management
ISYS200, IT and the Future of Society
ISYS224, Database Systems
ISYS254, Applications Modelling and Development
ISYS301, Enterprise Systems Integration
ISYS302, Management of IT Systems and Projects
ISYS358, Computing Industry Project
ISYS360, Technology Management
ITL102, Introductory Italian I
ITL103, Introductory Italian II
ITL106, Introductory Italian III
ITL109, Introductory Italian Short Term Residential Program
ITL203, Readings in Italian
ITL204, Facets of Italy
ITL209, Intermediate Italian Short Term Residential Program
ITL210, Intermediate Italian I
ITL211, Intermediate Italian II
ITL302, Contemporary Italian Literature
ITL305, Advanced Italian Short Term Residential Program
ITL306, Italian Cinema
ITL308, The Italian Renaissance
ITL310, Advanced Italian I
ITL311, Advanced Italian II
ITL448, Advanced Italian III
ITL449, Advanced Italian IV
JPNS360, Working with and for People in Japan
JPS101, Introductory Japanese I
JPS102, Introductory Japanese II
