academicGrpName,academicGrpDescription,academicCareerName,code,creditPoints,title,campusCode,url
ARG,"Arts, Education and Law Group",Undergraduate,083920,5,Introduction to Languages,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=1008QCM
ARG,"Arts, Education and Law Group",Undergraduate,083517,10,Statistics for Social Research,MG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2009CCJ
ARG,"Arts, Education and Law Group",Undergraduate,083517,10,Statistics for Social Research,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2009CCJ
ARG,"Arts, Education and Law Group",Undergraduate,083517,10,Statistics for Social Research,OL,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2009CCJ
HTH,Griffith Health,Undergraduate,102951,10,Quantitative Research,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6002HLS
HTH,Griffith Health,Undergraduate,102951,10,Quantitative Research,OL,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6002HLS
SCG,Griffith Sciences,Postgraduate,103135,10,Enterprise Architecture Concepts,NA,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7301ICT
SCG,Griffith Sciences,Undergraduate,104925,10,Advanced Topics in Information Technology D,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6106ICT
SCG,Griffith Sciences,Undergraduate,104925,10,Advanced Topics in Information Technology D,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6106ICT
SCG,Griffith Sciences,Postgraduate,087031,10,Advanced Communications Systems,NA,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7506ENG
SCG,Griffith Sciences,Undergraduate,102788,10,Civil Engineering Design Project,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3113ENG
SCG,Griffith Sciences,Undergraduate,102788,10,Civil Engineering Design Project,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3113ENG
ARG,"Arts, Education and Law Group",Undergraduate,103770,10,Games Level Design,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2101GFS
BUS,Griffith Business School,Postgraduate,088634,10,Information Policy and Governance,NA,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7118IBA
SCG,Griffith Sciences,Undergraduate,103678,0,Honours Dissertation,NA,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6951ENV_P4
SCG,Griffith Sciences,Postgraduate,104281,10,Science of Water,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7901ENV
SCG,Griffith Sciences,Postgraduate,104281,10,Science of Water,OL,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7901ENV
SCG,Griffith Sciences,Undergraduate,102420,10,Environmental Engineering Design Project,NA,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3213ENG
HTH,Griffith Health,Undergraduate,103256,0,Medicine 4,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=4001MED_Y1
HTH,Griffith Health,Undergraduate,103535,80,Medicine 4,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=4001MED_Y2
HTH,Griffith Health,Postgraduate,105395,80,Medicine 3,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=8003MED_Y2
HTH,Griffith Health,Postgraduate,101634,10,Professional Pharmacy Practice I,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7002PHM
HTH,Griffith Health,Postgraduate,101642,10,Professional Pharmacy Practice III,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7010PHM
HTH,Griffith Health,Postgraduate,101648,40,Dissertation,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7013PHM_P4
HTH,Griffith Health,Postgraduate,105380,0,Dissertation Part 1,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=8001HLS_P1
HTH,Griffith Health,Postgraduate,105382,0,Dissertation Part 3,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=8001HLS_P3
HTH,Griffith Health,Undergraduate,105296,10,Introduction to Pharma,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=1000PHM
HTH,Griffith Health,Undergraduate,105306,20,Placements,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3014PHM
BUS,Griffith Business School,Postgraduate,102894,10,Implementation and Service Delivery,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7027GIR
BUS,Griffith Business School,Postgraduate,102894,10,Implementation and Service Delivery,OL,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7027GIR
BUS,Griffith Business School,Postgraduate,103685,0,MPA Dissertation,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=8010GIR_P2
BUS,Griffith Business School,Postgraduate,103686,30,MPA Dissertation,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=8010GIR_P3
OTH,Other,Postgraduate,101160,0,Exchange Studies-Postgraduate,NA,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=9211GIC
OTH,Other,Undergraduate,105325,5,Exchange Studies - Undergraduate,NA,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=9205GIC
ARG,"Arts, Education and Law Group",Undergraduate,087877,0,Dissertation 2,MG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6091CCJ_P2
ARG,"Arts, Education and Law Group",Undergraduate,087877,0,Dissertation 2,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6091CCJ_P2
HTH,Griffith Health,Undergraduate,084778,10,Lifespan Development,LG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=1010HSV
HTH,Griffith Health,Undergraduate,084778,10,Lifespan Development,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=1010HSV
HTH,Griffith Health,Undergraduate,084778,10,Lifespan Development,OL,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=1010HSV
HTH,Griffith Health,Undergraduate,087473,10,Social and Cultural Psychology,MG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2008PSY
HTH,Griffith Health,Undergraduate,087473,10,Social and Cultural Psychology,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2008PSY
HTH,Griffith Health,Postgraduate,089842,10,Contemporary Suicide Prevention Practice 1,OL,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7001CSR
OTH,Other,Undergraduate,084622,0,Exchange Studies-Undergraduate,NA,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=9250GIC
HTH,Griffith Health,Postgraduate,089136,10,Human Services Practicum,LG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7013HSV
HTH,Griffith Health,Undergraduate,089651,10,Case Management for Human Service and Health Professionals,LG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2012HSV
HTH,Griffith Health,Undergraduate,089651,10,Case Management for Human Service and Health Professionals,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2012HSV
HTH,Griffith Health,Undergraduate,089651,10,Case Management for Human Service and Health Professionals,OL,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2012HSV
HTH,Griffith Health,Undergraduate,102885,10,Professional Psychology B,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6021PSY
HTH,Griffith Health,Undergraduate,102885,10,Professional Psychology B,MG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6021PSY
HTH,Griffith Health,Undergraduate,104007,10,Advanced Topics in Psychology,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6024PSY
BUS,Griffith Business School,Undergraduate,086415,10,Company Law,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2106AFE
BUS,Griffith Business School,Undergraduate,086415,10,Company Law,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2106AFE
BUS,Griffith Business School,Undergraduate,086415,10,Company Law,LG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2106AFE
ARG,"Arts, Education and Law Group",Undergraduate,087348,10,Crime Analysis and Investigation,MG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3001CCJ
ARG,"Arts, Education and Law Group",Undergraduate,087348,10,Crime Analysis and Investigation,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3001CCJ
ARG,"Arts, Education and Law Group",Undergraduate,087348,10,Crime Analysis and Investigation,OL,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3001CCJ
HTH,Griffith Health,Undergraduate,086375,10,Social Construction of Welfare,LG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2013HSV
HTH,Griffith Health,Undergraduate,086375,10,Social Construction of Welfare,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2013HSV
HTH,Griffith Health,Undergraduate,086375,10,Social Construction of Welfare,OL,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2013HSV
ARG,"Arts, Education and Law Group",Undergraduate,100336,10,Innocence Project Clinic,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=5166LAW
ARG,"Arts, Education and Law Group",Undergraduate,101612,10,Immigration and Refugee Law,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=5124LAW
ARG,"Arts, Education and Law Group",Undergraduate,083148,10,Drawing for Moving Image,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=1104GFS
ARG,"Arts, Education and Law Group",Undergraduate,084016,10,20th Century Modernism,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2104QCM
ARG,"Arts, Education and Law Group",Postgraduate,084972,10,Music Research Project,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7180QCM
ARG,"Arts, Education and Law Group",Undergraduate,102843,10,Developing Professionally,MG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3007CCJ
ARG,"Arts, Education and Law Group",Undergraduate,102843,10,Developing Professionally,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3007CCJ
ARG,"Arts, Education and Law Group",Undergraduate,102843,10,Developing Professionally,OL,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3007CCJ
HTH,Griffith Health,Undergraduate,103751,10,Health Law and Ethics,OS,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=1202NRS
ARG,"Arts, Education and Law Group",Undergraduate,104410,10,Music Materials 2,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=1523QCM
ARG,"Arts, Education and Law Group",Undergraduate,104450,40,Musical Theatre 5,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3211QCM
ARG,"Arts, Education and Law Group",Undergraduate,104734,10,Game Audio,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3714QCM
ARG,"Arts, Education and Law Group",Undergraduate,104736,10,Music Technology Live Capstone,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3720QCM
ARG,"Arts, Education and Law Group",Undergraduate,096106,5,Keyboard Foundation Skills 2,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=1016QCM
ARG,"Arts, Education and Law Group",Undergraduate,096115,5,Project in Collaborative Piano 2,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2168QCM
ARG,"Arts, Education and Law Group",Undergraduate,101227,5,Music Theory 1,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=1511QCM
ARG,"Arts, Education and Law Group",Research,101674,10,Artistic Research Design,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=8901QCM
ARG,"Arts, Education and Law Group",Undergraduate,102551,10,Architectural Visualisation,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3541QCA
ARG,"Arts, Education and Law Group",Undergraduate,104193,0,Honours Research Project,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6501QCA_P2
ARG,"Arts, Education and Law Group",Undergraduate,104193,0,Honours Research Project,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6501QCA_P2
ARG,"Arts, Education and Law Group",Postgraduate,086087,10,TV Studio Production - Introduction,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7603GFS
ARG,"Arts, Education and Law Group",Undergraduate,089818,10,Plein Air - Painting Outside,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2343QCA
ARG,"Arts, Education and Law Group",Undergraduate,100423,40,Honours Research Project,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6901QCA_P4
ARG,"Arts, Education and Law Group",Undergraduate,100428,0,Honours Research Project,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6301QCA_P1
ARG,"Arts, Education and Law Group",Undergraduate,100430,0,Honours Research Project,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6301QCA_P3
ARG,"Arts, Education and Law Group",Undergraduate,100431,40,Honours Research Project,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6301QCA_P4
ARG,"Arts, Education and Law Group",Undergraduate,100858,0,Honours Research Project,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6801QCA_P2
ARG,"Arts, Education and Law Group",Postgraduate,101329,0,Dissertation Project,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7062QCA_P3
ARG,"Arts, Education and Law Group",Postgraduate,101330,40,Dissertation Project,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7062QCA_P4
ARG,"Arts, Education and Law Group",Undergraduate,101808,10,Industry Research,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3109GFS
ARG,"Arts, Education and Law Group",Undergraduate,103902,10,Life Drawing,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2368QCA
ARG,"Arts, Education and Law Group",Postgraduate,103925,10,Principles of Animation,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7108GFS
SCG,Griffith Sciences,Undergraduate,087423,20,Development Processes Studio,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2067ENV
SCG,Griffith Sciences,Undergraduate,087423,20,Development Processes Studio,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2067ENV
SCG,Griffith Sciences,Undergraduate,100592,30,Research Project,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=4027ENV_P2
SCG,Griffith Sciences,Undergraduate,104294,10,Architecture Studio 2,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2901ENV
ARG,"Arts, Education and Law Group",Undergraduate,100766,10,Recording Music 2,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2064QCM
ARG,"Arts, Education and Law Group",Undergraduate,100767,10,Music Production 1,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3061QCM
ARG,"Arts, Education and Law Group",Postgraduate,101479,40,Research Folio Project,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7691GFS_P4
ARG,"Arts, Education and Law Group",Postgraduate,101555,10,Advanced Cinematography,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7065GFS
HTH,Griffith Health,Undergraduate,104841,10,Prosthetic Technology 3,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2203DOH
BUS,Griffith Business School,Postgraduate,089192,10,Corporate Auditing,NA,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7102AFE
BUS,Griffith Business School,Undergraduate,083612,10,Introduction to Marketing,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=1003MKT
BUS,Griffith Business School,Undergraduate,083612,10,Introduction to Marketing,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=1003MKT
BUS,Griffith Business School,Undergraduate,083612,10,Introduction to Marketing,LG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=1003MKT
BUS,Griffith Business School,Undergraduate,083612,10,Introduction to Marketing,OL,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=1003MKT
BUS,Griffith Business School,Undergraduate,086007,10,Consumer Psychology,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2004MKT
BUS,Griffith Business School,Undergraduate,086007,10,Consumer Psychology,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2004MKT
BUS,Griffith Business School,Postgraduate,086895,10,Marketing,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7906MKT
BUS,Griffith Business School,Postgraduate,086895,10,Marketing,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7906MKT
BUS,Griffith Business School,Postgraduate,086895,10,Marketing,OL,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7906MKT
BUS,Griffith Business School,Postgraduate,088922,10,International Marketing,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7026MKT
BUS,Griffith Business School,Postgraduate,088922,10,International Marketing,OL,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7026MKT
BUS,Griffith Business School,Undergraduate,089305,10,Market Research,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2034MKT
BUS,Griffith Business School,Undergraduate,089305,10,Market Research,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2034MKT
BUS,Griffith Business School,Postgraduate,089884,10,Brand Strategy and Management,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7205MKT
BUS,Griffith Business School,Postgraduate,089884,10,Brand Strategy and Management,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7205MKT
BUS,Griffith Business School,Postgraduate,089884,10,Brand Strategy and Management,OL,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7205MKT
ARG,"Arts, Education and Law Group",Undergraduate,101729,10,Industry Engagement,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2702GFS
ARG,"Arts, Education and Law Group",Undergraduate,101742,10,Post Production: Compositing,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3706GFS
ARG,"Arts, Education and Law Group",Undergraduate,102477,10,Professional Internship Project,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6701GFS
ARG,"Arts, Education and Law Group",Undergraduate,102791,10,Industry Project,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3538QCA
ARG,"Arts, Education and Law Group",Undergraduate,103571,10,Concept Design: Characters,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2102GFS
ARG,"Arts, Education and Law Group",Undergraduate,103792,0,Honours Research Project,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=6202QCA_P3
BUS,Griffith Business School,Postgraduate,105378,10,Evaluating Marketing Performance,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7033MKT
BUS,Griffith Business School,Postgraduate,105378,10,Evaluating Marketing Performance,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7033MKT
BUS,Griffith Business School,Postgraduate,105378,10,Evaluating Marketing Performance,OL,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7033MKT
BUS,Griffith Business School,Undergraduate,080305,10,Portfolio Management,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3208AFE
BUS,Griffith Business School,Undergraduate,080305,10,Portfolio Management,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3208AFE
BUS,Griffith Business School,Postgraduate,089088,10,Advanced Finance,NA,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7231AFE
HTH,Griffith Health,Research,100206,20,Research,MG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=8920PSY
HTH,Griffith Health,Research,100206,20,Research,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=8920PSY
HTH,Griffith Health,Research,100207,30,Research,MG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=8930PSY
HTH,Griffith Health,Research,100207,30,Research,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=8930PSY
HTH,Griffith Health,Postgraduate,102970,0,Research Project,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=8004DOH_P3
BUS,Griffith Business School,Undergraduate,088303,10,"Globalisation, the Asia-Pacific and Australia",GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=1003GIR
BUS,Griffith Business School,Undergraduate,088303,10,"Globalisation, the Asia-Pacific and Australia","NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=1003GIR
BUS,Griffith Business School,Undergraduate,088883,10,Applied Econometrics,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3305AFE
BUS,Griffith Business School,Undergraduate,088883,10,Applied Econometrics,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3305AFE
HTH,Griffith Health,Undergraduate,100562,10,Pharmaceutical Science I,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2015PHM
HTH,Griffith Health,Undergraduate,100570,10,Pharmaceutical Science II,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3027PHM
HTH,Griffith Health,Undergraduate,101450,10,Molecular Medicine,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3022MSC
HTH,Griffith Health,Postgraduate,103371,10,Management of the Acutely Ill,OL,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=8953NRS
SCG,Griffith Sciences,Undergraduate,081311,10,Ecology,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2603ENV
HTH,Griffith Health,Undergraduate,083760,10,Metabolism,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2011MSC
HTH,Griffith Health,Undergraduate,085722,10,Molecular Biology,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3014MSC
BUS,Griffith Business School,Postgraduate,104700,10,Advanced Human Resource Development,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7015EHR
BUS,Griffith Business School,Postgraduate,104700,10,Advanced Human Resource Development,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7015EHR
BUS,Griffith Business School,Postgraduate,105322,10,Managerial Problem Solving,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7106IBA
BUS,Griffith Business School,Postgraduate,105322,10,Managerial Problem Solving,OL,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7106IBA
BUS,Griffith Business School,Undergraduate,080174,10,Negotiation Knowledge and Skill,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3014IBA
BUS,Griffith Business School,Undergraduate,080174,10,Negotiation Knowledge and Skill,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3014IBA
BUS,Griffith Business School,Undergraduate,088563,10,Business Processes,"NA",https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2128IBA
BUS,Griffith Business School,Undergraduate,088563,10,Business Processes,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2128IBA
BUS,Griffith Business School,Undergraduate,088563,10,Business Processes,OL,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2128IBA
ARG,"Arts, Education and Law Group",Undergraduate,084112,10,Pedagogy 1,SB,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2841QCM
ARG,"Arts, Education and Law Group",Undergraduate,085571,10,English Curriculum - Junior Secondary,MG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3041EDN
ARG,"Arts, Education and Law Group",Undergraduate,085571,10,English Curriculum - Junior Secondary,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3041EDN
ARG,"Arts, Education and Law Group",Undergraduate,086277,10,Drama Curriculum - Junior Secondary,MG,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=3112EDN
HTH,Griffith Health,Undergraduate,105481,30,Laboratory Practicum 3,GC,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=2205DOH
ARG,"Arts, Education and Law Group",Postgraduate,087701,10,Vocational Assessment,OL,https://www148.griffith.edu.au/programs-courses/Course/Overview?CourseCode=7143EDN
