code,title,area,credit
INTR6001 (v.1),Advanced Individual Project 2,"School of Media, Creative Arts and Social Inquiry",50
TAXA6000 (v.1),Advanced International Taxation Research,Curtin Law School,25
FNCE4002 (v.1),Advanced Investment Analysis,School of Economics and Finance,25
JAPN3002 (v.1),Advanced Japanese,School of Education,25
JAPN3004 (v.1),Advanced Japanese Continuing,School of Education,25
JAPN3003 (v.1),Advanced Japanese Developing,School of Education,25
JAPN3005 (v.1),Advanced Japanese Proficiency,School of Education,25
EDUC7005 (v.1),Advanced Language Analysis and Language Learning,School of Education,25
LAWS3017 (v.1),Advanced Legal Research,Curtin Law School,25
LAWS4000 (v.1),Advanced Legal Research and Writing for Honours,Curtin Law School,50
AGRI3004 (v.1),Advanced Livestock Production Systems,School of Molecular and Life Sciences (MLS),25
MCEN6020 (v.1),Advanced Machine Design,School of Civil and Mechanical Engineering,25
ECON4002 (v.1),Advanced Macroeconomics,School of Economics and Finance,25
GMED6006 (v.1),Advanced Management of Pain Disorders,School of Physiotherapy and Exercise Science,25
MARI3000 (v.1),Advanced Marine Science and Technology,School of Molecular and Life Sciences (MLS),25
CHEM3000 (v.1),Advanced Materials Chemistry,School of Molecular and Life Sciences (MLS),25
MCEN6024 (v.1),Advanced Materials Engineering,School of Civil and Mechanical Engineering,25
MATH1017 (v.2),Advanced Mathematics 1,"School of Elec Eng, Comp and Math Sci (EECMS)",25
MATH1018 (v.2),Advanced Mathematics 2,"School of Elec Eng, Comp and Math Sci (EECMS)",25
MEDI4002 (v.1),Advanced Medical Microbiology,School of Pharmacy and Biomedical Sciences,25
EDUC7002 (v.2),Advanced Methodology,School of Education,25
ECON4001 (v.1),Advanced Microeconomics,School of Economics and Finance,25
MIDW6000 (v.1),Advanced Midwifery,"School of Nursing, Midwifery and Paramedicine",100
MIDW6001 (v.1),Advanced Midwifery Science,"School of Nursing, Midwifery and Paramedicine",25
MINE4003 (v.1),Advanced Mine Geotechnical Engineering,"WASM: Minerals, Energy and Chemical Engineering",25
MINE3002 (v.1),Advanced Mine Surveying,School of Earth and Planetary Sciences (EPS),25
MINE4007 (v.1),Advanced Mine Ventilation,"WASM: Minerals, Energy and Chemical Engineering",25
PRRE4004 (v.1),Advanced Mineral Processing,"WASM: Minerals, Energy and Chemical Engineering",25
CHEN4011 (v.1),Advanced Modelling and Control,"WASM: Minerals, Energy and Chemical Engineering",25
BCCB3000 (v.2),Advanced Molecular Biology,School of Molecular and Life Sciences (MLS),25
MICB3001 (v.1),Advanced Molecular Microbiology,School of Pharmacy and Biomedical Sciences,25
MEDA3002 (v.1),Advanced Multi-Disciplinary Visualisation Technologies,"School of Media, Creative Arts and Social Inquiry",25
PHTY7018 (v.1),Advanced Musculoskeletal Physiotherapy Clinics 1,School of Physiotherapy and Exercise Science,12
PHTY7019 (v.1),Advanced Musculoskeletal Physiotherapy Clinics 2,School of Physiotherapy and Exercise Science,25
CNCO5001 (v.1),Advanced Network Systems Design,"School of Elec Eng, Comp and Math Sci (EECMS)",25
MATH5004 (v.1),Advanced Numerical Analysis,"School of Elec Eng, Comp and Math Sci (EECMS)",25
PEEN6014 (v.1),Advanced Numerical Reservoir Simulation,"WASM: Minerals, Energy and Chemical Engineering",25
NURS5001 (v.1),Advanced Nursing Practice In Primary Health Care,"School of Nursing, Midwifery and Paramedicine",25
OCCT4010 (v.1),Advanced Occupational Therapy Professional Practice,"School of Occ Therapy, Social Work and Speech Path",25
ISAD5000 (v.1),Advanced Optimisation Techniques,"School of Elec Eng, Comp and Math Sci (EECMS)",25
DENT2003 (v.1),Advanced Oral Health Therapy Techniques,School of Pharmacy and Biomedical Sciences,37
CHEN4014 (v.1),Advanced Particle Processes,"WASM: Minerals, Energy and Chemical Engineering",25
EDUC7006 (v.1),Advanced Pedagogies 1,School of Education,25
EDUC7009 (v.1),Advanced Pedagogies 2,School of Education,25
EDUC6037 (v.1),Advanced Pedagogies Design and Assessment,School of Education,25
ACCT5039 (v.1) Advanced Performance Management (ACCA),Advanced Performance Management (ACCA),School of Accounting,25
FNCE5005 (v.1),Advanced Personal Finance,School of Economics and Finance,25
FNCE5009 (v.1),Advanced Personal Risk and Insurance,School of Economics and Finance,25
IMED6009 (v.1),Advanced Pharmaceutics 1,School of Pharmacy and Biomedical Sciences,25
IMED6004 (v.1),Advanced Pharmaceutics 2,School of Pharmacy and Biomedical Sciences,25
IMED6003 (v.1),Advanced Pharmacology and Therapeutics,School of Pharmacy and Biomedical Sciences,25
PHRM5001 (v.1),Advanced Pharmacology for Pharmacists,School of Pharmacy and Biomedical Sciences,25
PHAR6002 (v.1),Advanced Pharmacy Practice 1,School of Pharmacy and Biomedical Sciences,25
PHAR6003 (v.1),Advanced Pharmacy Practice 2,School of Pharmacy and Biomedical Sciences,25
PHRM6007 (v.1),Advanced Pharmacy Research,School of Pharmacy and Biomedical Sciences,25
PHRM5006 (v.1),Advanced Pharmacy Research Methods,School of Pharmacy and Biomedical Sciences,25
SPAT3002 (v.1),Advanced Photogrammetry,School of Earth and Planetary Sciences (EPS),25
PHTY7013 (v.2),Advanced Physiotherapy Professional Practice,School of Physiotherapy and Exercise Science,25
ELEN6008 (v.1),Advanced Power Systems Engineering,"School of Elec Eng, Comp and Math Sci (EECMS)",25
GEOL5022 (v.1),Advanced Predictive Mineral Exploration,School of Earth and Planetary Sciences (EPS),25
CHEN4003 (v.1),Advanced Process Integration,"WASM: Minerals, Energy and Chemical Engineering",25
EDSC5003 (v.1),Advanced Professional Practice in Secondary Education,School of Education,25
BLDG5000 (v.1),Advanced Property Construction,School of Economics and Finance,25
PROP5001 (v.1),Advanced Property Finance,School of Economics and Finance,25
PROP5002 (v.1),Advanced Property Investment Analysis,School of Economics and Finance,25
PROP5000 (v.1),Advanced Property Market Analysis,School of Economics and Finance,25
VALU5000 (v.1),Advanced Property Valuation Methodology,School of Economics and Finance,25
PSYC3005 (v.1),Advanced Psychological Science Qualitative Methods,School of Psychology,25
ECON5011 (v.1),Advanced Public Economics,School of Economics and Finance,25
NUTR5003 (v.1),Advanced Public Health Nutrition Practice,School of Public Health,25
MGMT6043 (v.2),Advanced Qualitative Research Methods,School of Management,25
MGMT6042 (v.2),Advanced Quantitative Research Methods,School of Management,25
MIRA3014 (v.1),Advanced Radiation Therapy Care,School of Molecular and Life Sciences (MLS),50
JOUR3011 (v.1),Advanced Radio News,"School of Media, Creative Arts and Social Inquiry",25
MCEN4013 (v.1),Advanced Refrigeration System Design,School of Civil and Mechanical Engineering,25
ELEN6014 (v.2),Advanced Renewable Energy Systems,"School of Elec Eng, Comp and Math Sci (EECMS)",25
PEEN6012 (v.1),Advanced Reservoir Engineering,"WASM: Minerals, Energy and Chemical Engineering",25
MINE5011 (v.1),Advanced Resource Modelling and Estimation,"WASM: Minerals, Energy and Chemical Engineering",25
NPSC4001 (v.1),Advanced Science Capstone,Faculty of Science and Engineering,150
NURS5006 (v.2),Advanced Screening and Diagnostics,"School of Nursing, Midwifery and Paramedicine",25
CHEN5039 (v.1),Advanced Separation Processes,"WASM: Minerals, Energy and Chemical Engineering",25
CHEN4012 (v.1),Advanced Separation Processes,"WASM: Minerals, Energy and Chemical Engineering",25
REHT3005 (v.1),Advanced Skill Acquisition and Programming,School of Physiotherapy and Exercise Science,25
SCWK6001 (v.1),Advanced Social Work Field Education,"School of Occ Therapy, Social Work and Speech Path",100
CMPE5000 (v.1),Advanced Software Engineering Testing,"School of Elec Eng, Comp and Math Sci (EECMS)",25
ISAD5003 (v.1),Advanced Software Metrics,"School of Elec Eng, Comp and Math Sci (EECMS)",25
AGRI5002 (v.2),Advanced Soil Systems,School of Molecular and Life Sciences (MLS),25
VALU6001 (v.1),Advanced Specialised Property Valuation,School of Economics and Finance,25
AGRI4000 (v.1),Advanced Statistics for Environment and Agriculture,School of Molecular and Life Sciences (MLS),25
MCEN3004 (v.1),Advanced Strength of Materials,School of Civil and Mechanical Engineering,25
MCEN6018 (v.1),Advanced Strength of Materials,School of Civil and Mechanical Engineering,25
STEN3003 (v.1),Advanced Structural Analysis,School of Civil and Mechanical Engineering,25
STEN4004 (v.1),Advanced Structural Modelling,School of Civil and Mechanical Engineering,25
TAXA6001 (v.1),Advanced Superannuation and Retirement Planning,Curtin Law School,25
TAXA5006 (v.1),Advanced Taxation,Curtin Law School,25
ENGR6006 (v.1),Advanced Thermo-Fluid Dynamics Modelling,School of Civil and Mechanical Engineering,25
MCEN6017 (v.1),Advanced Thermodynamics and Heat Transfer,School of Civil and Mechanical Engineering,25
CHEN4010 (v.2),Advanced Thermodynamics and Reactor Engineering,"WASM: Minerals, Energy and Chemical Engineering",25
MATH4001 (v.1),Advanced Topics in Applied and Computational Mathematics,"School of Elec Eng, Comp and Math Sci (EECMS)",25
PSYC4003 (v.1),Advanced Topics in Applied Psychology,School of Psychology,25
PHYS4003 (v.1),Advanced Topics in Astrophysics,"School of Elec Eng, Comp and Math Sci (EECMS)",25
CHEM4002 (v.1),Advanced Topics in Chemical Analysis and Spectroscopy,School of Molecular and Life Sciences (MLS),25
CHEM4001 (v.1),Advanced Topics in Chemistry,School of Molecular and Life Sciences (MLS),25
MATH4002 (v.1),Advanced Topics in Optimisation,"School of Elec Eng, Comp and Math Sci (EECMS)",25
DENT2002 (v.1),Advanced Topics in Oral Health Therapy 1,School of Pharmacy and Biomedical Sciences,25
DENT2005 (v.1),Advanced Topics in Oral Health Therapy 2,School of Pharmacy and Biomedical Sciences,25
PHYS4004 (v.2),Advanced Topics in Physics and Astronomy 1,"School of Elec Eng, Comp and Math Sci (EECMS)",25
PHYS4002 (v.3),Advanced Topics in Physics and Astronomy 2,"School of Elec Eng, Comp and Math Sci (EECMS)",25
SPPA4003 (v.1),Advanced Topics in Speech Pathology 1,"School of Occ Therapy, Social Work and Speech Path",25
SPPA4008 (v.1),Advanced Topics in Speech Pathology 2,"School of Occ Therapy, Social Work and Speech Path",25
SPPA4001 (v.1),Advanced Topics in Speech Pathology Honours 1,"School of Occ Therapy, Social Work and Speech Path",12
SPPA4012 (v.1),Advanced Topics in Speech Pathology Honours 2,"School of Occ Therapy, Social Work and Speech Path",12
STAT4003 (v.1),Advanced Topics in Statistics,"School of Elec Eng, Comp and Math Sci (EECMS)",25
LAWS1003 (v.1),Advanced Tort Law,Curtin Law School,25
MCEN6016 (v.1),Advanced Vibration for Engineering Application,School of Civil and Mechanical Engineering,25
NURS4007 (v.1),Advanced Wound Care,"School of Nursing, Midwifery and Paramedicine",25
MEDS6021 (v.1),Advances in Clinical Nutrition,School of Public Health,25
MEDS6017 (v.1),Advances in Neuropsychiatry,"School of Occ Therapy, Social Work and Speech Path",25
MKTG3005 (v.1),Advertising Account Planning,School of Marketing,25
GRDE2002 (v.1),Advertising Design 1,School of Design and the Built Environment,25
GRDE1027 (v.1),Advertising Design 1,School of Design and the Built Environment,25
GRDE2009 (v.1),Advertising Design 2,School of Design and the Built Environment,25
GRDE3011 (v.1),Advertising Design 3,School of Design and the Built Environment,25
GRDE3013 (v.1),Advertising Design 4,School of Design and the Built Environment,25
ENEN3000 (v.1),Aerial Emissions and Abatement,Curtin Malaysia,25
MGMT5040 (v.1),Agri-food Supply Chain Systems,School of Management,25
AGRB2003 (v.1),Agribusiness and Farm Management,School of Molecular and Life Sciences (MLS),25
AGRB3000 (v.1),Agribusiness Capstone 1,School of Molecular and Life Sciences (MLS),25
AGRB3001 (v.1),Agribusiness Capstone 2,School of Molecular and Life Sciences (MLS),25
AGRB2006 (v.1),Agribusiness Professional Practice,School of Molecular and Life Sciences (MLS),25
MGMT6067 (v.1),Agribusiness Relationship Management,School of Management,25
AGRB2004 (v.1),Agribusiness Risk Management,School of Molecular and Life Sciences (MLS),25
AGRB2005 (v.1),Agribusiness Systems,School of Molecular and Life Sciences (MLS),25
AGRI3006 (v.1),Agricultural Microbiology,School of Molecular and Life Sciences (MLS),25
AGRI2004 (v.2),Agricultural Production Systems,School of Molecular and Life Sciences (MLS),25
HLPR2005 (v.1),Alcohol and Other Drugs,School of Public Health,25
OCCT3003 (v.3),Allied Health Honours Proposal,"School of Occ Therapy, Social Work and Speech Path",25
OCCT4011 (v.1),Allied Health Honours Research Project,"School of Occ Therapy, Social Work and Speech Path",75
OCCT2005 (v.2),Allied Health Research Design,"School of Occ Therapy, Social Work and Speech Path",25
EDUC4042 (v.1),Alternative Approaches to Teaching Literacy and Numeracy,School of Education,25
LAWS3011 (v.1),Alternative Dispute Resolution,Curtin Law School,25
CTED4000 (v.1),An Introduction to Catholic Education,School of Education,25
VISA5004 (v.2),Analysing Research Methods in Art and Design,"School of Media, Creative Arts and Social Inquiry",25
ACCT5034 (v.1),Analysis and Visualisation of Financial Data,School of Accounting,25
PROP6000 (v.1),Analysis of Property Capital Markets,School of Economics and Finance,25
CHEM2005 (v.1),Analytical Chemistry,School of Molecular and Life Sciences (MLS),25
CHEM3004 (v.1),Analytical Chemistry and Spectroscopy,School of Molecular and Life Sciences (MLS),25
ECOM1000 (v.1),Analytics for Decision Making,School of Economics and Finance,25
STAT2003 (v.1),Analytics for Experimental and Simulated Data,"School of Elec Eng, Comp and Math Sci (EECMS)",25
STAT2004 (v.1),Analytics for Observational Data,"School of Elec Eng, Comp and Math Sci (EECMS)",25
HUMB3000 (v.1),Anatomical Techniques,School of Pharmacy and Biomedical Sciences,25
HUMB2000 (v.1),Anatomy and Neuroscience,School of Pharmacy and Biomedical Sciences,25
PATH2002 (v.1),Anatomy and Pathology,School of Physiotherapy and Exercise Science,25
HUMB2002 (v.1),Anatomy of the Limbs,School of Pharmacy and Biomedical Sciences,25
HUMB2001 (v.1),Anatomy of the Trunk,School of Pharmacy and Biomedical Sciences,25
ZOOL2000 (v.2),Animal Diversity and Evolution,School of Molecular and Life Sciences (MLS),25
AGRI2001 (v.1),Animal Production,School of Molecular and Life Sciences (MLS),25
AGRI5001 (v.1),Animal Science,School of Molecular and Life Sciences (MLS),25
GRDE2014 (v.1),Animation and Game Texture Design,School of Design and the Built Environment,25
GRDE2038 (v.1),Animation and Special Effects Compositing,School of Design and the Built Environment,25
GRDE1001 (v.1),Animation Design Introduction,School of Design and the Built Environment,25
IMED2001 (v.1),Antimicrobial Chemotherapy,School of Pharmacy and Biomedical Sciences,25
IMED5006 (v.1),Antimicrobial Therapeutics,School of Pharmacy and Biomedical Sciences,25
SPAT2006 (v.1),Applications of Global Positioning Systems,School of Earth and Planetary Sciences (EPS),25
HUMB1005 (v.1),Applied Anatomy,"School of Occ Therapy, Social Work and Speech Path",25
MICB2000 (v.1),Applied and Environmental Microbiology,School of Pharmacy and Biomedical Sciences,25
ACCT5002 (v.2),Applied Auditing and Risk Assessment,School of Accounting,25
GMED2001 (v.1),Applied Bioscience for Acute Conditions,"School of Nursing, Midwifery and Paramedicine",25
GMED2000 (v.1),Applied Bioscience for Chronic Conditions,"School of Nursing, Midwifery and Paramedicine",25
GMED3000 (v.1),Applied Bioscience for Complex Care,"School of Nursing, Midwifery and Paramedicine",25
GMED3008 (v.1),Applied Bioscience for Complex Conditions,"School of Nursing, Midwifery and Paramedicine",25
GMED3001 (v.1),Applied Bioscience for Critical Care,"School of Nursing, Midwifery and Paramedicine",25
GMED3009 (v.1),Applied Bioscience for Critical Conditions,"School of Nursing, Midwifery and Paramedicine",25
SPAT2012 (v.1),Applied Cartography,School of Earth and Planetary Sciences (EPS),25
SPAT5007 (v.1),Applied Cartography,School of Earth and Planetary Sciences (EPS),25
PHTY7010 (v.1),Applied Clinical Sports Science,School of Physiotherapy and Exercise Science,25
BLAW2012 (v.1),Applied Contract Law,Curtin Law School,25
ACCT5015 (v.2),Applied Corporate Governance and Auditing,School of Accounting,25
ECON2006 (v.1),Applied Economics,School of Economics and Finance,25
MCEN3002 (v.1),Applied Fluid Mechanics,School of Civil and Mechanical Engineering,25
MICB5000 (v.1),Applied Food Microbiology,School of Pharmacy and Biomedical Sciences,25
GENE2002 (v.2),Applied Genetics,School of Molecular and Life Sciences (MLS),25
GEOL5004 (v.1),Applied Geochemistry,School of Earth and Planetary Sciences (EPS),25
SPAT4004 (v.2),Applied Geodetic Surveying,School of Earth and Planetary Sciences (EPS),25
SPAT5008 (v.1) Applied Geographic Information Systems (GIS),Applied Geographic Information Systems (GIS),School of Earth and Planetary Sciences (EPS),25
GEOP6008 (v.1),Applied Geology and Geophysics,"WASM: Minerals, Energy and Chemical Engineering",25
MINE5005 (v.1),Applied Geomechanics for Mining,"WASM: Minerals, Energy and Chemical Engineering",25
GEOP5000 (v.1),Applied Geophysics,"WASM: Minerals, Energy and Chemical Engineering",25
MINE6028 (v.1),Applied Geotechnical Engineering,"WASM: Minerals, Energy and Chemical Engineering",25
TAXA5000 (v.1),Applied International Taxation,Curtin Law School,25
FNCE7002 (v.1),Applied Investment Analysis,School of Economics and Finance,25
MEDI3008 (v.1),Applied Laboratory Medicine Practice 1,School of Pharmacy and Biomedical Sciences,50
MEDI4008 (v.1),Applied Laboratory Medicine Practice 2,School of Pharmacy and Biomedical Sciences,50
