code,title,availability,units
ABOR4040,Aboriginal Studies Honours IV,Not currently offered,20 units
ABOR6001,Aboriginal Foundation Studies,Semester 1 - 2020 (Online),10 units
ABOR6002,Decolonisation: An Australian Context,Semester 2 - 2020 (Online),10 units
ABOR6003,Contemporary Aboriginal Studies,Semester 1 - 2020 (Online),10 units
ABOR6004,Community Development,Semester 2 - 2020 (Online),10 units
ABOR6005,Aboriginal Education 1st World Policy / Third World Outcomes,Not currently offered,10 units
ABOR6006,Switching Black Power back on in Indigenous Learning,Not currently offered,10 units
ABOR6007,Investigating Aboriginal and Torres Strait Islander Health in the public health context,Not currently offered,10 units
Back to top,Back to top,Back to top,Back to top
ACFI1001,Accounting for Decision Makers,Semester 1 - 2020 (Central Coast)Semester 1 - 2020 (Newcastle City)Semester 2 - 2020 (Newcastle City)Trimester 2 - 2020 (Singapore),10 units
ACFI1002,Accounting Practice,Semester 2 - 2020 (Central Coast)Semester 1 - 2020 (Newcastle City)Semester 2 - 2020 (Newcastle City)Trimester 1 - 2020 (Singapore)Trimester 2 - 2020 (Singapore)Trimester 3 - 2020 (Singapore),10 units
ACFI1003,Introduction to Finance,Semester 2 - 2020 (Central Coast)Semester 1 - 2020 (Newcastle City)Semester 2 - 2020 (Newcastle City)Trimester 1 - 2020 (Singapore)Trimester 2 - 2020 (Singapore)Trimester 3 - 2020 (Singapore),10 units
ACFI2003,Management Accounting,Semester 1 - 2020 (Central Coast)Semester 1 - 2020 (Newcastle City)Trimester 2 - 2020 (Singapore)Trimester 3 - 2020 (Singapore),10 units
ACFI2004,Advanced Management Accounting,Semester 2 - 2020 (Newcastle City)Trimester 2 - 2020 (Singapore)Trimester 3 - 2020 (Singapore),10 units
ACFI2011,Financial Accounting for Reporting Entities,Semester 1 - 2020 (Central Coast)Semester 1 - 2020 (Newcastle City)Semester 2 - 2020 (Newcastle City)Trimester 1 - 2020 (Singapore)Trimester 2 - 2020 (Singapore)Trimester 3 - 2020 (Singapore),10 units
ACFI2012,Accounting for Corporate Entities,Semester 2 - 2020 (Central Coast)Semester 1 - 2020 (Newcastle City)Semester 2 - 2020 (Newcastle City)Trimester 3 - 2020 (Singapore),10 units
ACFI2070,Business Finance,Semester 1 - 2020 (Newcastle City)Semester 2 - 2020 (Newcastle City)Trimester 3 - 2020 (Singapore),10 units
ACFI2080,Corporate Finance,Semester 1 - 2020 (Newcastle City)Semester 2 - 2020 (Newcastle City),10 units
ACFI3000,Contemporary Accounting Issues,Not currently offered,10 units
ACFI3001,Accounting Theory,Semester 1 - 2020 (Central Coast)Semester 1 - 2020 (Newcastle City)Semester 2 - 2020 (Newcastle City)Trimester 1 - 2020 (Singapore)Trimester 2 - 2020 (Singapore)Trimester 3 - 2020 (Singapore),10 units
ACFI3004,Taxation,Semester 1 - 2020 (Central Coast)Summer 1 - 2020 (Newcastle City)Semester 1 - 2020 (Newcastle City)Trimester 1 - 2020 (Singapore),10 units
ACFI3005,Auditing and Assurance,Semester 2 - 2020 (Central Coast)Semester 1 - 2020 (Newcastle City)Trimester 1 - 2020 (Singapore)Trimester 2 - 2020 (Singapore)Trimester 3 - 2020 (Singapore),10 units
ACFI3006,Personal Financial Planning,Semester 2 - 2020 (Newcastle City),10 units
ACFI3007,Accounting and the Sustainability Ethos,Semester 2 - 2020 (Newcastle City),10 units
ACFI3008,Financial Analysis and Valuation,Semester 1 - 2020 (Newcastle City),10 units
ACFI3009,Contemporary Accounting Issues,Semester 2 - 2020 (Central Coast)Semester 1 - 2020 (Newcastle City)Semester 2 - 2020 (Newcastle City)Trimester 1 - 2020 (Singapore)Trimester 2 - 2020 (Singapore)Trimester 3 - 2020 (Singapore),10 units
ACFI3018,Portfolio Management,Semester 1 - 2020 (Newcastle City)Semester 2 - 2020 (Newcastle City),10 units
ACFI3019,Funds Management,Semester 1 - 2020 (Newcastle City),10 units
ACFI3070,Issues in Taxation,Semester 2 - 2020 (Newcastle City),10 units
ACFI3130,Derivative Securities,Semester 1 - 2020 (Newcastle City),10 units
ACFI3140,International Finance,Semester 1 - 2020 (Newcastle City),10 units
ACFI3190,Financial Institutions Risk Management,Semester 2 - 2020 (Newcastle City),10 units
ACFI4005,Theory in Finance,Semester 1 - 2020 (Newcastle City),20 units
ACFI4030,Theory in Accounting,Semester 1 - 2020 (Newcastle City),20 units
Back to top,Back to top,Back to top,Back to top
AERO2000,Aircraft Performance and Operations,Semester 2 - 2020 (Callaghan),10 units
AERO3000,Principles of Flight and Avionics,Not currently offered,10 units
AERO3200,Aerospace Design and Materials,Not currently offered,10 units
AERO3600,Embedded Control Systems,Semester 1 - 2020 (Callaghan),10 units
Back to top,Back to top,Back to top,Back to top
AGED1001,Introduction to Healthcare and Older People,Not currently offered,10 units
AGED1002,Principles and Delivery of Consumer-Centred Care,Semester 2 - 2020 (Online),10 units
AGED1003,Health Assessment of the Ageing Body,Semester 2 - 2020 (Online),20 units
AGED2001,Assessment and Critical Thinking: Integrated Care in Ageing Part 1,Semester 1 - 2020 (Online),20 units
AGED2002,The Ageing Journey: Wellness and Re-ablement,Semester 1 - 2020 (Online),10 units
AGED2003,Principles and Practice of Integrated Care in Ageing,Semester 1 - 2020 (Online),10 units
AGED2004,Assessment and Critical Thinking: Integrated Care in Ageing Part 2,Semester 2 - 2020 (Online),10 units
AGED2005,"The Ageing Journey: Frailty, Dementia and End of Life",Semester 2 - 2020 (Online),10 units
AGED2006,Leadership and Management: Integrated Care in Ageing,Not currently offered,10 units
AGED2007,Leadership and Management: Negotiated Project,Semester 2 - 2020 (Online),10 units
Back to top,Back to top,Back to top,Back to top
AHIS1000,Ancient Greece,Semester 1 - 2020 (Callaghan),10 units
AHIS1020,"Rome, to the Gracchi",Semester 2 - 2020 (Callaghan),10 units
AHIS1040,War in the Ancient World,Not currently offered,10 units
AHIS1060,Rome: A Survey of History and Archaeology,Not currently offered,10 units
AHIS2000,"The Augustan Age: Politics, Society and Literature",Semester 2 - 2020 (Callaghan),10 units
AHIS2051,Athens and Empire,Semester 1 - 2020 (Callaghan),10 units
AHIS2110,Sparta,Not currently offered,10 units
AHIS2370,Magic and Witchcraft in Greece and Rome,Not currently offered,10 units
AHIS2500,Myths of the Ancient Greek World,Not currently offered,10 units
AHIS2560,Gender and Sexuality in Antiquity,Not currently offered,10 units
AHIS2600,Women and Children in the Ancient World,Not currently offered,10 units
AHIS2800,Ancient Built Environment,Not currently offered,10 units
AHIS2900,Overseas study experience,Not currently offered,10 units
AHIS3000,The Ancient Historians,Semester 1 - 2020 (Callaghan),20 units
AHIS3001,Late Roman Republic Age of Civil Crises,Not currently offered,20 units
AHIS3020,Late Roman Republic,Not currently offered,10 units
AHIS3065,Ancient Cultures: Greek and Roman Society,Not currently offered,10 units
AHIS3130,Roman Britain and Anglo-Saxon England,Not currently offered,10 units
AHIS3140,Philip II and Alexander the Great,Not currently offered,10 units
AHIS3220,Early Roman Empire: from AD 14 to 68,Not currently offered,20 units
AHIS3310,Greek and Roman Epic,Not currently offered,10 units
AHIS3510,Greek Society,Not currently offered,10 units
AHIS3520,Roman Society,Semester 2 - 2020 (Callaghan),10 units
AHIS3540,Etruscan and Roman Art,Not currently offered,10 units
AHIS3560,Sexuality in Antiquity,Not currently offered,10 units
AHIS3663,Folklore and Fairy Tale in Antiquity,Not currently offered,10 units
AHIS4140,Ancient History Honours - Study I,Not currently offered,20 units
AHIS4150,Ancient History Honours - Study II,Not currently offered,20 units
AHIS4160,Ancient History Honours - Thesis Preparatory,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan),20 units
AHIS4170,Ancient History Honours - Thesis,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan),20 units
Back to top,Back to top,Back to top,Back to top
ARBE1100,Communication in the Built Environment 1,Not currently offered,10 units
ARBE1101,Construction Technology 1,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Online),10 units
ARBE1102,Construction Ecology 1,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Online),10 units
ARBE1103,Digital Communication in the Built Environment,Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Online),10 units
ARBE1104,History and Theory in the Built Environment 1,Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Online),10 units
ARBE1105,Communication in the Built Environment,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Online),10 units
ARBE1200,Architectural Design 1A,Not currently offered,10 units
ARBE1201,Visual Communication in the Built Environment,Semester 1 - 2020 (Callaghan),10 units
ARBE1220,Architecture Studio 2,Semester 2 - 2020 (Callaghan),20 units
ARBE1222,Architecture Studio 1,Semester 1 - 2020 (Callaghan),20 units
ARBE1301,Construction Law and Legislation,Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Online),10 units
ARBE1303,Introduction to the Construction Industry,Not currently offered,10 units
ARBE1304,Building Codes and Compliance,Semester 2 - 2020 (BCA Singapore)Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Online),10 units
ARBE1305,"Construction Technology, Sequencing and Representation",Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Online),10 units
ARBE1306,Construction Management Fundamentals,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Online),10 units
ARBE1500,Introduction to Design Practice,Not currently offered,10 units
ARBE1501,Project Development,Not currently offered,10 units
ARBE2100,Construction Technology 2,Not currently offered,10 units
ARBE2101,Construction Ecology 2,Not currently offered,10 units
ARBE2200,Visual Communication in the Built Environment,Not currently offered,10 units
ARBE2201,Architectural Design 2B,Not currently offered,10 units
ARBE2202,Communication in the Built Environment 4,Not currently offered,10 units
ARBE2203,History and Theory in the Built Environment 2,Semester 2 - 2020 (Callaghan),10 units
ARBE2220,Architecture Studio 3,Semester 1 - 2020 (Callaghan),20 units
ARBE2222,Architecture Studio 4,Semester 2 - 2020 (Callaghan),20 units
ARBE2223,Architecture Studio Project 1,Summer 1 - 2020 (Callaghan)Summer 2 - 2020 (Callaghan)Trimester 1 - 2020 (Callaghan)Trimester 2 - 2020 (Callaghan)Trimester 3 - 2020 (Callaghan),10 units
ARBE2224,Architecture Studio Project Elective 2,Not currently offered,10 units
ARBE2301,Measurement of Building Works 1,Semester 1 - 2020 (BCA Singapore)Semester 1 - 2020 (Callaghan)Summer 2 - 2020 (Online)Semester 1 - 2020 (Online),10 units
ARBE2303,Health and Safety in Built Environment,Semester 2 - 2020 (BCA Singapore)Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Online),10 units
ARBE2306,Maintenance Services and Rehabilitation,Semester 2 - 2020 (BCA Singapore)Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Online),10 units
ARBE2307,Economics of the Construction Industry,Semester 2 - 2020 (BCA Singapore)Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Online),10 units
ARBE2308,Cost Planning and Estimating,Semester 1 - 2020 (BCA Singapore)Semester 1 - 2020 (Callaghan)Summer 2 - 2020 (Online)Semester 1 - 2020 (Online),10 units
ARBE2309,Construction Procurement and Tendering,Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Online),10 units
ARBE2500,"Furniture, Form and Function",Not currently offered,10 units
ARBE2501,Technology Project Development,Not currently offered,10 units
ARBE2503,Design Collaboration,Not currently offered,10 units
ARBE2504,The Application of Design Heuristics,Not currently offered,10 units
ARBE2505,Sustainable Design,Not currently offered,10 units
ARBE2506,Model Making,Not currently offered,10 units
ARBE3100,Construction Technology 3,Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Online),10 units
ARBE3101,Performance and Sustainability of the Built Environment,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Online),10 units
ARBE3200,History and Theory in the Built Environment 3,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Online),10 units
ARBE3220,Architecture Studio 5,Semester 1 - 2020 (Callaghan),20 units
ARBE3221,Architecture Studio 6,Semester 2 - 2020 (Callaghan),20 units
ARBE3224,Architecture Studio Project 2,Summer 1 - 2020 (Callaghan)Summer 2 - 2020 (Callaghan)Trimester 1 - 2020 (Callaghan)Trimester 2 - 2020 (Callaghan)Trimester 3 - 2020 (Callaghan),10 units
ARBE3225,Architecture Studio Project 3,Summer 1 - 2020 (Callaghan)Summer 2 - 2020 (Callaghan)Trimester 1 - 2020 (Callaghan)Trimester 2 - 2020 (Callaghan)Trimester 3 - 2020 (Callaghan),10 units
ARBE3226,Architecture Studio Project 4,Summer 1 - 2020 (Callaghan)Summer 2 - 2020 (Callaghan)Trimester 1 - 2020 (Callaghan)Trimester 2 - 2020 (Callaghan)Trimester 3 - 2020 (Callaghan),10 units
ARBE3300,Construction Business Management,Not currently offered,10 units
ARBE3301,Construction Project Planning,Semester 1 - 2020 (BCA Singapore)Semester 2 - 2020 (BCA Singapore)Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Online),10 units
ARBE3304,Development Economics and Facilities Management,Semester 1 - 2020 (BCA Singapore)Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Online),10 units
ARBE3305,Infrastructure Development,Semester 2 - 2020 (BCA Singapore)Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Online),10 units
ARBE3306,Building Fire Safety and Compliance,Semester 1 - 2020 (BCA Singapore)Semester 2 - 2020 (BCA Singapore)Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Online),10 units
ARBE3307,Contract Administration,Semester 2 - 2020 (BCA Singapore)Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Online),10 units
ARBE3308,Building Information Modelling (BIM),Semester 1 - 2020 (BCA Singapore)Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Online),10 units
ARBE3309,Measurement of Building Works 2,Semester 1 - 2020 (BCA Singapore)Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Online),10 units
ARBE3501,Computational Design and Modelling,Not currently offered,10 units
ARBE3503,"Form, Function and the Human Interface",Not currently offered,10 units
ARBE3506,Design Development and Management,Not currently offered,10 units
ARBE3507,Project Design and Development,Not currently offered,10 units
ARBE3520,Industrial Design Professional Project,Not currently offered,20 units
ARBE3521,Design for Innovation,Not currently offered,20 units
ARBE4101,Construction Ecology 3,Not currently offered,10 units
ARBE4102,Construction Technology and Services,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Online),10 units
ARBE4120,Research in the Built Environment 2,Not currently offered,20 units
ARBE4121A,Research in the Built Environment A,Semester 1 - 2020 (BCA Singapore)Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Online),10 units
ARBE4121B,Research in the Built Environment B,Semester 2 - 2020 (BCA Singapore)Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Online),20 units
ARBE4125,Special Project,Not currently offered,20 units
ARBE4301,Construction Finance and Entrepreneurship,Not currently offered,10 units
ARBE4302,Disaster Management and Resilience in the Built Environment,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Online),10 units
ARBE4303,Facilities Management,Not currently offered,10 units
ARBE4310,Construction Business Strategy and Finance,Semester 1 - 2020 (BCA Singapore)Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Online),10 units
ARBE4323,Work Integrated Learning Building Information Modelling,Semester 1 - 2020 (BCA Singapore)Semester 2 - 2020 (BCA Singapore),20 units
ARBE6121,Disaster Management Research Project,Not currently offered,20 units
ARBE6201,Architectural Management,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Online),10 units
ARBE6202,Architectural Practice,Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Online),10 units
ARBE6220,Architectural Design 4A,Not currently offered,20 units
ARBE6221,Architectural Design 4B,Not currently offered,20 units
ARBE6222,Architectural Design 5A,Not currently offered,20 units
ARBE6223,Research in Architectural Practice,Not currently offered,20 units
ARBE6230,Architectural Design 5B,Not currently offered,30 units
ARBE6231,Architecture Studio 7,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Sydney),30 units
ARBE6232,Architecture Studio 8,Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Sydney),30 units
ARBE6233,Architecture Studio 9,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Sydney),30 units
ARBE6234,Architecture Studio 10,Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Sydney),30 units
ARBE6312,Sustainable Development,Trimester 3 - 2020 (Online),10 units
ARBE6321,Property Economics and Finance,Trimester 1 - 2020 (Online),10 units
ARBE6331,Property and Facilities Management,Trimester 2 - 2020 (Online),10 units
ARBE6341,Property Law and Planning Legislation,Trimester 2 - 2020 (Online),10 units
ARBE6351,Property Investment and Evaluation,Trimester 3 - 2020 (Online),10 units
ARBE6362,Advanced Property Valuation,Trimester 1 - 2020 (Online),10 units
ARBE6372,Statutory Valuations,Trimester 2 - 2020 (Online),10 units
ARBE6382,Property Market Analysis,Trimester 1 - 2020 (Online)Trimester 3 - 2020 (Online),10 units
ARBE6401,Project Scoping and Integration,Trimester 2 - 2020 (Online),10 units
ARBE6402,"Project Scheduling, Resource Management & Leadership",Trimester 3 - 2020 (Online),10 units
ARBE6403,Project Communication,Trimester 3 - 2020 (Online),10 units
ARBE6404,"Project Procurement, Cost, Quality and Risk Management",Trimester 1 - 2020 (Online),10 units
ARBE6405,Program Management,Trimester 1 - 2020 (Online),10 units
ARBE6406,Negotiation & Conflict Resolution,Trimester 2 - 2020 (Online),10 units
ARBE6407,Project Closure,Trimester 2 - 2020 (Online),10 units
ARBE6408,Professional Practice Research Project,Trimester 1 - 2020 (Callaghan)Trimester 3 - 2020 (Callaghan)Trimester 1 - 2020 (Online)Trimester 2 - 2020 (Online)Trimester 3 - 2020 (Online),10 units
ARBE6521,Design for Innovation,Not currently offered,20 units
ARBE6601,Theory and Practice of Disaster Risk Reduction,Trimester 2 - 2020 (Callaghan)Trimester 3 - 2020 (Callaghan)Trimester 2 - 2020 (Online)Trimester 3 - 2020 (Online),10 units
ARBE6602,Post-disaster Project Management,Not currently offered,10 units
ARBE6603,Disaster Mitigation and Sustainable Re-development,Not currently offered,10 units
ARBE6604,Professional Practice in Disaster Management,Not currently offered,10 units
ARBE6605,Policy and Social Considerations in Disaster Risk Reduction,Trimester 1 - 2020 (Callaghan)Trimester 1 - 2020 (Online),10 units
ARBE6606,Disaster Resilience Economics,Trimester 2 - 2020 (Callaghan)Trimester 2 - 2020 (Online),10 units
ARBE6607,Government Approaches to Disaster Risk Reduction,Trimester 1 - 2020 (Callaghan)Trimester 3 - 2020 (Callaghan)Trimester 1 - 2020 (Online)Trimester 3 - 2020 (Online),10 units
ARBE6608,Private Sector Approaches to Disaster Risk Reduction,Trimester 1 - 2020 (Callaghan)Trimester 3 - 2020 (Callaghan)Trimester 1 - 2020 (Online)Trimester 3 - 2020 (Online),10 units
ARBE6609,Sustainable Development and the 2030 Development Agenda,Trimester 3 - 2020 (Callaghan)Trimester 3 - 2020 (Online),10 units
ARBE6614,Professional Practice in Disaster Risk Management,Trimester 2 - 2020 (Callaghan)Trimester 2 - 2020 (Online),10 units
Back to top,Back to top,Back to top,Back to top
AVIA6110,Human Factors in Aviation Systems,Not currently offered,10 units
AVIA6120,Crew Resource Management,Not currently offered,10 units
AVIA6130,Advanced Aviation Human Factors Research Skills,Not currently offered,10 units
AVIA6140,Human Factors in Specialised Operations,Not currently offered,10 units
AVIA6150,Aviation Safety Management Systems,Not currently offered,10 units
AVIA6160,Aviation Training and Instruction,Not currently offered,10 units
Back to top,Back to top,Back to top,Back to top
BIID6001A,Projects in BioInnovation and Design Part A,Not currently offered,10 units
BIID6001B,Projects in BioInnovation and Design Part B,Not currently offered,20 units
Back to top,Back to top,Back to top,Back to top
BIOL1001,"Molecules, Cells and Organisms",Semester 1 - 2020 (Callaghan)Winter - 2020 (Callaghan)Semester 1 - 2020 (Central Coast),10 units
BIOL1002,Organisms to Ecosystems,Summer 2 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Central Coast),10 units
BIOL1003,Professional Skills for Biological Sciences 1,Semester 2 - 2020 (Callaghan),10 units
BIOL2001,Molecular Laboratory Skills for Biological Sciences,Semester 1 - 2020 (Callaghan),10 units
BIOL2002,Laboratory Skills in Biological Systems,Semester 2 - 2020 (Callaghan),10 units
BIOL2010,Biochemistry,Semester 1 - 2020 (Callaghan),10 units
BIOL2011,Fundamentals of Biology and Biochemistry,Semester 1 - 2020 (Central Coast),10 units
BIOL2020,Animal Physiology and Development,Semester 1 - 2020 (Callaghan),10 units
