code,title,level,campus
NIT6150,Advanced Project,Postgraduate,Footscray Park or VU Sydney
AHE2129,Advanced Resistance Training,Bachelor,Footscray Park
SMISSC,Advanced Sport Science,Bachelor,Footscray Park
SCL3101,Advanced Training and Conditioning,Bachelor,Footscray Park
SOL1003,Adventure Based Learning for Outdoor Environments,Bachelor,Footscray Park
SMIADS,Adventure Sports,Bachelor,Footscray Park
ECE3002,Advocacy in Leadership and Management in Early Childhood Education,Bachelor,Footscray Park
ACF2002,Aesthetics and Art Criticism,Bachelor,Footscray Nicholson
HNO7003,Ageing and Chronic Disease,Postgraduate,Victoria University Online
NEM1001,Algebra and Calculus,Bachelor,Footscray Park
SOL2007,Alpine Environments,Bachelor,Footscray Park
LLW3002,Alternative Dispute Resolution,Bachelor,City Queen
NNM6004,Alternative Energy Systems and Power Electronics,Postgraduate,Footscray Park
NEE3207,Analogue and Digital Transmission,Bachelor,Footscray Park
NEE2205,Analogue Electronics,Bachelor,Footscray Park
ADM5004,Analysing the Web and Social Networks,Postgraduate,City Flinders
NMIACH,Analytical Chemistry,Bachelor,Footscray Park or Werribee
NPU2101,Analytical Methods 1,Bachelor,Footscray Park
NPU2102,Analytical Methods 2,Bachelor,Footscray Park
HMIHPH,Anatomy & Integrated Physiology,Bachelor,St Albans
HBM1001,Anatomy and Physiology 1,Bachelor,St Albans
HBM1202,Anatomy and Physiology 2,Bachelor,St Albans
SMIAAE,Applied Anatomy for Exercise,Bachelor,Footscray Park or St Albans
HBM3202,Applied Biomedical Science,Bachelor,St Albans
BPD3100,Applied Business Challenge,Bachelor,"City Flinders, Footscray Park or VU Sydney"
HBD3201,Applied Electrotherapy,Bachelor,City Queen or Online
AHE3125,Applied Exercise Psychology,Bachelor,Footscray Park
HMAAHN,Applied Human Nutrition,Bachelor,"Footscray Nicholson, Footscray Park, St Albans, Werribee or Other"
HMIAHN,Applied Human Nutrition,Bachelor,Footscray Park or St Albans
ASA1024,Applied Human Rights,Bachelor,Footscray Park
LML6007,Applied Migration Law,Postgraduate,"City Queen, Online or Other"
SPE1200,Applied Movement Science,Bachelor,Footscray Park
NEF3001,Applied Project 1,Bachelor,Footscray Park or VU Sydney
NEF3002,Applied Project 2,Bachelor,Footscray Park or VU Sydney
HMIAPP,Applied Research,Bachelor,St Albans
SFS7013,Applied Research Project,Postgraduate,"Footscray Park, Industry or Other"
SFS7010,Applied Sports Statistics,Postgraduate,City Flinders
BEO2255,Applied Statistics for Business,Bachelor,City Flinders or Footscray Park
APT5060,Applied Techniques of Counselling,Postgraduate,City Flinders
APT5010,Applied Techniques of Grief Counselling,Postgraduate,City Flinders
AED5011,Approaches to Learning,Postgraduate,Footscray Park
SPE1105,Aquatic and Athletic Movement Activities,Bachelor,Footscray Park
NEA2102,Architectural Design and Theory,Bachelor,Footscray Park
NBD2001,Architectural History and Analysis,Bachelor,Footscray Park
NEF4108,Architectural Lighting and Acoustics,Bachelor,Footscray Park
ACO3010,Arranging for Popular Music,Bachelor,"Footscray Nicholson, Footscray Park or Other"
EMASAR,Art (Ed Studies),Bachelor,Footscray Nicholson
EMAEAR,Art (Education),Bachelor,Footscray Nicholson
BMO6050,Art and Practice of Leadership,Postgraduate,City Flinders or Victoria University Online
EDS1002,Addressing Disability,Bachelor,Footscray Park
EDS3005,Assessing and Reporting On Students With Diverse Abilities,Bachelor,Footscray Park
BAO3306,Auditing,Bachelor,"City Flinders, Footscray Park or VU Sydney"
LML6003,Australia's Visa System 1,Postgraduate,"City Queen, Online or Other"
LLW3000,Australian Administrative Law,Bachelor,"City Flinders, City Queen or Footscray Park"
RBF2640,Australian Animals,Bachelor,Footscray Park
BLB4135,Australian Employment Law,Bachelor,City Queen
HHB1204,Australian Health and Social Care Systems and Policy,Bachelor,St Albans
BLO5539,Australian Income Tax Law and Practice,Postgraduate,City Flinders or VU Sydney
NPU2110,Australian Landscapes and Biota,Bachelor,Footscray Park
BLB1101,Australian Legal System in Context,Bachelor,City Queen or Footscray Park
ACL3009,Australian Literature,Bachelor,Footscray Park
LML6002,Australian Migration Law,Postgraduate,"City Queen, Online or Other"
RBF2620,Australian Plants,Bachelor,Footscray Park
LML6004,Australia’s Visa System 2,Postgraduate,"City Queen, Online or Other"
BI011,Biology 1,TAFE (Vocational),Footscray Nicholson
BI011A,Biology 1,TAFE (Vocational),Footscray Nicholson
BI022,Biology 2,TAFE (Vocational),Footscray Nicholson
BI033,Biology 3,TAFE (Vocational),Footscray Nicholson
BI033A,Biology 3,TAFE (Vocational),Footscray Nicholson
BI034,Biology 4,TAFE (Vocational),Footscray Nicholson
BI034A,Biology 4,TAFE (Vocational),Footscray Nicholson
BM011,Business Management 1,TAFE (Vocational),Footscray Nicholson
BM012,Business Management 1,TAFE (Vocational),Footscray Nicholson
BM022,Business Management 2,TAFE (Vocational),Footscray Nicholson
BM033,Business Management 3,TAFE (Vocational),Footscray Nicholson
BM034,Business Management 4,TAFE (Vocational),Footscray Nicholson
BSBADM302,Produce texts from notes,TAFE (Vocational),"City Flinders, Footscray Nicholson, Online, St Albans, Sunshine or Werribee"
BSBADM303B,Produce texts from audio transcription,TAFE (Vocational),City Queen or Footscray Nicholson
BSBADM405,Organise meetings,TAFE (Vocational),Footscray Nicholson
BSBADM409,Coordinate business resources,TAFE (Vocational),Footscray Nicholson or Industry
BSBADM502,Manage meetings,TAFE (Vocational),"Footscray Nicholson, Footscray Park or Industry"
BSBADM502B,Manage meetings,TAFE (Vocational),"Footscray Nicholson, Industry or St Albans"
BSBADM503,Plan and manage conferences,TAFE (Vocational),Footscray Nicholson
BSBADM504,Plan and implement administrative systems,TAFE (Vocational),Footscray Nicholson
BSBADM506,Manage business document design and development,TAFE (Vocational),Footscray Nicholson or Industry
BSBCMM201,Communicate in the workplace,TAFE (Vocational),"City Flinders, City King, Footscray Nicholson, Industry, Online, Sunshine, Werribee or Other"
BSBCMM401,Make a presentation,TAFE (Vocational),"City King, Footscray Nicholson, Footscray Park, Industry or Online"
BSBCMM501,Develop and nurture relationships,TAFE (Vocational),Footscray Nicholson
BSBCOM406,Conduct work within a compliance framework,TAFE (Vocational),Footscray Nicholson
BSBCOM501,Identify and interpret compliance requirements,TAFE (Vocational),Footscray Nicholson or Industry
BSBCRT301,Develop and extend critical and creative thinking skills,TAFE (Vocational),"Footscray Nicholson, St Albans, Sunshine, Werribee or Other"
BSBCRT401,"Articulate, present and debate ideas",TAFE (Vocational),Footscray Nicholson
BSBCRT402,Collaborate in a creative process,TAFE (Vocational),City King or Footscray Nicholson
BSBCRT402A,Collaborate in a creative process,TAFE (Vocational),Footscray Nicholson or Online
BSBCRT403,Explore the history and social impact of creativity,TAFE (Vocational),Footscray Nicholson
BSBCRT403A,Explore the history and social impact of creativity,TAFE (Vocational),Footscray Nicholson or Online
BSBCRT501,Originate and develop concepts,TAFE (Vocational),City King or Footscray Nicholson
BSBCUS201,Deliver a service to customers,TAFE (Vocational),"Footscray Nicholson, Footscray Park or Industry"
BSBCUS301,Deliver and monitor a service to customers,TAFE (Vocational),"Footscray Nicholson, Industry, Online, Sunshine, Werribee or Other"
BSBCUS301B,Deliver and monitor a service to customers,TAFE (Vocational),City Queen or Footscray Nicholson
BSBCUS402,Address customer needs,TAFE (Vocational),"City King, Footscray Nicholson or Footscray Park"
BSBCUS501,Manage quality customer service,TAFE (Vocational),"Footscray Nicholson, Industry or Online"
BSBDES305,Source and apply information on the history and theory of design,TAFE (Vocational),Footscray Nicholson
BSBDES401,Generate design solutions,TAFE (Vocational),Footscray Nicholson
BSBDES402,Interpret and respond to a design brief,TAFE (Vocational),City King or Footscray Nicholson
BSBDES402A,Interpret and respond to a design brief,TAFE (Vocational),Footscray Nicholson or Online
BSBDES403,Develop and extend design skills and practice,TAFE (Vocational),City King or Footscray Nicholson
BSBDES501,Implement design solutions,TAFE (Vocational),Footscray Nicholson
BSBDIV301,Work effectively with diversity,TAFE (Vocational),"Footscray Nicholson, Industry, St Albans, Sunshine or Werribee"
BSBDIV501,Manage diversity in the workplace,TAFE (Vocational),"Footscray Nicholson, Footscray Park, Industry, Online or Other"
BSBEBU401,Review and maintain a website,TAFE (Vocational),Footscray Nicholson or Sunshine
BSBEBU501,Investigate and design e-business solutions,TAFE (Vocational),Footscray Nicholson or Industry
BSBFIA301,Maintain financial records,TAFE (Vocational),Industry or Werribee
BSBFIA302,Process payroll,TAFE (Vocational),"City King, Footscray Nicholson, Footscray Park or Industry"
BSBFIA303,Process accounts payable and receivable,TAFE (Vocational),"Footscray Nicholson, Industry or Werribee"
BSBFIA304,Maintain a general ledger,TAFE (Vocational),Footscray Nicholson or Industry
BSBFIA401,Prepare financial reports,TAFE (Vocational),"City King, Footscray Nicholson, Industry, St Albans, Sunshine or Werribee"
BSBFIA402,Report on financial activity,TAFE (Vocational),"City King, Footscray Nicholson, Footscray Park or Industry"
BSBFIA412,Report on financial activity,TAFE (Vocational),"City King, Footscray Nicholson or Footscray Park"
BSBFIM501,Manage budgets and financial plans,TAFE (Vocational),Footscray Nicholson or Industry
BSBFIM502,Manage payroll,TAFE (Vocational),Footscray Nicholson or Werribee
BSBFIM601,Manage finances,TAFE (Vocational),Footscray Nicholson or Industry
BSBFLM303,Contribute to effective workplace relationships,TAFE (Vocational),"Footscray Nicholson, St Albans, Sunshine, Werribee or Other"
BSBFLM309,Support continuous improvement systems and processes,TAFE (Vocational),Industry or Werribee
BSBFLM312,Contribute to team effectiveness,TAFE (Vocational),"Industry, Sunshine or Werribee"
BSBGOV403A,Analyse financial reports and budgets,TAFE (Vocational),Industry
BSBGOV503,Conduct organisational strategic planning,TAFE (Vocational),Industry
BSBHRM403,Support performance-management processes,TAFE (Vocational),Footscray Nicholson
BSBHRM404,Review human resources functions,TAFE (Vocational),Footscray Nicholson
BSBHRM405,"Support the recruitment, selection and induction of staff",TAFE (Vocational),Footscray Nicholson or Industry
BSBHRM602,Manage human resources strategic planning,TAFE (Vocational),Footscray Nicholson or Industry
BSBHRM604,Manage employee relations,TAFE (Vocational),Footscray Nicholson or Industry
BSBINM201,Process and maintain workplace information,TAFE (Vocational),"Footscray Nicholson, St Albans, Sunshine, Werribee or Other"
BSBINM301,Organise workplace information,TAFE (Vocational),"City King, Footscray Nicholson, Industry or Werribee"
BSBINM501,Manage an information or knowledge management system,TAFE (Vocational),Industry
BSBINN301,Promote innovation in a team environment,TAFE (Vocational),Footscray Nicholson or Industry
BSBINN301A,Promote innovation in a team environment,TAFE (Vocational),Industry or Sunshine
BSBINN502,Build and sustain an innovative work environment,TAFE (Vocational),"City Flinders, Footscray Nicholson, Industry, St Albans, Sunshine or Werribee"
BSBINN601,Lead and manage organisational change,TAFE (Vocational),Footscray Nicholson or Industry
BSBIPR401,Use and respect copyright,TAFE (Vocational),Footscray Nicholson or Online
BSBIPR501,Manage intellectual property to protect and grow business,TAFE (Vocational),Footscray Nicholson
BSBITB501,Establish and maintain a workgroup computer network,TAFE (Vocational),Footscray Nicholson
BSBITU102,Develop keyboard skills,TAFE (Vocational),"City Flinders, Footscray Nicholson, St Albans, Sunshine or Werribee"
BSBITU201,Produce simple word processed documents,TAFE (Vocational),"City Flinders, Footscray Nicholson, Industry, Online, St Albans, Sunshine, Werribee or Other"
BSBITU202,Create and use spreadsheets,TAFE (Vocational),"Footscray Nicholson, Industry or Sunshine"
BSBITU203,Communicate electronically,TAFE (Vocational),Footscray Nicholson or Industry
BSBITU302,Create electronic presentations,TAFE (Vocational),Footscray Nicholson or Industry
BSBITU303,Design and produce text documents,TAFE (Vocational),"Footscray Nicholson, Industry, Online, St Albans, Sunshine, Werribee or Other"
BSBITU303A,Design and produce text documents,TAFE (Vocational),"City Queen, Footscray Nicholson, Industry or Online"
BSBITU304,Produce spreadsheets,TAFE (Vocational),"Footscray Nicholson, Footscray Park, Industry or Werribee"
BSBITU304A,Produce spreadsheets,TAFE (Vocational),City Queen or Footscray Nicholson
BSBITU306,Design and produce business documents,TAFE (Vocational),"City King, Footscray Nicholson, Footscray Park, Online, St Albans, Sunshine, Werribee or Other"
BSBITU306A,Design and produce business documents,TAFE (Vocational),"City Queen, Footscray Nicholson or Online"
BSBITU307A,Develop keyboarding speed and accuracy,TAFE (Vocational),City Queen or Footscray Nicholson
BSBITU309A,Produce desktop published documents,TAFE (Vocational),Footscray Nicholson or Online
BSBITU401,Design and develop complex text documents,TAFE (Vocational),"City King, Footscray Nicholson or Footscray Park"
BSBITU402,Develop and use complex spreadsheets,TAFE (Vocational),"City King, Footscray Nicholson, Footscray Park, St Albans, Sunshine or Werribee"
BSBITU404,Produce complex desktop published documents,TAFE (Vocational),Footscray Park
BSBITU404A,Produce complex desktop published documents,TAFE (Vocational),Footscray Nicholson or Online
BSBLDR401,Communicate effectively as a workplace leader,TAFE (Vocational),"City King, Footscray Nicholson or Footscray Park"
BSBLDR402,Lead effective workplace relationships,TAFE (Vocational),"Footscray Nicholson, Industry, St Albans, Werribee or Other"
BSBLDR403,Lead team effectiveness,TAFE (Vocational),"Footscray Nicholson, Industry or Online"
BSBLDR404,Lead a diverse workforce,TAFE (Vocational),Footscray Nicholson or Industry
BSBLDR501,Develop and use emotional intelligence,TAFE (Vocational),Footscray Nicholson or Industry
BSBLDR502,Lead and manage effective workplace relationships,TAFE (Vocational),Footscray Nicholson or Industry
BSBLDR503,Communicate with influence,TAFE (Vocational),"City King, Footscray Nicholson, Footscray Park or Industry"
BSBLDR511,Develop and use emotional intelligence,TAFE (Vocational),"City King, Footscray Nicholson, Footscray Park or Industry"
BSBLDR513,Communicate with influence,TAFE (Vocational),"City King, Footscray Nicholson, Footscray Park or Industry"
BSBLDR805,Lead and influence change,TAFE (Vocational),Industry
BSBLED401,Develop teams and individuals,TAFE (Vocational),"City King, Footscray Nicholson, Footscray Park, Industry, Sunshine or Werribee"
BSBLED501,Develop a workplace learning environment,TAFE (Vocational),Footscray Nicholson or Industry
BSBLED503,Maintain and enhance professional practice,TAFE (Vocational),Footscray Nicholson
BSBLEG403,Maintain trust accounts,TAFE (Vocational),City Queen or Footscray Nicholson
BSBLEG418A,Produce complex legal documents,TAFE (Vocational),City Queen or Footscray Nicholson
BSBLEG510,Apply legal principles in family law matters,TAFE (Vocational),Footscray Nicholson
BSBLEG511,Apply legal principles in criminal law matters,TAFE (Vocational),Footscray Nicholson
BSBLEG512,Apply legal principles in property law matters,TAFE (Vocational),Footscray Nicholson
BSBLEG513,Apply legal principles in corporation law matters,TAFE (Vocational),Footscray Nicholson
BSBLEG514,Assist with civil procedure,TAFE (Vocational),Footscray Nicholson
BSBLEG515,Apply legal principles in wills and probate matters,TAFE (Vocational),Footscray Nicholson
BSBLIB201,Assist with circulation services,TAFE (Vocational),Footscray Nicholson or Online
BSBLIB202,Process information resource orders,TAFE (Vocational),Footscray Nicholson or Online
BSBLIB303,Provide multimedia support,TAFE (Vocational),Footscray Nicholson or Online
BSBLIB304,Develop and use information literacy skills,TAFE (Vocational),"City Flinders, Footscray Nicholson, St Albans, Sunshine or Werribee"
BSBLIB305,Use established cataloguing tools,TAFE (Vocational),Footscray Nicholson or Online
BSBLIB402,Consolidate and maintain industry knowledge,TAFE (Vocational),Footscray Nicholson or Online
BSBLIB403,Complete a range of cataloguing activities,TAFE (Vocational),Footscray Nicholson or Online
BSBLIB404,Use integrated library management systems,TAFE (Vocational),Footscray Nicholson or Online
BSBLIB405,Assist customers to access information,TAFE (Vocational),Footscray Nicholson or Online
BSBLIB406,Obtain information from external and networked sources,TAFE (Vocational),Footscray Nicholson or Online
BSBLIB407,Search library and information databases,TAFE (Vocational),"Footscray Nicholson, Online, St Albans, Sunshine, Werribee or Other"
BSBLIB503,"Develop and promote activities, events and public programs",TAFE (Vocational),Footscray Nicholson or Online
BSBLIB506,Maintain digital repositories,TAFE (Vocational),Footscray Nicholson or Online
BSBLIB507,Promote literature and reading,TAFE (Vocational),Footscray Nicholson or Online
BSBLIB509,Provide subject access and classify material,TAFE (Vocational),Footscray Nicholson or Online
BSBLIB510,Use and monitor advanced functions of integrated library management systems,TAFE (Vocational),Footscray Nicholson or Online
BSBLIB511,Research and analyse information to meet customer needs,TAFE (Vocational),Footscray Nicholson or Online
BSBLIB513,Monitor compliance with copyright and licence requirements,TAFE (Vocational),Footscray Nicholson or Online
BSBLIB603,Contribute to collection management,TAFE (Vocational),Footscray Nicholson or Online
BSBLIB604,Extend own information literacy skills to locate information,TAFE (Vocational),Footscray Nicholson or Online
BSBMED301,Interpret and apply medical terminology appropriately,TAFE (Vocational),"Footscray Nicholson, Industry, St Albans, Sunshine or Werribee"
BSBMED301B,Interpret and apply medical terminology appropriately,TAFE (Vocational),Online
BSBMED302,Prepare and process medical accounts,TAFE (Vocational),Industry or Werribee
BSBMED303,Maintain patient records,TAFE (Vocational),Industry or Werribee
BSBMED305B,"Apply the principles of confidentiality, privacy and security within the medical environment",TAFE (Vocational),Online
BSBMED401,Manage patient recordkeeping system,TAFE (Vocational),"City King, Footscray Park, Werribee or Other"
BSBMGT401,Show leadership in the workplace,TAFE (Vocational),"Industry, Sunshine or Werribee"
BSBMGT402,Implement operational plan,TAFE (Vocational),"Footscray Nicholson, Industry, Sunshine or Werribee"
BSBMGT403,Implement continuous improvement,TAFE (Vocational),Footscray Nicholson or Industry
BSBMGT502,Manage people performance,TAFE (Vocational),Footscray Nicholson or Industry
BSBMGT502B,Manage people performance,TAFE (Vocational),Industry
BSBMGT516,Facilitate continuous improvement,TAFE (Vocational),Footscray Nicholson or Industry
BSBMGT517,Manage operational plan,TAFE (Vocational),Footscray Nicholson or Industry
BSBMGT518,Develop organisation policy,TAFE (Vocational),Footscray Nicholson or Industry
BSBMGT605,Provide leadership across the organisation,TAFE (Vocational),Footscray Nicholson or Industry
BSBMGT608,Manage innovation and continuous improvement,TAFE (Vocational),Footscray Nicholson or Industry
BSBMGT617,Develop and implement a business plan,TAFE (Vocational),Footscray Nicholson or Industry
BSBMKG401,Profile the market,TAFE (Vocational),Footscray Nicholson or Industry
BSBMKG413,Promote products and services,TAFE (Vocational),"City King, Footscray Nicholson or Footscray Park"
BSBMKG414,Undertake marketing activities,TAFE (Vocational),"City King, Footscray Nicholson or Footscray Park"
BSBMKG501,Identify and evaluate marketing opportunities,TAFE (Vocational),Footscray Nicholson or Footscray Park
BSBMKG514,Implement and monitor marketing activities,TAFE (Vocational),Footscray Nicholson
BSBOHS403B,Identify hazards and assess OHS risks,TAFE (Vocational),Industry or Sunshine
BSBOHS504B,Apply principles of OHS risk management,TAFE (Vocational),"Industry, Sunshine or Werribee"
BSBPMG404A,Apply quality management techniques,TAFE (Vocational),Industry
BSBPMG406A,Apply communications management techniques,TAFE (Vocational),Industry
BSBPMG407A,Apply risk management techniques,TAFE (Vocational),Sunshine or Other
BSBPMG415,Apply project risk management techniques,TAFE (Vocational),Sunshine or Other
BSBPMG415A,Apply project risk-management techniques,TAFE (Vocational),Industry or Sunshine
BSBPMG416,Apply project procurement procedures,TAFE (Vocational),"Industry, Sunshine or Werribee"
BSBPMG505A,Manage project quality,TAFE (Vocational),Industry or Sunshine
BSBPMG507A,Manage project communications,TAFE (Vocational),Industry
BSBPMG508A,Manage project risk,TAFE (Vocational),Industry or Sunshine
BSBPMG510A,Manage projects,TAFE (Vocational),"Footscray Nicholson, Industry or Online"
BSBPMG522,Undertake project work,TAFE (Vocational),"City King, Footscray Nicholson, Footscray Park or Industry"
BSBPUB403A,Develop public  relations documents,TAFE (Vocational),Footscray Nicholson or Online
BSBREL401,Establish networks,TAFE (Vocational),"City King, Footscray Nicholson or Footscray Park"
BSBREL402,Build client relationships and business networks,TAFE (Vocational),Footscray Nicholson or Industry
BSBRES401,Analyse and present research information,TAFE (Vocational),"City King, Footscray Nicholson, Footscray Park, Industry, St Albans or Werribee"
BSBRES401A,Analyse and present research information,TAFE (Vocational),City Queen or Footscray Nicholson
BSBRES502,Research legal information using secondary sources,TAFE (Vocational),Footscray Nicholson
BSBRSK401,Identify risk and apply risk management processes,TAFE (Vocational),"Footscray Nicholson, Footscray Park, Industry or Werribee"
BSBRSK501,Manage risk,TAFE (Vocational),Footscray Nicholson or Industry
BSBSMB301,Investigate micro business opportunities,TAFE (Vocational),"Footscray Nicholson, Industry, Sunshine, Werribee or Other"
BSBSMB304,Determine resource requirements for the micro business,TAFE (Vocational),City King
BSBSMB306,Plan a home based business,TAFE (Vocational),"Footscray Park, Industry or Werribee"
BSBSMB401,Establish legal and risk management requirements of small business,TAFE (Vocational),"Footscray Park, Industry, Sunshine or Werribee"
BSBSMB403,Market the small business,TAFE (Vocational),"City King, Footscray Park or Werribee"
BSBSMB404,Undertake small business planning,TAFE (Vocational),"City King, Footscray Park, Industry, Sunshine, Werribee or Other"
BSBSMB404A,Undertake small business planning,TAFE (Vocational),Industry or Sunshine
BSBSMB406,Manage small business finances,TAFE (Vocational),"Footscray Park, Industry, Sunshine, Werribee or Other"
BSBSMB406A,Manage small business finances,TAFE (Vocational),Sunshine or Other
BSBSMB412,Introduce cloud computing into business operations,TAFE (Vocational),"City King, Footscray Nicholson, St Albans, Sunshine or Werribee"
BSBSMB421,Manage small business finances,TAFE (Vocational),Sunshine or Other
BSBSUS201,Participate in environmentally sustainable work practices,TAFE (Vocational),"City King, Footscray Nicholson, Footscray Park, Industry, Online, St Albans, Werribee or Other"
BSBSUS401,Implement and monitor environmentally sustainable work practices,TAFE (Vocational),"Footscray Nicholson, Industry, Online, St Albans, Sunshine, Werribee or Other"
BSBSUS501,Develop workplace policy and procedures for sustainability,TAFE (Vocational),Footscray Nicholson or Industry
BSBWHS201,Contribute to health and safety of self and others,TAFE (Vocational),"City King, Footscray Nicholson, Footscray Park, Industry, St Albans, Sunshine, Werribee or Other"
BSBWHS201A,Contribute to health and safety of self and others,TAFE (Vocational),Online
BSBWHS301A,Maintain workplace safety,TAFE (Vocational),City Queen or Footscray Nicholson
BSBWHS302,Apply knowledge of WHS legislation in the workplace,TAFE (Vocational),Footscray Nicholson or Industry
BSBWHS303,"Participate in WHS hazard identification, risk assessment and risk control",TAFE (Vocational),"Footscray Park, Industry or Werribee"
BSBWHS304,Participate effectively in WHS communication and consultation processes,TAFE (Vocational),"Footscray Nicholson, Industry, St Albans, Sunshine or Werribee"
BSBWHS401,"Implement and monitor WHS policies, procedures and programs to meet legislative requirements",TAFE (Vocational),"City King, Footscray Nicholson, Footscray Park, Industry, Online, St Albans, Sunshine or Werribee"
BSBWHS501,Ensure a safe workplace,TAFE (Vocational),Footscray Nicholson or Industry
BSBWOR202,Organise and complete daily work activities,TAFE (Vocational),Footscray Nicholson or Industry
BSBWOR203,Work effectively with others,TAFE (Vocational),"Footscray Nicholson, Industry, Online or Other"
BSBWOR204,Use business technology,TAFE (Vocational),"Footscray Nicholson, Footscray Park or Industry"
BSBWOR301,Organise personal work priorities and development,TAFE (Vocational),"City Flinders, Footscray Nicholson, Footscray Park, Industry, St Albans, Sunshine or Werribee"
BSBWOR401A,Establish effective workplace relationships,TAFE (Vocational),"Footscray Nicholson, Online or Sunshine"
BSBWOR404,Develop work priorities,TAFE (Vocational),"City Flinders, Footscray Nicholson, Industry, St Albans, Sunshine or Werribee"
BSBWOR501,Manage personal work priorities and professional development,TAFE (Vocational),"Footscray Nicholson, Industry or Online"
BSBWOR501B,Manage personal work priorities and professional development,TAFE (Vocational),Footscray Nicholson or Online
BSBWOR502,Lead and manage team effectiveness,TAFE (Vocational),"Footscray Nicholson, Footscray Park, Industry, Sunshine or Werribee"
BSBWOR502B,Ensure team effectiveness,TAFE (Vocational),City Queen or Footscray Nicholson
BSBWRK411,Support employee and industrial relations procedures,TAFE (Vocational),Footscray Nicholson
BSBWRK510,Manage employee relations,TAFE (Vocational),Industry
BSBWRT301,Write simple documents,TAFE (Vocational),"Footscray Nicholson, Industry or Sunshine"
BSBWRT401,Write complex documents,TAFE (Vocational),"City Flinders, City King, Footscray Nicholson, Footscray Park, Industry, St Albans, Sunshine or Werribee"
BSBWRT401A,Write complex documents,TAFE (Vocational),"City Queen, Footscray Nicholson or Online"
BMABKF,Banking and Finance,Bachelor,City Flinders
BMIBKF,Banking and Finance,Bachelor,City Flinders
NBC1103,Basic Structural Mechanics,Bachelor,Footscray Park
SMG7240,Behavioural Aspects of Active Living,Postgraduate,St Albans
