AMB120,Bridging Cultures
CCB301,Communication Research Methods
CCB302,Digital Media Analytics
CCB303,Digital Media Project
CDB101,Managing Media and Entertainment
CDB203,Project Management in the Entertainment Industries
CJB101,Newswriting
CJB102,Visual Journalism
CJB103,Journalistic Inquiry
CJB201,Feature Writing
CJB202,Production Journalism
CJB203,Newsroom
CJB204,Journalism Ethics and Issues
CJB301,International Newsdesk
CJB302,Newsdesk
CVB101,General Chemistry
CVB102,Chemical Structure and Reactivity
CVB201,Inorganic Chemistry
CVB202,Analytical Chemistry
CVB203,Physical Chemistry
CVB204,Organic Structure and Mechanisms
CVB210,Chemical Measurement Science
CVB211,Industrial Chemistry
CVB212,Industrial Analytical Chemistry
CVB215,Criminalistics and Physical Evidence
CVB216,Forensic Chemistry
CVB217,Digital Forensics
CVB218,Drug Discovery and Design
CVB221,Unit Operations
CVB222,Forensic Analysis of Bio-active Compounds
CVB225,Forensic Biology and Analytical Toxicology
CVB301,Organic Chemistry: Strategies for Synthesis
CVB302,Applied Physical Chemistry
CVB303,Coordination Chemistry
CVB313,Environmental Analytical Chemistry
CVB320,Instrumental Analysis
CWB101,Communication and Composition: Introduction to Academic Writing
CWB102,Influence and Persuasion
CWB103,Interpersonal and Intercultural Negotiation
CWB110,Introduction to Literary and Cultural Studies
CWB111,Scientific and Technical Writing
CWB112,Popular Culture: A 21st Century Communication Industry
CWB113,Writing Australia
CWB201,Corporate Writing and Editing
CWB202,Rhetoric: Public Communication Skills
CWB211,The Unstable Self: Disruption and Technology in 20th Century Writing
CWB212,"Shakespeare, Expert Communicator"
CWB301,Political Communication
CWB302,Advanced Corporate Communication
CWB303,Communication Project
CWB310,"Science, Machines and Monsters: 19th Century Literature and Culture"
CYB103,Communication Theory and Practice
CYB104,Managing Social Media
CZB190,Chemistry for Health Sciences
CZB191,Introductory Chemistry for Educators
DAB101,Architectural Design 1: Explorations
DAB102,Architectural Design 2: Spaces
DAB200,Modern Architecture
DAB201,Architectural Design 3: Dwelling
DAB202,Architectural Design 4: Metro
DAB211,Environmental Principles of Architectural Design
DAB212,Small Scale Building Construction
DAB220,"Architecture, Culture and Place"
DAB301,Architectural Design 5: Commercial
DAB302,Architectural Design 6: Communities
DAB303,Integrated Architectural Technology
DAB311,Systems and Structures
DAB312,Building Services
DAB403,Architectural Visualisation 3
DAB511,Architectural Design 5
DAB611,Architectural Design 6
DAH525,Architecture and the City
DAH530,Integrated Technologies 2
DAH635,Architectural Technology 2
DAH710,Architectural Design 7
DEH701,Research Methods
DFB102,Introduction to Fashion Communication
DFB104,Fashion Sustainability
DFB105,Fashion Visualisation
DFB110,Fashion Design Studio 1
DFB111,Fashion Design Studio 2
DFB204,Fashion Product Development
DFB205,Fashion Media
DFB206,Global Fashion Cultures
DFB207,Fashion and Style Journalism
DFB208,Fashion Textiles and Technology
DFB209,Global Fashion History
DFB210,Fashion Design Studio 3
DFB211,Fashion Design Studio 4
DFB301,Fashion Design Studio 3
DFB305,Critical Fashion Studies
DFB310,Fashion Design Studio 5
DFB311,Fashion Design Studio 6
DFB401,Fashion Design Studio 4
DFB403,Advanced Fashion Studio Practice
DFH501,Fashion Design Studio 5
DFH601,Fashion Design Studio 6
DFH701,Fashion Design Studio 7
DFH801,Fashion Design Studio 8
DLB101,Landscape Studio 1
DLB102,Landscape Studio 2
DLB201,"Landform, Technology and Techniques"
DLB202,"Landscape, People and Place Studio"
DLB204,Planting Design
DLB211,Landscape and Wellbeing
DLB240,Landscape Technology
DLB300,Landscape Design 3
DLB301,Landscape Ecology
DLB302,Landscape Materiality and Constructs
DLB311,Contested Landscapes
DLB320,Landscape Horticulture
DLB325,People and Place
DLB400,Landscape Design 4
DLB420,Landscape Systems
DLB440,Landscape Construction
DLB500,Landscape Design 5
DLB525,History and Criticism of Landscape Design
DLH600,Landscape Design 6
DLH700,Landscape Design 7
DLH800,Landscape Design 8
DLH845,Professional Practice in Landscape Architecture
DNB110,ID Studio 1: User Centred Design
DNB111,ID Studio 2: Aesthetics and Visualisation
DNB210,ID Studio 3: Interaction and Experience
DNB211,ID Studio 4: Manufacturing Technology
DNB212,ID Studio 5: Applied Technology
DNB213,Wearable Products
DNB214,Mass Transportation
DNB215,Personal Transportation
DNB301,Industrial Design 3
DNB301,Industrial Design 3
DNB304,Product Technology 1
DNB305,Culture and Design
DNB310,ID Studio 6: Systems Design
DNB311,ID Studio 7: Capstone
DNB312,Advanced Manufacturing
DNB313,Advanced Computer-Aided Design
DNB314,Future Transportation
DNB401,Industrial Design 4
DNB404,Product Technology 2
DNB405,"History, Theory and Criticism"
DNB503,Industrial Design 5
DNH603,Industrial Design 6
DNH703,Applied Design Research 1
DNH704,New Product Development
DNH803,Applied Design Research 2
DNH804,Professional Practice in Industrial Design
DTB101,Interior Studio 1
DTB102,Interior Studio 2
DTB202,Interior Technology 1
DTB204,Interior Studio 3
DTB205,Design Psychology
DTB210,Colour and Light
DTB211,"Materials, Products and Processes"
DTB301,Interior Design 3
DTB302,Colour Studies
DTB303,Interior Technology 2
DTB304,Design in Society
DTB305,Interior Studio 4
DTB306,Interior Technology 2
DTB311,Professional Interior Practice Delivery
DTB401,Interior Design 4
DTB402,Interior Technology 3
DTB403,Design Psychology
DTB501,Interior Design 5
DTB504,Design in Society
DTH601,Interior Design 6
DTH803,Professional Studies in Interior Design
DVB101,Visual Communication Design
DVB102,Image Design and Production
DVB201,Typographic Design
DVB202,Visual Narrative Design
DVB203,Theories and Methods of Visual Communication
DVB301,Kinetic Image and Text
DVB302,Data Visualisation and Information Design
DXB110,Principles of Interaction Design
DXB111,Web Prototyping
DXB204,Design Thinking
DXB205,Interactive Narrative Design
DXB210,Critical Experience Design
DXB211,Creative Coding
DXB212,Tangible Media
DXB301,Interface Design
DXB304,Interactive Narrative Design
DXB310,Augmented Interactions
DXB311,Advanced Interaction Design Project
DXB401,Advanced Web Design
DXB403,Design for Interactive Media
DXB501,Tangible Media
DYB102,Impact Lab 2: People
DYB102,Impact Lab 2: People
DYB111,Create and Represent: Form
DYB112,Spatial Materiality
DYB113,Create and Represent: Materials
DYB114,Spatial Histories
DYB121,Introducing Design Fabrication
DYB122,Design Visualisations
DYB123,Emerging Design Technology
DYB124,Design Consequences
DYB201,Impact Lab 3: Planet
DYB301,Impact Lab 4: Purpose
EAN601,Investigating Curriculum and Pedagogy in Early Childhood
EAN603,Child Development in Context
EDN610,Professional Dialogues in Education
EDN611,Conducting and Evaluating Educational Research
EFB106,Cost-Benefit Analysis for Project Appraisal
EFB201,Financial Markets
EFB210,Finance 1
EFB222,Introduction to Applied Econometrics
EFB223,Economics 2
EFB225,Economics for the Real World
EFB226,Environmental Economics and Policy
EFB227,"Insurance, Risk Management and Estate Planning"
EFB240,Finance for International Business
EFB308,Financial Modelling and Coding
EFB309,Financial Derivatives
EFB311,Financial Institutions Lending and Control
EFB312,International Finance
EFB330,Intermediate Macroeconomics
EFB331,Intermediate Microeconomics
EFB333,Applied Econometrics
EFB335,Investments
EFB336,International Economics
EFB337,Game Theory and Applications
EFB343,Corporate Finance
EFB344,Risk Management and Derivatives
EFN405,Applied Economics
EFN406,Managerial Finance
EFN412,Advanced Managerial Finance
EFN414,International Finance
EFN415,Security Analysis and Portfolio Management
EFN420,Data Analysis for Financial Managers
EFN422,Economics and Data Analysis
EFN423,Health Economics: Applications and Policy
EFN424,Equity Trading Floor
EFN425,Financial Markets and Institutions
EFN428,Behavioural Economics: Developments and Applications
EFN429,Investments Management
EFN505,Financial Risk Management
EFN507,Advanced Capital Budgeting
EFN516,Insurance and Risk Management
EGB100,Engineering Sustainability and Professional Practice
EGB111,Foundation of Engineering Design
EGB113,Energy in Engineering Systems
EGB120,Foundations of Electrical Engineering
EGB121,Engineering Mechanics
EGB123,Civil Engineering Systems
EGB210,Fundamentals of Mechanical Design
EGB211,Dynamics
EGB213,Energy Systems Fundamentals
EGB213,Energy Systems Fundamentals
EGB214,Materials and Manufacturing
EGB220,Mechatronics Design 1
EGB240,Electronic Design
EGB241,Electromagnetics and Machines
EGB242,Signal Analysis
EGB243,Aircraft Systems and Flight
EGB261,Unit Operations
EGB262,Process Principles
EGB270,Civil Engineering Materials
EGB273,Principles of Construction
EGB274,Environmentally Sustainable Design
EGB275,Structural Mechanics
EGB313,Energy Optimised Buildings
EGB314,Strength of Materials
EGB315,Materials Degradation
EGB316,Design of Machine Elements
EGB319,BioDesign
EGB320,Mechatronics Design 2
EGB321,Dynamics of Machines
EGB322,Thermodynamics
EGB323,Fluid Mechanics
EGB324,Fundamentals in Numerical Modelling for Engineering
EGB336,Lean Manufacturing
EGB339,Introduction to Robotics
EGB340,Design and Practice
EGB341,Energy Supply and Delivery
EGB342,Telecommunications and Signal Processing
EGB345,Control and Dynamic Systems
EGB346,Unmanned Aircraft Systems
EGB349,Systems Engineering and Design Project
EGB361,Minerals and Minerals Processing
EGB362,Operations Management and Process Economics
EGB364,Process Modelling
EGB371,Engineering Hydraulics
EGB373,Geotechnical Engineering
EGB375,Design of Concrete Structures
EGB376,Steel Design
EGB377,Water and Waste Water Engineering
EGB379,Advanced Transport Engineering
EGB381,Infrastructure Asset Management
EGB382,Construction Methodologies
EGB383,Environmental Resource Management
EGB384,"Bidding, Estimating and Cost Management"
EGB386,Design of Masonry Structures
EGB387,Project Value and Innovations
EGB414,Advanced Materials
EGB415,Motor Racing Vehicle Design
EGB422,Energy Management
EGB423,"Heating, Ventilation and Air Conditioning"
EGB424,Advanced Computational Fluid Dynamics
EGB432,Asset Management and Maintenance
EGB434,Tribology
EGB435,Advanced Manufacturing
EGB436,Industrial Automation
EGB439,Advanced Robotics
EGB473,Composite Structures
EGB475,Advanced Structural Analysis
EGB476,Advanced Steel Design
EGB479,Advanced Transport Engineering
EGB481,Infrastructure Asset Management
EGB482,Contracting and Construction Regulations
EGB485,Finite Element Analysis
EGB486,Bridge Engineering
EGB489,Advanced Transport Modelling
EGH411,Industrial Chemistry
EGH413,Advanced Dynamics
EGH414,Stress Analysis
EGH418,Biomechanics
EGH419,Mechatronics Design 3
EGH420,Mechanical Systems Design
EGH421,Vibration and Control
EGH422,Advanced Thermodynamics
EGH423,Fluids Dynamics
EGH424,Biofluids
EGH435,Modelling and Simulation for Medical Engineers
EGH438,Biomaterials
EGH441,Power System Modelling
EGH442,RF Techniques and Applications
EGH443,Advanced Telecommunications
EGH444,Digital Signals and Image Processing
EGH445,Modern Control
EGH446,Autonomous Systems
EGH448,Power Electronics
EGH449,Advanced Electronics
EGH450,Advanced Unmanned Aircraft Systems
EGH455,Advanced Systems Design
EGH456,Embedded Systems
EGH463,Plant and Process Design
EGH471,Advanced Water Engineering
EGH472,Advanced Highway and Pavement Engineering
EGH473,Advanced Geotechnical Engineering
EGH475,Advanced Concrete Structures
EGH479,Advances in Civil Engineering Practice
ENN510,Engineering Knowledge Management
ENN515,Total Quality Management
ENN523,Advanced Network Engineering
ENN524,Mobile Network Engineering
ENN530,Asset and Facility Management
ENN531,Advanced Materials and Engineering Applications
ENN552,Solar Thermal Systems - Heat and Power
ENN570,Enterprise Resource Planning
ERB101,Earth Systems
ERB102,Evolving Earth
ERB201,Destructive Earth: Natural Hazards
ERB202,Marine Geoscience
ERB203,Sedimentary Geology and Stratigraphy
ERB204,Deforming Earth: Fundamentals of Structural Geology
ERB205,Earth Materials
ERB206,Petrology
ERB301,Chemical Earth
ERB302,Applied Geophysics
ERB303,Energy Resources and Basin Analysis
ERB304,Dynamic Earth: Plate Tectonics
ERB305,Geological Field Methods
ERB306,Earth's Mineral Resources
ERB310,Groundwater Systems
EUB002,Numeracy: Examining Barriers for Learners
EUB003,Managing Challenging Student Behaviours Related to Complex Trauma
EUB004,Including Students with Learning Difficulties
EUB005,"The Global Teacher, Learner and Citizen"
EUB006,Differentiation and Gifted Children
EUB007,Understanding Reading Difficulties
EUB008,Engaging with New and Emerging Technologies
EUB009,Teachers as Leaders and Entrepreneurial Thinkers
EUB010,Real World Integrated STEM Education
EUB011,"Community Engagement in International, Rural and Remote"
EUB012,Learning STEM Through Teaching
EUB101,Supporting Innovative Pedagogy with Digital Technologies
EUB102,Teaching in New and Emerging Educational Contexts
EUB103,Culture Studies: Indigenous Education
EUB105,"Introduction to Curriculum, Pedagogy and Assessment (Primary)"
EUB106,"Introduction to Curriculum, Pedagogy and Assessment (Early Childhood)"
EUB108,Early Childhood Development and Learning (Birth-8 Years)
EUB109,"English, Literacies and Language 1"
EUB110,Primary English Curriculum Studies 1
EUB111,Primary Mathematics Curriculum Studies 1
EUB112,Child and Adolescent Learning and Development
EUB140,Professional Experience: Introduction to Early Childhood Practice in Kindergartens
EUB150,World Regions
EUB151,Nations and Nationalism in Modern Europe
EUB152,Teaching Young Adult Literature
EUB201,Early Childhood Mathematics Education 1
EUB203,Science in Early Childhood
EUB204,Building Partnerships with Families and Communities
EUB205,"Child Health, Wellbeing, Safety and Movement"
EUB206,Arts Curriculum Studies 1: Visual Arts and Media Arts
EUB207,Inclusive Education: Teaching Diverse Learners
EUB208,Primary Mathematics Curriculum Studies 2
EUB209,Primary English Curriculum Studies 2
EUB210,Science in Primary Education 1
EUB213,Inclusive Practices for Diverse Learners
EUB242,Professional Experience: Introduction to Professional Practice
EUB250,Australian Geographical Studies
EUB251,Environment and Society
EUB252,Australian Society and Culture
EUB253,The Classical World
EUB254,Studies in Language
EUB302,Early Childhood Mathematics Education 2
EUB303,Technologies
EUB310,Teaching EAL/D Learners
EUB350,Asia in Focus
EUB352,Medieval Europe and the World
EUB353,China and its Region
EUB401,Teaching Learners with Complex Learning Profiles
EUB404,"Leadership, Management and Advocacy"
EUB407,"Health and Physical Education: Wellbeing, Families and Communities"
EUB450,Geography in the Field
EUB451,"Australia, Britain and America"
EUN101,Supporting Innovative Pedagogy with Digital Technologies
EUN106,"English, Language and Literacies 1"
EUN107,Mathematics and Numeracy 1
EUN108,Science Curriculum and Pedagogy
EUN109,Inclusive Teaching for Diverse Learners
EUN110,Teachers as Leaders and Entrepreneurial Thinkers
EUN122,Curriculum and Pedagogy 3: Assessment
EUN130,Professional Experience: Introduction to Professional Practice
EUN202,Mathematics and Numeracy 2
EUN205,Arts Curriculum
EUN206,Design and Technologies
EUN231,Professional Experience: Informing Professional Practice
EUN631,STEM for 21st Century Learners
EUN633,Thinking in STEM
EUN634,STEM Pedagogies
EVB102,Ecosystems and the Environment
EVB203,Geospatial Information Science
EVB210,Geospatial Mapping
EVB211,Geographic Information Systems and Science
EVB221,Remote Sensing of the Environment
EVB222,Spatial Analysis and Modelling Practice
EVB302,Environmental Pollution
EVB304,Case Studies in Environmental Science
EVB312,Soils and the Environment
HLB001,Health Needs of Aboriginal and Torres Strait Islander Australians
IAB201,Modelling Techniques for Information Systems
IAB202,Business of Information Technology
IAB203,Business Process Modelling
IAB204,Business Requirements Analysis
IAB230,Mobile and Ubiquitous Computing
IAB250,Enterprise Systems Configuration
IAB260,Social Technologies
IAB303,Data Analytics for Business Insight
IAB305,Information Systems Lifecycle Management
IAB320,Business Process Improvement
IAB321,Business Process Technologies
IAB330,Mobile Application Development
IAB352,Enterprise Systems Management
IAB401,Enterprise Architecture
IAB402,Information Systems Consulting
IFB101,Impact of IT
IFB102,Introduction to Computer Systems
IFB103,IT Systems Design
IFB104,Building IT Systems
IFB105,Database Management
IFB295,IT Project Management
IFN500,Design Thinking for IT
IFN501,Programming Fundamentals
IFN502,IT Innovation and Disruption
IFN503,Fundamentals of Computer Systems
IFN504,Corporate Information Systems
IFN505,Analysis of Programs
IFN507,Network Systems
IFN509,Data Manipulation
IFN511,Security Management
IFN515,Fundamentals of Business Process Management
IFN600,Understanding Research
IFN641,Advanced Network Management
IFN642,Applied Cryptography and Network Security
IFN643,Computer System Security
IFN645,Data Mining Technology and Applications
IFN647,Advanced Information Storage and Retrieval
IFN650,Business Process Analytics
IFN651,Lean Six Sigma
IFN652,Enterprise Business Process Management
IFN660,Programming Language Theory
IFN661,Mobile and Pervasive Systems
IFN662,Enterprise Systems and Applications
IFN663,Advanced Enterprise Architecture
IFN665,Advanced Topic 1
IFN680,Advanced Topics in Artificial Intelligence
IFN680,Advanced Topics in Artificial Intelligence
IFN690,Advanced User Centred Design
IFN691,Gamification and Persuasive Computing
IFN700,Project Management
IGB100,Game Studio 1: Mini-Game Development
IGB180,Computer Games Studies
IGB181,Game Production and Technology
IGB200,Game Studio 2: Applied Game Development
IGB220,Fundamentals of Game Design
IGB283,Game Engine Theory and Application
IGB321,Immersive Game Level Design
IGB381,Game Engine Technology
IGB383,AI for Games
JSB158,Policing Diversity
JSB170,Introduction to Criminology and Policing
JSB171,Justice and Society
JSB172,Professional Academic Skills
JSB173,Understanding the Criminal Justice System
JSB174,Forensic Psychology and the Law
JSB176,Criminal Law in Context
JSB178,"Policy, Governance and Justice"
JSB179,Crimes of Violence
JSB180,Deviance
JSB184,Sex and Crimes
JSB207,Punishment and Penal Policy
JSB208,"Gender, Crime, and the Criminal Justice System"
JSB209,Transnational Organised Crime and Terrorism
JSB219,Case Studies in Major Crime
JSB224,Understanding Trauma in Criminology
JSB227,The History of Criminal Prosecution
JSB228,Technology and Crime
JSB255,Eco Crime
JSB261,Theories of Government
JSB263,Australian Political Institutions
JSB264,Statistical Methods for Justice Professionals
JSB266,White Collar Crime and Official Corruption
JSB267,"Identity, Marginalisation, and Global Change"
JSB270,Global Justice and Human Security
JSB272,Theories of Crime
JSB273,Justice Research Methods
JSB278,Drugs and Crime
JSB284,Policing in Context
JSB285,Political Violence and Terrorism
JSB286,Domestic Violence
JSB287,Crime in Popular Culture
JSB289,Preventing Gendered Violence
JSB290,Victimology
JSB364,Cybercrime
JSB367,Intelligence and Security
JSB372,Youth Justice
JSB374,Crime Prevention
JSB379,"Political Practice, People Power, and Protest"
JSB380,Critical Policy Analysis
JSB386,Death Investigation
KCB105,Inquiry in Media and Communication
KCB203,Consumption Matters: Consumer Cultures and Identity
KCB205,Professional Communication
KCB206,"Social Media, Self and Society"
KCB302,Political Communication
KCB303,Brisbane Media Map 1
KCB305,Brisbane Media Map 2
KCB307,Making Media Connections 1
KCB308,Making Media Connections 2
KDB101,Dance Performance 1: Analysing Dances
KDB102,Dance Performance 2: Dance Histories
KDB103,Dance Technique 1
KDB104,Dance Technique 2
KDB107,Foundations in Improvisation and Choreographic Practice
KDB112,Dance Technique Fundamentals
KDB113,Dance Studies
KDB122,Popular Dance Styles
KDB123,Dance Legacies
KDB206,Dance in Contemporary Culture
KDB210,Dance Composition
KDB211,Dance Performance 3: Current Trends
KDB212,Dance Performance 4: Intersections
KDB213,Dance Technique 3
KDB214,Dance Technique 4
KDB216,Choreographic Practice 1
KDB217,Choreographic Practice 2
KDB218,Performance in Context 1
KDB222,World Dance
KDB316,Choreographic Project 1
KDB317,Choreographic Project 2
KDB318,Performance in Context 2
KDB320,Independent Dance Project
KJB222,Online Journalism 1
KJB224,Feature Writing
KJB235,Radio and Television Journalism 1
KJB239,Journalism Ethics and Issues
KJB280,International Journalism
KJB304,Sub-Editing
KJB323,Online Journalism 2
KJB336,Radio and Television Journalism 2
KJB337,Investigative Reporting
KKB190,Yatdjuligin - Cultural Safety in Indigenous Australian Context
KKB191,Am I black enough? Indigenous Australian Representations
KKB192,Smash the Act - Indigenous Australian Politics
KKB193,Indigenous Knowledge: Research Ethics and Protocols
KMB109,Creative Practice in Music
KMB118,Musicianship 1
KMB119,Music Production 1
KMB128,Musicianship 2
KMB129,Music Production 2
KMB215,The Music Industry
KMB217,Music Creation 1
KMB218,Musicianship 3
KMB222,Music and Culture
KMB223,Music and Media
KMB227,Music Creation 2
KMB228,Musicianship 4
KNB125,Animation History and Context
KNB126,Motion Design
KNB127,CGI Foundations
KNB135,Animation Aesthetics
KNB136,Visual Storytelling: Production Design
KNB137,Digital Worlds
KNB215,Animation Performance
KNB216,Visual Storytelling: Cinematic Pre-Visualisation
KNB217,Digital Creatures
KNB226,Visual Storytelling: Animation Pre-Production
KNB227,CGI Technologies
KNB310,Advanced Animation Production 1
KNB320,Advanced Animation Production 2
KPB101,Introduction to Screen Production
KPB113,Screen Text Analysis
KPB116,Introduction to Screenwriting
KPB117,Screen Crafts: Non-Fiction
KPB120,Contemporary Screen Histories
KPB121,Screen Business
KPB122,Screen Crafts: Narratives
KPB208,Screen Genres
KPB215,Advanced Screenwriting
KPB216,Screen Content Production Management
KPB217,Screen Crafts: Experiments
KPB220,Factual Screens
KPB221,Screen Project Development
KPB222,Screen Crafts: Multi-Camera and Single-Camera Production
KPB315,Global Screen Studies
KPB325,Screen Issues
KRB120,Scenography 1: Introducing Performance Design
KRB121,Scenography 2: Creating Worlds for Theatre
KRB220,Scenography 3: Into the 21st Century
KRB221,Scenography 4: Intermedial Theatre
KTB110,Plays that Changed the World
KTB111,The Authentic Performer
KTB120,Diverse Theatre Practice
KTB121,The Responsive Performer
KTB126,Drama Practice 1: Collaboration
KTB216,Drama Practice 2: Interpretation
KTB217,Story and Performance
KTB225,Radical Theatre Forms
KTB226,Drama Practice 3: Transformation
KTB227,Leadership in Creative Contexts
KTB316,Drama Practice 4: Generation
KTB326,Drama Practice 5: Realisation
KVB102,Modernism in Art
KVB104,Photo Media and Art Practice
KVB110,2D Art: Material and Processes
KVB113,Australian Art and Identity
KVB117,Visual Arts Open Studio 1
KVB127,Visual Arts Open Studio 2
KVB210,Time-Based Art: Moving Images
KVB216,Post 1945 Art
KVB217,Visual Arts Open Studio 3
KVB222,Spatial Art: Object and Site
KVB223,Post 1989 Art
KVB227,Visual Arts Open Studio 4
KVB317,Visual Arts Open Studio 5
KVB327,Visual Arts Open Studio 6
KWB104,Writing the Short Story
KWB113,Introduction to Creative Writing
KWB116,Creative Non-Fiction
KWB117,Australian Voices: Writing and Practice
KWB118,Swords and Spaceships: Writing Genre
KWB208,Modern Times (Literature and Culture in the 20th Century)
KWB209,"Shakespeare, Then and Now"
KWB211,Creative Writing: Style and Technique
KWB212,Poetry and Poetics
KWB213,Corporate Writing and Editing
KWB214,The Artful Life: From Memoir to Fiction
KWB215,Dangerous Ideas: Contemporary Debates in Writing
KWB217,Editing and Publishing
KWB303,Writing and Publishing Industry
KWB306,Creative Writing Project 1
KWB308,Wonderlands: Literature and Culture in the 19th Century
KWB310,Editing and Developing the Manuscript
KWB326,Creative Writing Project 2
KXB201,Entertainment Practice: Balancing Creativity and Business
KXB202,Project Management for Entertainment
KXB301,Entertainment Industries Studio
KYB101,Understanding Creative Practice
KYB102,Pathways to a Creative Career
KYB103,The Creative Body
KYB201,Socially Engaged Arts Practice
LCN624,Leading and Managing People
LCN629,"Inclusive Education: Theory, Policy and Practice"
LLB101,Introduction to Law
LLB103,Dispute Resolution
LLB104,Contemporary Law and Justice
LLB140,Human Rights Law
LLB141,Introduction to International Law
LLB142,Regulation of Business
LLB247,Animal Law
LQB180,Foundations of Biochemistry
LQB181,Introduction to Medical Laboratory Science
LQB182,Cell and Molecular Biology
LQB183,Human Systematic Anatomy
LQB184,Biomedical Skills 1
LQB281,Human Health & Disease Concepts
LQB286,Biomedical Skills 2
LQB301,Medical Microbiology and Infection Control
LQB362,Principles and Practice of Infectious Diseases
LQB381,Biochemistry
LQB382,Developmental Anatomy and Tissue Adaptation
LQB385,Molecular Biology and Bioinformatics
LQB387,Principles of Immunology
LQB388,Medical Physiology 1
LQB389,Regional and Sectional Anatomy for Radiation Therapy
LQB390,Regional and Sectional Anatomy for Medical Imaging
LQB450,Foundations of Pharmacology
LQB462,Microbial Diagnostics
LQB481,Biochemical Pathways and Metabolism
LQB482,Anatomical Imaging
LQB485,Cell Biology
LQB488,Medical Physiology 2
